he is still on our team
he is still on our team
Basic
Radial

0.6 0.6
432 388.8
Began 706.399 478 264 0.2731481 -0.31893
Stationary 706.4297 478 264 0.2731481 -0.31893
Stationary 706.4604 478 264 0.2731481 -0.31893
Stationary 706.4911 478 264 0.2731481 -0.31893
Stationary 706.5219 478 264 0.2731481 -0.31893
Stationary 706.5526 478 264 0.2731481 -0.31893
Stationary 706.5833 478 264 0.2731481 -0.31893
Stationary 706.614 478 264 0.2731481 -0.31893
Stationary 706.6447 478 264 0.2731481 -0.31893
Stationary 706.6755 478 264 0.2731481 -0.31893
Stationary 706.7062 478 264 0.2731481 -0.31893
Stationary 706.7369 478 264 0.2731481 -0.31893
Stationary 706.7676 478 264 0.2731481 -0.31893
Stationary 706.7982 478 264 0.2731481 -0.31893
Stationary 706.829 478 264 0.2731481 -0.31893
Stationary 706.8597 478 264 0.2731481 -0.31893
Stationary 706.8904 478 264 0.2731481 -0.31893
Stationary 706.9211 478 264 0.2731481 -0.31893
Stationary 706.9518 478 264 0.2731481 -0.31893
Stationary 706.9825 478 264 0.2731481 -0.31893
Stationary 707.0132 478 264 0.2731481 -0.31893
Stationary 707.0439 478 264 0.2731481 -0.31893
Moved 707.0746 467.3005 272.3218 0.2483809 -0.2975263
Moved 707.1053 468 273.0598 0.25 -0.2956281
Moved 707.136 467.0624 274.9376 0.2478298 -0.2907985
Moved 707.1667 466 277.9161 0.2453704 -0.2831377
Moved 707.1975 464.6566 283.6869 0.2422605 -0.268295
Moved 707.2282 462.8019 293.7924 0.2379674 -0.2423037
Moved 707.2589 461 303.299 0.2337964 -0.2178526
Moved 707.2896 459 310.2827 0.2291666 -0.1998902
Moved 707.3203 458 316.5439 0.2268519 -0.1837861
Moved 707.351 456.6159 321.3841 0.223648 -0.1713373
Moved 707.3818 457 324.9443 0.2245371 -0.1621804
Moved 707.4124 456.2028 327.7972 0.2226917 -0.1548427
Moved 707.4431 456 330.673 0.2222222 -0.1474461
Moved 707.4739 456 332.1102 0.2222222 -0.1437496
Moved 707.5045 455 334.0486 0.2199073 -0.1387638
Moved 707.5353 455 335.9295 0.2199073 -0.1339262
Moved 707.566 454.1996 337.8004 0.2180546 -0.1291142
Moved 707.5967 454 339.5 0.2175926 -0.1247429
Moved 707.6274 453 341.2246 0.2152778 -0.1203071
Moved 707.6581 453 343.0485 0.2152778 -0.1156161
Moved 707.6888 452 343.9719 0.2129629 -0.1132409
Moved 707.7195 452 344.5 0.2129629 -0.1118828
Moved 707.7502 452 345 0.2129629 -0.1105968
Moved 707.7809 452 346 0.2129629 -0.1080248
Moved 707.8116 451 347.1123 0.2106482 -0.1051639
Stationary 707.8424 451 347.1123 0.2106482 -0.1051639
Moved 707.8731 449.7732 347 0.2078084 -0.1054527
Moved 707.9037 448.7503 347 0.2054406 -0.1054527
Moved 707.9345 447.8129 347 0.2032706 -0.1054527
Stationary 707.9652 448 347 0.2037037 -0.1054527
Stationary 707.9959 448 347 0.2037037 -0.1054527
Stationary 708.0266 448 347 0.2037037 -0.1054527
Stationary 708.0574 448 347 0.2037037 -0.1054527
Stationary 708.0881 448 347 0.2037037 -0.1054527
Stationary 708.1187 448 347 0.2037037 -0.1054527
Stationary 708.1494 448 347 0.2037037 -0.1054527
Stationary 708.1802 448 347 0.2037037 -0.1054527
Ended 708.2109 448 347 0.2037037 -0.1054527
Candidates 708.303 13 m nj n ml mg bl nm mb jm km jnk hmm hmmm
Began 708.7022 544 317 0.4259259 -0.1826131
Moved 708.7328 517.1392 317 0.3637481 -0.1826131
Moved 708.7636 491.5811 308.8964 0.304586 -0.2034559
Moved 708.7943 475.1887 309.2377 0.2666406 -0.2025778
Moved 708.825 459.211 309 0.2296552 -0.2031893
Moved 708.8557 447.274 309 0.2020232 -0.2031893
Moved 708.8864 440.3816 309 0.1860684 -0.2031893
Moved 708.9171 436.1229 308 0.1762103 -0.2057614
Moved 708.9479 430.3783 308 0.1629128 -0.2057614
Moved 708.9785 429.5 308 0.1608796 -0.2057614
Moved 709.0093 428.7525 308 0.1591493 -0.2057614
Moved 709.04 427.5547 308 0.1563766 -0.2057614
Moved 709.0707 426.8434 308 0.15473 -0.2057614
Moved 709.1014 425.8129 308 0.1523447 -0.2057614
Stationary 709.1321 425.8129 308 0.1523447 -0.2057614
Ended 709.1628 426 308 0.1527777 -0.2057614
Cancel 709.2242
Began 709.7156 517 286 0.3634259 -0.2623458
Stationary 709.7463 517 286 0.3634259 -0.2623458
Stationary 709.777 517 286 0.3634259 -0.2623458
Stationary 709.8077 517 286 0.3634259 -0.2623458
Stationary 709.8384 517 286 0.3634259 -0.2623458
Stationary 709.8691 517 286 0.3634259 -0.2623458
Stationary 709.8998 517 286 0.3634259 -0.2623458
Stationary 709.9305 517 286 0.3634259 -0.2623458
Stationary 709.9612 517 286 0.3634259 -0.2623458
Stationary 709.9919 517 286 0.3634259 -0.2623458
Stationary 710.0226 517 286 0.3634259 -0.2623458
Stationary 710.0533 517 286 0.3634259 -0.2623458
Stationary 710.084 517 286 0.3634259 -0.2623458
Stationary 710.1148 517 286 0.3634259 -0.2623458
Stationary 710.1455 517 286 0.3634259 -0.2623458
Stationary 710.1762 517 286 0.3634259 -0.2623458
Moved 710.2069 507.8245 297.1755 0.3421864 -0.2336022
Moved 710.2377 498.096 302.952 0.3196667 -0.218745
Moved 710.2684 484.2486 310.3446 0.2876125 -0.1997309
Moved 710.299 455.6346 331.6923 0.2213765 -0.1448245
Moved 710.3298 432.2385 352.5413 0.1672188 -0.09120038
Moved 710.3605 419.6982 365.3018 0.1381902 -0.05838017
Moved 710.3912 402.2508 385.999 0.09780277 -0.00514678
Moved 710.4219 386.4998 405.5002 0.06134212 0.04501088
Moved 710.4526 374.5164 420.8544 0.03360291 0.08450202
Moved 710.4833 367.163 432.674 0.01658102 0.1149023
Moved 710.514 360.4763 442.5237 0.001102686 0.1402358
Moved 710.5447 357.3653 449.2693 -0.006098797 0.1575857
Moved 710.5755 354.4902 452.5098 -0.01275425 0.1659203
Moved 710.6061 353 455.0805 -0.01620372 0.172532
Moved 710.6368 350.0458 458.9542 -0.02304211 0.1824954
Moved 710.6676 347.1598 462.6805 -0.0297228 0.1920793
Moved 710.6983 343 468 -0.03935183 0.2057612
Moved 710.729 339.767 477.699 -0.04683564 0.2307072
Moved 710.7597 336.8871 484.2257 -0.05350198 0.247494
Moved 710.7904 334.0107 487.9893 -0.06016046 0.2571741
Moved 710.8211 332.5082 491.4918 -0.06363838 0.2661825
Moved 710.8518 329.6322 494.3677 -0.07029578 0.2735796
Moved 710.8825 329 494 -0.07175927 0.2726337
Moved 710.9133 326.5 494 -0.07754628 0.2726337
Moved 710.9439 322 494 -0.08796295 0.2726337
Moved 710.9746 287.5641 494 -0.1676758 0.2726337
Moved 711.0054 260.8641 494 -0.2294813 0.2726337
Moved 711.0361 250 496 -0.2546296 0.2777777
Stationary 711.0668 250 496 -0.2546296 0.2777777
Moved 711.0975 246.4624 496 -0.2628184 0.2777777
Moved 711.1282 244.5 496 -0.2673611 0.2777777
Moved 711.1589 243.0076 496 -0.2708158 0.2777777
