I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 1427.98 410.4117 402 0.1166937 0.03600815
Moved 1428.011 422.7799 401 0.1453238 0.03343609
Moved 1428.04 433.9041 401 0.1710742 0.03343609
Moved 1428.072 443.0119 400 0.1921571 0.03086416
Moved 1428.103 454.5 400 0.21875 0.03086416
Moved 1428.134 458.2968 400 0.2275387 0.03086416
Moved 1428.165 459.5882 400 0.2305283 0.03086416
Moved 1428.195 463.4653 399.5347 0.2395031 0.02966735
Moved 1428.226 467.3469 399 0.2484883 0.02829214
Moved 1428.257 470.8763 399 0.2566581 0.02829214
Moved 1428.287 473.7449 398.2551 0.2632984 0.0263762
Moved 1428.318 477.2328 397.3836 0.2713722 0.02413475
Moved 1428.349 480.1018 397 0.2780133 0.02314815
Moved 1428.38 485.0061 394.9939 0.289366 0.01798838
Moved 1428.41 491.6658 393.1114 0.304782 0.01314646
Moved 1428.441 500.5152 391.2424 0.3252667 0.008339548
Moved 1428.472 506.6613 390 0.3394938 0.005143954
Moved 1428.503 511.4036 390 0.3504712 0.005143954
Moved 1428.533 514.0728 390 0.3566499 0.005143954
Moved 1428.564 516.5 390 0.3622685 0.005143954
Moved 1428.595 517.143 390 0.3637569 0.005143954
Moved 1428.625 517 387.7697 0.3634259 -0.0005925339
Moved 1428.656 507.3162 365.3162 0.3410096 -0.05834328
Moved 1428.687 503.2816 337.8161 0.3316704 -0.1290739
Moved 1428.718 503 314.314 0.3310186 -0.1895217
Moved 1428.748 503 295.2617 0.3310186 -0.2385246
Moved 1428.779 503 281.6947 0.3310186 -0.273419
Moved 1428.81 513.8759 269.2484 0.3561941 -0.3054313
Moved 1428.84 517.748 261.504 0.3651573 -0.3253498
Moved 1428.871 521.243 258.3785 0.3732477 -0.3333886
Moved 1428.902 525.2064 254.8967 0.3824223 -0.3423438
Moved 1428.933 529.0221 248.9669 0.3912548 -0.3575954
Moved 1428.963 530.8826 246.1174 0.3955614 -0.3649244
Moved 1428.994 533.7389 240.5222 0.4021734 -0.3793153
Moved 1429.025 536.3089 235.0734 0.4081224 -0.3933299
Moved 1429.056 538.1823 228.4531 0.412459 -0.4103572
Moved 1429.086 540.0513 224.9487 0.4167854 -0.4193706
Moved 1429.117 540.691 222 0.4182661 -0.4269547
Moved 1429.148 541 220.9772 0.4189815 -0.4295855
Moved 1429.178 542.2492 219.7509 0.4218731 -0.4327396
Stationary 1429.209 542.2492 219.7509 0.4218731 -0.4327396
Moved 1429.24 543.1288 220 0.4239093 -0.4320988
Moved 1429.271 543.5756 227.5756 0.4249435 -0.4126143
Moved 1429.301 544 230.4497 0.4259259 -0.405222
Moved 1429.332 544 232.3134 0.4259259 -0.4004287
Moved 1429.363 544 234.5 0.4259259 -0.3948045
Moved 1429.394 544 235.2418 0.4259259 -0.3928966
Stationary 1429.424 544 235.2418 0.4259259 -0.3928966
Moved 1429.455 544 236.0081 0.4259259 -0.3909258
Stationary 1429.486 544 236.0081 0.4259259 -0.3909258
Moved 1429.516 544 237.0801 0.4259259 -0.3881685
Moved 1429.547 544 238.1848 0.4259259 -0.3853271
Stationary 1429.578 544 238.1848 0.4259259 -0.3853271
Moved 1429.609 544 239.1411 0.4259259 -0.3828676
Stationary 1429.639 544 239.1411 0.4259259 -0.3828676
