the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Moved 1551.436 232.296 528 -0.2956111 0.3600822
Moved 1551.466 237.7009 528 -0.2830997 0.3600822
Moved 1551.497 245.193 528 -0.2657569 0.3600822
Moved 1551.528 260.6496 521 -0.2299779 0.3420781
Moved 1551.559 277.0288 519 -0.1920629 0.3369341
Moved 1551.589 294.3276 516.2389 -0.1520195 0.3298325
Moved 1551.62 316.9565 514 -0.09963761 0.324074
Moved 1551.651 337.0425 513 -0.05314241 0.321502
Moved 1551.681 354.5145 513 -0.01269798 0.321502
Moved 1551.712 378.5436 513 0.04292498 0.321502
Moved 1551.743 406.2335 511.4185 0.1070219 0.3174344
Moved 1551.773 428.7116 511 0.1590546 0.3163579
Moved 1551.804 448.345 510 0.2045023 0.3137859
Moved 1551.835 463.419 510 0.2393958 0.3137859
Moved 1551.866 480.696 508.2173 0.2793888 0.3092009
Moved 1551.896 492.6359 506 0.3070275 0.3034978
Moved 1551.927 499.3202 505 0.3225005 0.3009258
Moved 1551.958 506.1671 500.8329 0.3383498 0.290208
Moved 1551.989 510.9172 495.1242 0.3493454 0.2755252
Moved 1552.019 520.9146 477.6281 0.3724875 0.2305248
Moved 1552.05 541.2603 445.7834 0.419584 0.1486199
Moved 1552.081 561.5258 420.0383 0.4664949 0.08240288
Moved 1552.111 579.4323 402.6398 0.5079451 0.03765369
Moved 1552.142 590.8619 389.8536 0.5344025 0.00476743
Moved 1552.173 599.4895 380.5105 0.5543739 -0.01926328
Moved 1552.203 603.373 377.627 0.5633635 -0.02667972
Moved 1552.234 606.2453 374.7547 0.5700122 -0.03406713
Ended 1552.265 608 374 0.5740741 -0.03600823
Began 1554.599 246 488 -0.2638889 0.2572016
Stationary 1554.63 246 488 -0.2638889 0.2572016
Stationary 1554.66 246 488 -0.2638889 0.2572016
Stationary 1554.691 246 488 -0.2638889 0.2572016
Stationary 1554.722 246 488 -0.2638889 0.2572016
Stationary 1554.752 246 488 -0.2638889 0.2572016
