healthy food is good for you
healthy food is good for you
Basic
List

0.6 0.6
432 388.8
Began 2145.741 418 320 0.1342593 -0.1748972
Stationary 2145.772 418 320 0.1342593 -0.1748972
Stationary 2145.802 418 320 0.1342593 -0.1748972
Stationary 2145.833 418 320 0.1342593 -0.1748972
Stationary 2145.864 418 320 0.1342593 -0.1748972
Moved 2145.895 402.2186 335.7814 0.09772826 -0.1343071
Moved 2145.925 390.7367 350.895 0.07114977 -0.09543485
Moved 2145.956 375.603 370.5558 0.03611803 -0.04486673
Moved 2145.987 361.5 389.5 0.003472269 0.003857946
Moved 2146.018 348.6617 406.606 -0.02624611 0.04785494
Moved 2146.048 335.8087 423.2296 -0.05599841 0.09061095
Moved 2146.079 326 436.5 -0.07870371 0.1247428
Moved 2146.11 316.4279 448.7628 -0.1008614 0.1562829
Moved 2146.14 306.1754 460.8246 -0.1245939 0.1873059
Moved 2146.171 299.5869 471.8261 -0.139845 0.215602
Moved 2146.202 293.6303 483.6162 -0.1536336 0.2459264
Moved 2146.233 286.1657 496.6685 -0.1709126 0.2794971
Moved 2146.263 278.6639 507.0042 -0.188278 0.3060806
Moved 2146.294 272.1508 516.6984 -0.2033546 0.3310144
Moved 2146.325 265.2986 523.5521 -0.2192161 0.348642
Moved 2146.356 258.3839 530.2322 -0.2352225 0.3658236
Moved 2146.386 251.8315 537.1685 -0.25039 0.3836638
Moved 2146.417 248.8743 540.1257 -0.2572355 0.3912698
Moved 2146.448 246.42 542.58 -0.2629166 0.3975821
Moved 2146.479 243.6559 544.3442 -0.2693152 0.4021197
Moved 2146.509 240.8978 545 -0.2756996 0.4038065
Moved 2146.54 238.3493 545 -0.2815988 0.4038065
Moved 2146.571 231.0812 545 -0.2984231 0.4038065
Moved 2146.602 220.718 528.577 -0.322412 0.3615664
Moved 2146.632 204.8124 509.1373 -0.3592307 0.3115672
Moved 2146.663 189.8488 489.4651 -0.3938684 0.2609699
Moved 2146.694 173.0294 463.0441 -0.4328023 0.1930144
Moved 2146.724 160.0173 443.7803 -0.4629229 0.1434678
Moved 2146.755 149 426 -0.4884259 0.09773654
Moved 2146.786 142.15 414.2499 -0.5042825 0.06751528
Moved 2146.817 135.8586 403.1448 -0.5188459 0.03895253
Moved 2146.847 131.0917 394.6375 -0.5298803 0.01707175
Moved 2146.878 128.8003 388.6006 -0.5351845 0.001544638
Moved 2146.909 127.3965 384.3965 -0.538434 -0.00926838
Moved 2146.94 127 380.6385 -0.5393518 -0.01893393
Moved 2146.97 127 376.8876 -0.5393518 -0.02858126
Moved 2147.001 127 375.319 -0.5393518 -0.03261582
Moved 2147.032 140.4729 370.3054 -0.5081645 -0.04551091
Moved 2147.063 157.7687 366.8902 -0.4681281 -0.05429484
Moved 2147.093 183.6777 364 -0.4081534 -0.06172839
Moved 2147.124 209.8326 363 -0.3476098 -0.06430049
Moved 2147.155 253.2155 363 -0.2471863 -0.06430049
Moved 2147.186 288.9916 363 -0.1643712 -0.06430049
Moved 2147.216 320.9749 359.8051 -0.0903359 -0.07251794
Moved 2147.247 366.8499 353.2538 0.01585623 -0.08936767
Moved 2147.278 380.7766 352.2471 0.04809409 -0.09195712
Moved 2147.308 412.6172 348.487 0.121799 -0.1016281
Moved 2147.339 438.5429 344.7175 0.1818122 -0.1113234
Moved 2147.37 465.281 342.2719 0.243706 -0.1176134
Moved 2147.401 494.4301 339.5063 0.3111808 -0.1247265
Moved 2147.431 526.0775 339 0.3844385 -0.1260288
Moved 2147.462 549.8466 337.2393 0.4394596 -0.1305575
Moved 2147.493 576.3896 335.561 0.5009019 -0.134874
Moved 2147.523 592.0005 335 0.5370381 -0.1363169
Moved 2147.554 602.8522 334 0.5621579 -0.1388889
Moved 2147.585 609.6447 334 0.5778811 -0.1388889
Moved 2147.616 615.3537 334 0.5910965 -0.1388889
Moved 2147.646 618.9385 334 0.5993947 -0.1388889
Moved 2147.677 622.697 334 0.6080949 -0.1388889
