a very traditional way to dress
a very traditional way to dress
Basic
Radial

0.6 0.6
432 388.8
Began 572.9399 244 443 -0.2685185 0.1414608
Stationary 572.9707 244 443 -0.2685185 0.1414608
Ended 573.0015 244 443 -0.2685185 0.1414608
Candidates 573.0629 10 s d a e w r f q t g
Began 573.6467 288 434 -0.1666667 0.1183127
Stationary 573.6774 288 434 -0.1666667 0.1183127
Stationary 573.7082 288 434 -0.1666667 0.1183127
Moved 573.7389 311.1254 454.1254 -0.1131356 0.1700756
Moved 573.7696 326.326 471.6583 -0.07794897 0.2151705
Moved 573.8004 338.817 489.4297 -0.04903476 0.2608789
Moved 573.8311 349.2885 502.3605 -0.02479523 0.2941371
Moved 573.8618 352.7325 509.4649 -0.01682301 0.3124097
Moved 573.8925 354 515.0466 -0.01388888 0.3267658
Moved 573.9233 354 519.7838 -0.01388888 0.3389499
Moved 573.954 354 523.5084 -0.01388888 0.3485297
Moved 573.9847 338.8734 527.5633 -0.04890412 0.358959
Moved 574.0154 325.7158 530.6569 -0.0793616 0.3669157
Moved 574.0462 310.3921 533 -0.1148332 0.3729423
Moved 574.0769 296.0252 533 -0.1480898 0.3729423
Moved 574.1077 284.4708 533 -0.1748361 0.3729423
Moved 574.1384 266.1832 533 -0.2171686 0.3729423
Moved 574.1691 254.8147 533 -0.2434845 0.3729423
Moved 574.1998 245.1808 533 -0.2657852 0.3729423
Moved 574.2305 239.8639 525.7618 -0.2780928 0.3543256
Moved 574.2613 232.2694 524.0898 -0.2956727 0.3500251
Moved 574.292 225.4482 522.2241 -0.3114624 0.3452266
Moved 574.3227 218.1348 519.7116 -0.3283916 0.3387643
Moved 574.3535 211.6983 516.8492 -0.3432909 0.3314021
Moved 574.3842 205.9661 512.983 -0.35656 0.3214583
Moved 574.4149 201.3242 510.3242 -0.3673052 0.3146197
Moved 574.4456 198.5589 508.5588 -0.3737064 0.3100792
Moved 574.4764 196.6871 506.6871 -0.378039 0.3052652
Moved 574.5071 194.8197 506 -0.3823617 0.3034978
Stationary 574.5378 194.8197 506 -0.3823617 0.3034978
Ended 574.5686 195 506 -0.3819444 0.3034978
Accept 574.63 2 a
Began 575.306 333 298 -0.06249999 -0.2314816
Stationary 575.3368 333 298 -0.06249999 -0.2314816
Stationary 575.3675 333 298 -0.06249999 -0.2314816
Moved 575.3982 318.8223 308.311 -0.0953187 -0.2049614
Moved 575.429 305.3282 320.6718 -0.1265551 -0.1731693
Moved 575.4597 289.0786 339.2285 -0.1641699 -0.1254411
Moved 575.4904 275.9124 356.0876 -0.1946472 -0.08207933
Moved 575.5211 263.7497 369.2503 -0.2228016 -0.0482246
Moved 575.5519 252.2643 385.6696 -0.2493881 -0.00599402
Moved 575.5826 243.4085 398.183 -0.2698877 0.02619076
Moved 575.6133 237.6698 407.6605 -0.2831719 0.05056691
Moved 575.644 231.6455 416.7089 -0.2971168 0.07383974
Moved 575.6748 226.9614 429.1543 -0.3079597 0.1058494
Moved 575.7054 223.0818 438.7546 -0.3169403 0.1305417
Moved 575.7362 221.3969 449.4124 -0.3208404 0.1579535
Moved 575.7669 218.6433 460.0701 -0.3272145 0.1853653
Moved 575.7977 218 471.6593 -0.3287037 0.215173
Moved 575.8284 218 481.2838 -0.3287037 0.2399272
Moved 575.8591 218 489.8675 -0.3287037 0.2620047
Moved 575.8899 218 497.9899 -0.3287037 0.2828958
Moved 575.9206 218 504.7224 -0.3287037 0.3002118
Moved 575.9513 218 511.4518 -0.3287037 0.3175201
Moved 575.9821 230.8989 516.4495 -0.298845 0.3303741
Moved 576.0128 247.56 524.1866 -0.2602778 0.3502742
Moved 576.0435 266.3045 528.9218 -0.2168878 0.3624531
Moved 576.0742 282.038 532.0063 -0.1804675 0.3703866
Moved 576.105 298.4116 534.8823 -0.1425658 0.3777837
Moved 576.1356 314.5292 535 -0.1052565 0.3780863
Moved 576.1664 337.3511 535 -0.05242804 0.3780863
Moved 576.1971 353.8483 535 -0.01424005 0.3780863
Moved 576.2278 368.991 535 0.02081245 0.3780863
Moved 576.2585 380.4786 527.1304 0.04740427 0.3578455
Moved 576.2893 389.5 524.5 0.06828706 0.3510802
Moved 576.32 395.6079 522.696 0.08242577 0.3464403
Moved 576.3508 398.1797 522 0.08837879 0.3446501
Moved 576.3815 400.5 520.5 0.09374996 0.3407921
Moved 576.4122 402.5799 520 0.09856452 0.3395061
Moved 576.443 404.4559 519 0.1029072 0.3369341
Moved 576.4736 406 519 0.1064815 0.3369341
Ended 576.5044 407 518 0.1087963 0.3343621
Candidates 576.5659 13 very vary set carey battery asset day better sweet betty carry cry career
Began 577.0576 269 464 -0.2106481 0.1954732
Stationary 577.0883 269 464 -0.2106481 0.1954732
Moved 577.119 273.9856 464 -0.1991075 0.1954732
Moved 577.1496 295.6074 464 -0.149057 0.1954732
Moved 577.1804 318.0797 451.1841 -0.09703775 0.1625104
Moved 577.2111 334.8945 447.2211 -0.05811453 0.1523175
Moved 577.2418 346.989 444.337 -0.03011808 0.1448997
Moved 577.2726 354 443 -0.01388888 0.1414608
Moved 577.3033 359.0509 440.949 -0.002196928 0.1361857
Moved 577.334 362.9224 441 0.006764829 0.1363167
Moved 577.3648 367.2205 440 0.01671414 0.1337448
Moved 577.3955 368.2772 440 0.01916011 0.1337448
Ended 577.4263 369.3734 440 0.02169778 0.1337448
Accept 577.4877 0 very
Began 577.9794 324 514 -0.08333336 0.324074
Stationary 578.0101 324 514 -0.08333336 0.324074
Stationary 578.0408 324 514 -0.08333336 0.324074
Moved 578.0715 314.1555 514 -0.1061214 0.324074
