the punishment should fit the crime
the punishment should fit the crime
FixStart
Radial

0.6 0.6
432 388.8
Began 1919.385 364 437 0.009259283 0.1260288
Stationary 1919.416 364 437 0.009259283 0.1260288
Moved 1919.447 350.8161 461.5719 -0.02125909 0.189228
Moved 1919.478 342.9684 478.4069 -0.03942489 0.232528
Moved 1919.508 340.3632 491.8211 -0.04545564 0.2670295
Moved 1919.539 339 504.9527 -0.04861111 0.3008042
Moved 1919.57 339 519.2202 -0.04861111 0.3375003
Moved 1919.601 339 528.2003 -0.04861111 0.3605973
Moved 1919.631 339 533 -0.04861111 0.3729423
Moved 1919.662 339 534.1232 -0.04861111 0.375831
Moved 1919.693 361.4547 512.8439 0.003367364 0.3211006
Moved 1919.724 400.8147 462.0633 0.09447853 0.1904919
Moved 1919.754 433.9129 416.2944 0.1710946 0.07277351
Moved 1919.785 448.0961 392.827 0.2039262 0.01241495
Moved 1919.816 455 380 0.2199073 -0.02057613
Moved 1919.847 456 372.7545 0.2222222 -0.03921171
Moved 1919.877 426.2496 371 0.1533555 -0.04372435
Moved 1919.908 375.1413 410.144 0.03504932 0.0569546
Moved 1919.939 331.5 451 -0.06597221 0.162037
Moved 1919.969 297.0951 485.9695 -0.1456132 0.2519792
Moved 1920 278.6786 510.192 -0.188244 0.3142796
Moved 1920.031 267.1584 551.9904 -0.2149111 0.4217858
Ended 1920.062 266.5 564.5 -0.2164352 0.4539608
Candidates 1920.185 13 the there time june under tune fine one home summer they rubber enter
Began 1920.523 376 397 0.03703703 0.02314815
Moved 1920.553 427.4308 397 0.1560899 0.02314815
Moved 1920.584 487.4567 406.2586 0.2950386 0.04696139
Moved 1920.615 519.5 407.5 0.3692129 0.05015428
Ended 1920.646 519.5 407.5 0.3692129 0.05015428
Accept 1920.707 0 the
Began 1921.23 394 425 0.07870366 0.09516452
Moved 1921.26 401.1539 430.7231 0.09526362 0.1098846
Moved 1921.291 440.778 461.7162 0.186986 0.1895992
Moved 1921.322 494.3301 497.7281 0.3109493 0.2822225
Moved 1921.353 526.8628 517.5033 0.3862565 0.3330845
Moved 1921.383 554.9873 529.5408 0.4513595 0.3640453
Moved 1921.414 577.3569 536.5815 0.503141 0.3821541
Moved 1921.445 586.4901 538 0.5242825 0.3858024
Moved 1921.476 590.0615 539.0205 0.5325498 0.3884271
Moved 1921.506 594.5 539 0.542824 0.3883744
Moved 1921.537 596.0785 540 0.546478 0.3909464
Moved 1921.568 597 540 0.548611 0.3909464
Moved 1921.599 597 540.9168 0.548611 0.3933045
Moved 1921.629 585.4749 542.4406 0.5219327 0.3972237
Moved 1921.66 564.0178 543.998 0.4722633 0.4012294
