healthy food is good for you
healthy food is good for you
FixStart
List

0.6 0.6
432 388.8
Moved 1298.469 420.582 725.8135 0.1402361 0.8688617
Moved 1298.5 412.6129 733.5161 0.1217892 0.8886729
Moved 1298.531 404.9216 743.1176 0.1039852 0.9133682
Moved 1298.561 398.1734 752.8266 0.08836437 0.93834
Moved 1298.592 393.2103 761.3691 0.07687568 0.9603115
Moved 1298.623 389.6671 767.6659 0.06867369 0.9765068
Moved 1298.654 385.7948 774.4103 0.05971024 0.9938535
Moved 1298.684 382.9264 779.1472 0.05307039 1.006037
Moved 1298.715 380.3139 781.686 0.047023 1.012567
Moved 1298.746 377.5589 783 0.0406455 1.015947
Moved 1298.776 376.5 784 0.03819446 1.018519
Moved 1298.807 377 785 0.03935188 1.02109
Stationary 1298.838 377 785 0.03935188 1.02109
Moved 1298.869 387.4602 765.6947 0.06356517 0.971437
Moved 1298.899 401.4424 738.6036 0.09593158 0.9017581
Moved 1298.93 414.8183 714.7271 0.1268941 0.8403473
Moved 1298.961 431.2794 684.4412 0.1649986 0.7624516
Moved 1298.992 435.2512 677.4976 0.1741927 0.7445924
Moved 1299.022 443.8825 662.8625 0.1941724 0.7069509
Moved 1299.053 449.3087 652.3825 0.2067333 0.6799961
Moved 1299.084 457.151 635.5469 0.2248866 0.6366946
Moved 1299.115 463.8463 623.2049 0.240385 0.6049507
Moved 1299.145 468.6309 613.7383 0.2514603 0.5806025
Moved 1299.176 473.7025 603.2437 0.2632003 0.5536103
Moved 1299.207 479.4482 594.3276 0.2765005 0.5306779
Moved 1299.237 484.1957 586.7064 0.2874901 0.5110761
Moved 1299.268 489.417 579.8745 0.2995763 0.4935043
Moved 1299.299 494.4768 574.5231 0.3112889 0.4797405
Moved 1299.33 497.3506 572.6494 0.3179412 0.4749212
Moved 1299.36 500.2243 569.7757 0.3245934 0.46753
Moved 1299.391 501.3217 570 0.3271334 0.4681069
Moved 1299.422 502.1062 570 0.3289496 0.4681069
Moved 1299.452 502 592.6679 0.3287037 0.5264091
Moved 1299.483 502 612.821 0.3287037 0.5782431
Moved 1299.514 502 627.42 0.3287037 0.6157922
Moved 1299.545 490.4417 647.4543 0.3019483 0.6673207
Moved 1299.575 486.6745 661.9765 0.293228 0.7046719
Moved 1299.606 481.6399 672.7203 0.2815737 0.732305
Moved 1299.637 475.8139 683.2792 0.2680878 0.7594628
Moved 1299.668 470.0556 693.8887 0.2547584 0.7867507
Moved 1299.698 464.3215 704.3571 0.2414848 0.8136755
Moved 1299.729 459.252 713.4959 0.2297501 0.8371809
Moved 1299.76 453.5033 721.745 0.2164429 0.8583975
Moved 1299.79 447.7315 729.2684 0.2030822 0.8777478
Moved 1299.821 442.5477 736.9047 0.1910826 0.8973885
Moved 1299.852 436.9964 746.5054 0.1782325 0.9220815
Moved 1299.883 432.259 757.4821 0.1672661 0.9503138
Moved 1299.913 429.7486 770.0054 0.1614552 0.9825241
Moved 1299.944 430 778.1892 0.162037 1.003573
Moved 1299.975 430 788.9751 0.162037 1.031314
Ended 1300.005 430 794 0.162037 1.044239
Candidates 1300.098 13 healthy the wealthy payment she attachment gallery height jennifer security weight i t
Began 1301.112 481 721 0.2800926 0.8564813
Stationary 1301.142 481 721 0.2800926 0.8564813
Stationary 1301.173 481 721 0.2800926 0.8564813
Moved 1301.204 464.9021 718.0629 0.2428288 0.8489271
Moved 1301.235 452.2787 712.0557 0.213608 0.8334766
Moved 1301.265 437.9144 710.1829 0.1803575 0.8286595
Moved 1301.296 427.2075 708.3019 0.155573 0.8238215
Moved 1301.327 419 708 0.1365741 0.8230453
Moved 1301.358 414.863 708 0.1269976 0.8230453
Moved 1301.388 411.9885 708 0.1203438 0.8230453
Moved 1301.419 409.1143 708 0.1136905 0.8230453
Moved 1301.45 405.1497 708 0.1045131 0.8230453
Moved 1301.48 400.6979 708 0.09420822 0.8230453
Moved 1301.511 397.8289 708 0.08756677 0.8230453
Moved 1301.542 397 715.3038 0.0856481 0.8418306
Moved 1301.573 397 720.1087 0.0856481 0.854189
Moved 1301.603 405.686 727.2645 0.1057546 0.8725939
Moved 1301.634 412.6031 733.6031 0.1217665 0.8888968
Moved 1301.665 421.6467 738.7645 0.1427006 0.902172
Moved 1301.695 432.8387 743.4194 0.1686082 0.9141443
Moved 1301.726 446.5089 748.1696 0.2002521 0.9263621
Moved 1301.757 459.8235 751.4559 0.2310729 0.9348143
Moved 1301.788 471.869 753.9738 0.258956 0.9412906
Moved 1301.818 486.273 759.8546 0.2922987 0.956416
Moved 1301.849 498.9196 764.7299 0.3215732 0.9689555
Moved 1301.88 511.5 770 0.3506944 0.98251
Moved 1301.911 523.6737 776.3369 0.3788743 0.9988086
Moved 1301.941 538.3007 784.1202 0.412733 1.018828
Moved 1301.972 552.6473 791.7883 0.4459428 1.03855
Moved 1302.003 564.7003 799.0201 0.4738432 1.057151
Moved 1302.033 582.2932 816.2932 0.5145676 1.101577
Moved 1302.064 594.611 832.8147 0.5430811 1.144071
Moved 1302.095 603.143 846.3575 0.562831 1.178903
Moved 1302.126 608.1617 856.9044 0.5744485 1.20603
Moved 1302.156 611.4591 865.9182 0.5820813 1.229213
Moved 1302.187 614 871.6547 0.5879629 1.243968
Moved 1302.218 616.9038 875.8076 0.5946848 1.254649
Moved 1302.249 619.7519 878.752 0.6012775 1.262222
Moved 1302.279 622.6229 881 0.6079233 1.268004
Moved 1302.31 625.4937 882 0.6145688 1.270576
Moved 1302.341 627.0188 883 0.618099 1.273148
Moved 1302.371 629.5 883 0.6238425 1.273148
Moved 1302.402 630.1633 883 0.6253779 1.273148
Moved 1302.433 631 883 0.6273149 1.273148
Moved 1302.464 633.2103 883 0.6324313 1.273148
Stationary 1302.494 633 883 0.6319444 1.273148
Moved 1302.525 634.9556 883 0.6364713 1.273148
Moved 1302.556 636 875.4979 0.6388888 1.253852
Moved 1302.587 637.3773 871.2455 0.642077 1.242915
Moved 1302.617 637 863.2996 0.6412038 1.222478
Moved 1302.648 626.8937 846.1395 0.6178096 1.178342
Moved 1302.679 619.1103 830.8505 0.5997923 1.139019
Moved 1302.709 609.0195 816.5244 0.5764341 1.102172
Moved 1302.74 597.5361 800.8041 0.549852 1.061739
Moved 1302.771 587.2676 788.2676 0.5260825 1.029495
Moved 1302.802 576.6429 775.6429 0.5014883 0.9970239
Moved 1302.832 564.3765 767.0323 0.4730937 0.9748772
Moved 1302.863 552.3519 759.4111 0.4452589 0.9552755
Moved 1302.894 536.5145 752.8179 0.4085985 0.9383175
Moved 1302.924 518.4719 748.1348 0.366833 0.9262726
Moved 1302.955 498.3703 741.5873 0.3203016 0.9094322
Moved 1302.986 482 738.5 0.2824074 0.9014915
Moved 1303.017 464.2519 737 0.2413239 0.8976335
Moved 1303.047 447.3532 733.8707 0.2022065 0.889585
Moved 1303.078 432.9845 730.9969 0.1689455 0.8821934
Moved 1303.109 419.7628 729.4604 0.1383399 0.8782418
Moved 1303.14 404.8965 729 0.1039271 0.8770576
Moved 1303.17 390.5341 726.7068 0.07068077 0.8711592
Moved 1303.201 381.4992 727 0.0497667 0.8719134
Moved 1303.232 372.3001 727 0.02847244 0.8719134
Moved 1303.262 364.9081 727 0.01136144 0.8719134
Moved 1303.293 357.7326 727 -0.005248686 0.8719134
Moved 1303.324 355.0211 727 -0.0115251 0.8719134
Moved 1303.355 354 727 -0.01388888 0.8719134
Stationary 1303.385 354 727 -0.01388888 0.8719134
Ended 1303.416 354 727 -0.01388888 0.8719134
Accept 1303.508 0 healthy
Candidates 1303.508 13 food foods dogs of dos did should dod ships dolls if sports shops
Began 1304.399 456 698 0.2222222 0.7973251
Stationary 1304.43 456 698 0.2222222 0.7973251
Stationary 1304.461 456 698 0.2222222 0.7973251
Moved 1304.491 468.2373 714.983 0.2505492 0.8410057
Moved 1304.522 487.748 743.5463 0.2957128 0.9144709
Moved 1304.553 493.5724 753.7518 0.3091955 0.9407193
Moved 1304.584 506.0735 770.3419 0.3381332 0.9833897
Moved 1304.614 516.207 784.0484 0.3615901 1.018643
Moved 1304.645 526.819 798.5238 0.3861552 1.055874
Moved 1304.676 536.1547 813.3094 0.4077656 1.093903
Moved 1304.707 540.4694 823.4082 0.4177532 1.119877
Moved 1304.737 545.9894 832.9841 0.430531 1.144506
Moved 1304.768 549.8683 839.7365 0.4395099 1.161873
Moved 1304.799 554.4739 844.4739 0.4501711 1.174058
Moved 1304.829 560.3597 850.3596 0.4637955 1.189197
Moved 1304.86 569.3486 861.4648 0.4846033 1.217759
Moved 1304.891 575.9875 869.9749 0.499971 1.239647
Moved 1304.922 579.8613 874.8613 0.5089381 1.252215
Moved 1304.952 582.4079 877.4079 0.5148331 1.258765
Moved 1304.983 583 879.2794 0.5162038 1.263579
Moved 1305.014 583 880 0.5162038 1.265432
Moved 1305.045 572.9735 880 0.4929942 1.265432
Moved 1305.075 554.7367 875.6489 0.4507794 1.254241
Moved 1305.106 533.6255 862.3127 0.4019108 1.21994
Moved 1305.137 508.083 848.2498 0.3427848 1.18377
Moved 1305.167 483.6477 833.0985 0.2862216 1.144801
Moved 1305.198 451.1233 811.0822 0.2109336 1.088174
Moved 1305.229 418.6254 789.0836 0.135707 1.031594
Moved 1305.26 390.6981 769.1321 0.07106036 0.9802778
Moved 1305.29 371.8175 754.8958 0.02735545 0.9436618
Moved 1305.321 354.5295 741.4236 -0.01266316 0.9090111
Moved 1305.352 342.7078 730.7078 -0.04002825 0.8814501
Moved 1305.382 333.219 723.4142 -0.06199316 0.8626908
Moved 1305.413 324.5888 714.5887 -0.08197044 0.8399916
Moved 1305.444 315.9569 705.9568 -0.1019517 0.8177902
Moved 1305.475 310.2196 698.2196 -0.1152325 0.7978898
Moved 1305.505 305.1136 691.6704 -0.1270518 0.7810451
Moved 1305.536 303 686.6808 -0.1319445 0.7682118
Ended 1305.567 300.5 683 -0.1377315 0.7587448
Accept 1305.628 0 food
Candidates 1305.628 13 its is us his hours gotta hits goes press guys yours irs ours
Began 1306.734 441 657 0.1875 0.6918722
Stationary 1306.765 441 657 0.1875 0.6918722
Stationary 1306.796 441 657 0.1875 0.6918722
Moved 1306.827 441 676.6809 0.1875 0.742492
Moved 1306.857 448.962 689.8099 0.2059305 0.77626
Moved 1306.888 453.8294 708.8059 0.2171977 0.825118
Moved 1306.919 455 722.4973 0.2199073 0.8603324
Moved 1306.95 455 733.1198 0.2199073 0.8876535
Moved 1306.98 455 740.3983 0.2199073 0.9063742
Moved 1307.011 455 751.0114 0.2199073 0.9336713
Moved 1307.042 447.1245 762.6263 0.2016772 0.963545
Moved 1307.072 444.5 770.5 0.1956019 0.9837962
Moved 1307.103 439.4187 778.8719 0.1838397 1.005329
Moved 1307.134 434.6753 788.4871 0.1728594 1.030059
Moved 1307.165 428.9478 797.0782 0.1596015 1.052156
Moved 1307.195 423.4066 807.1868 0.1467746 1.078155
Moved 1307.226 417.5 814.5 0.1331019 1.096965
Moved 1307.257 404.5932 828.1254 0.103225 1.13201
Moved 1307.287 395.8036 833.0981 0.08287887 1.1448
Moved 1307.318 385.7166 838.1417 0.05952904 1.157772
Moved 1307.349 380.9976 841.0016 0.0486055 1.165127
Moved 1307.38 373.375 847.625 0.03096054 1.182163
Moved 1307.41 370.1201 857.3997 0.02342602 1.207304
Moved 1307.441 370 876.8727 0.02314816 1.257388
Moved 1307.472 388 922 0.06481478 1.373457
Ended 1307.503 394.0459 951.1568 0.07880995 1.448448
Accept 1307.564 1 is
Began 1308.854 467 672 0.2476852 0.7304525
Stationary 1308.885 467 672 0.2476852 0.7304525
Stationary 1308.916 467 672 0.2476852 0.7304525
Moved 1308.947 447.106 672 0.2016342 0.7304525
Moved 1308.977 433.9403 668.4304 0.1711581 0.7212713
Moved 1309.008 419.0824 662.6165 0.1367649 0.706318
Moved 1309.039 404.7082 659.7416 0.1034911 0.6989239
Moved 1309.069 393.7171 660 0.07804881 0.6995884
Moved 1309.1 381.8386 658.3677 0.05055239 0.6953902
Moved 1309.131 372.4864 657 0.02890368 0.6918722
Moved 1309.162 363.864 657 0.008944471 0.6918722
Moved 1309.193 358.1385 657 -0.004309068 0.6918722
Moved 1309.223 351.3998 657 -0.01990785 0.6918722
Moved 1309.254 348 662.3471 -0.0277778 0.7056252
Moved 1309.285 347 669 -0.0300926 0.7227365
Moved 1309.315 347 680.3059 -0.0300926 0.7518156
Moved 1309.346 362.7405 694.7405 0.006343722 0.7889413
Moved 1309.377 379.0453 710.2362 0.04408628 0.8287967
Moved 1309.408 392.459 719.8754 0.07513653 0.8535888
Moved 1309.438 431.5216 736.0706 0.1655592 0.8952433
Moved 1309.469 452.5 743 0.2141203 0.9130658
Moved 1309.5 470.3727 748.1242 0.2554923 0.9262453
Moved 1309.531 481.1245 751.0415 0.2803808 0.9337485
Moved 1309.561 498.3731 756.791 0.3203081 0.9485363
Moved 1309.592 514.1027 763.5513 0.3567191 0.9659241
Moved 1309.623 528.1417 769.485 0.3892168 0.9811856
Moved 1309.653 540.9193 775.2795 0.4187945 0.9960892
Moved 1309.684 551.0949 780.5237 0.4423493 1.009578
Moved 1309.715 561.1684 784.3895 0.4656675 1.01952
Moved 1309.745 569.7715 787.8857 0.4855822 1.028513
Moved 1309.776 579.4297 791.6199 0.5079393 1.038117
Moved 1309.807 589.0451 795.6817 0.530197 1.048564
Moved 1309.838 596 798 0.5462963 1.054527
Moved 1309.869 601.1304 801.0652 0.5581722 1.06241
Moved 1309.899 605.9435 804.9435 0.5693136 1.072385
Moved 1309.93 611.635 809.635 0.5824885 1.084452
Moved 1309.961 617.5942 815.8914 0.596283 1.100543
Moved 1309.991 630.0876 824.3917 0.6252027 1.122406
Moved 1310.022 636.1373 827.5687 0.6392068 1.130578
Moved 1310.053 638.0029 829.0028 0.6435251 1.134266
Moved 1310.084 641.542 830 0.6517176 1.136831
Moved 1310.114 644 831.8473 0.6574074 1.141582
Moved 1310.145 645.2903 832 0.6603941 1.141975
Stationary 1310.176 645.2903 832 0.6603941 1.141975
Stationary 1310.206 645 832 0.6597222 1.141975
Moved 1310.237 627.7649 828.2257 0.6198262 1.132268
Moved 1310.268 609.1005 817.3431 0.5766215 1.104277
Moved 1310.299 586.4302 805.2346 0.5241439 1.073134
Moved 1310.329 554.8203 787.1583 0.4509728 1.026642
Moved 1310.36 522.5352 767.7676 0.3762389 0.9767685
Moved 1310.391 492.5 749.5 0.306713 0.9297838
Moved 1310.422 467.0808 735.3872 0.2478723 0.8934854
Moved 1310.452 442.1991 720.1245 0.1902757 0.8542293
Moved 1310.483 420.8954 708.4477 0.1409616 0.8241968
Moved 1310.514 397.8381 695.4191 0.08758824 0.7906868
Moved 1310.544 385.3361 687.8016 0.05864829 0.7710947
Moved 1310.575 374.5827 680.187 0.0337562 0.7515096
Moved 1310.606 367.684 675.7893 0.01778702 0.7401988
Moved 1310.637 364.8418 673.4209 0.01120796 0.7341071
Moved 1310.667 360.5486 670.5486 0.001269778 0.7267194
Moved 1310.698 356.6823 667.6823 -0.00767996 0.7193472
Moved 1310.729 355.1258 665.1257 -0.01128296 0.7127718
Moved 1310.76 353.2988 664.2988 -0.01551196 0.7106451
