the union will go on strike
the union will go on strike
Basic
List

0.6 0.6
432 388.8
Began 3650.012 284 476 -0.1759259 0.2263374
Stationary 3650.043 284 476 -0.1759259 0.2263374
Stationary 3650.073 284 476 -0.1759259 0.2263374
Stationary 3650.104 284 476 -0.1759259 0.2263374
Stationary 3650.135 284 476 -0.1759259 0.2263374
Stationary 3650.166 284 476 -0.1759259 0.2263374
Stationary 3650.196 284 476 -0.1759259 0.2263374
Moved 3650.227 272.2126 476 -0.2032114 0.2263374
Moved 3650.258 270.2737 476 -0.2076997 0.2263374
Moved 3650.289 266.7998 476 -0.2157412 0.2263374
Moved 3650.319 264.2547 483 -0.2216326 0.2443414
Moved 3650.35 262.6933 484 -0.225247 0.2469135
Moved 3650.381 263 490.9431 -0.2245371 0.2647713
Moved 3650.411 271.55 500.275 -0.2047454 0.2887732
Moved 3650.442 284.6164 510.4109 -0.1744991 0.3148429
Moved 3650.473 297.7179 518.4307 -0.1441715 0.3354698
Moved 3650.504 304.5 523 -0.1284722 0.3472221
Moved 3650.534 307.9648 524.9648 -0.1204517 0.3522758
Moved 3650.565 309.5259 526.5259 -0.1168383 0.3562907
Moved 3650.596 310 528.0336 -0.1157407 0.3601685
Stationary 3650.627 310 528 -0.1157407 0.3600822
Moved 3650.657 311 529 -0.113426 0.3626543
Stationary 3650.688 311 529 -0.113426 0.3626543
Moved 3650.719 315.8633 520.4102 -0.1021684 0.3405612
Moved 3650.75 329.9971 493.0058 -0.06945112 0.2700766
Moved 3650.78 343.8801 462.2399 -0.03731464 0.1909461
Moved 3650.811 354.3087 436.7281 -0.01317422 0.1253294
Moved 3650.842 362.5878 411.0991 0.005990366 0.05941108
Moved 3650.873 374.0094 390.1868 0.0324292 0.00562452
Moved 3650.903 387.1402 368.3476 0.06282459 -0.05054638
Moved 3650.934 398.4626 351.4217 0.08903393 -0.09408008
Moved 3650.965 403.6626 342.0123 0.1010708 -0.1182811
Moved 3650.996 408.4171 335.5829 0.1120767 -0.1348178
Moved 3651.026 410.4305 328.7086 0.1167372 -0.1524986
Moved 3651.057 412 327.0261 0.1203704 -0.156826
Stationary 3651.088 412 327 0.1203704 -0.1568931
Moved 3651.118 388.4278 346.5087 0.06580502 -0.1067164
Moved 3651.149 358.0352 374.9647 -0.004548033 -0.03352703
Moved 3651.18 335.178 397.9692 -0.05745823 0.025641
Moved 3651.211 318.6096 416.7888 -0.09581109 0.07404508
Moved 3651.241 305.3096 434.5665 -0.1265981 0.1197698
Moved 3651.272 293.199 452.4418 -0.1546319 0.1657452
Moved 3651.303 284.9454 467.6229 -0.1737375 0.2047914
Moved 3651.333 276 488 -0.1944444 0.2572016
Moved 3651.364 268.0338 505.9323 -0.2128846 0.3033238
Moved 3651.395 262.1353 519.6843 -0.2265387 0.3386942
Moved 3651.426 251.6354 540.2872 -0.2508439 0.391685
Ended 3651.457 248 546 -0.2592593 0.4063785
Ended 3651.487 704 92 0.7962964 -0.7613169
Candidates 3651.518 13 the where she gender server edge enter what rubber genre turner denver tender
Accept 3651.672 0 the
Began 3652.748 495 449 0.3125 0.156893
