they might find your comment offensive
they might find your comment offensive
FixStart
Radial

0.6 0.6
432 388.8
Moved 330.1713 341.0905 253.7262 -0.04377201 -0.3453545
Moved 330.202 328.9834 230.9709 -0.07179762 -0.4038813
Moved 330.2328 316.2622 215.8059 -0.1012449 -0.4428861
Moved 330.2635 302.9672 210.7935 -0.1320203 -0.4557782
Moved 330.2942 278.2294 218.8164 -0.1892837 -0.4351431
Moved 330.325 253.5 242.5 -0.2465278 -0.3742284
Moved 330.3557 226.8708 274.4115 -0.3081695 -0.2921515
Moved 330.3864 207.7465 296.1469 -0.3524387 -0.2362478
Moved 330.4171 194.372 312.285 -0.3833982 -0.1947401
Moved 330.4479 182.6257 326.4678 -0.4105886 -0.1582618
Moved 330.4786 173 347 -0.4328704 -0.1054527
Ended 330.5093 173 347 -0.4328704 -0.1054527
Candidates 330.663 13 find found finds fund fond funds going films tons done ins fine sound
Began 331.0318 148 339 -0.4907407 -0.1260288
Stationary 331.0625 148 339 -0.4907407 -0.1260288
Moved 331.0933 189.1379 339 -0.3955142 -0.1260288
Moved 331.124 252.204 347.9337 -0.2495277 -0.1030513
Moved 331.1547 296.8535 354.6067 -0.1461723 -0.08588814
Moved 331.1854 339.6972 360.1414 -0.04699712 -0.07165281
Ended 331.2162 351 361 -0.02083332 -0.06944452
Accept 331.3083 0 find
Began 331.3391 273 270 -0.2013889 -0.303498
Stationary 331.3698 273 270 -0.2013889 -0.303498
Moved 331.4005 273 282.1045 -0.2013889 -0.2723651
Moved 331.4313 259.3974 324.0391 -0.2328764 -0.1645086
Moved 331.462 268.0442 366.0836 -0.2128606 -0.05636953
Moved 331.4927 303.7564 415.2931 -0.1301934 0.0701982
Moved 331.5235 338.5 444 -0.04976853 0.1440329
Moved 331.5542 366.4321 453.5405 0.01488904 0.1685711
Moved 331.585 387.6952 453 0.06410917 0.167181
Moved 331.6157 405.7677 438.1549 0.1059437 0.1289992
Moved 331.6464 418.883 425.8962 0.1363033 0.09746967
Moved 331.6772 424.9528 410.1654 0.1503536 0.05700975
Moved 331.7079 425 390.4789 0.150463 0.006375803
