travel at the speed of light
travel at the speed of light
Basic
Radial

0.6 0.6
432 388.8
Began 142.5786 384 499 0.0555556 0.2854938
Stationary 142.6092 384 499 0.0555556 0.2854938
Stationary 142.64 384 499 0.0555556 0.2854938
Moved 142.6708 373.8351 513.3299 0.03202558 0.3223504
Moved 142.7015 371.2585 519.2244 0.02606144 0.3375113
Moved 142.7323 369.3896 525.8314 0.02173513 0.3545045
Moved 142.763 368.517 530.966 0.01971523 0.3677108
Moved 142.7937 368 534.0103 0.01851857 0.3755406
Moved 142.8245 367.108 536.892 0.01645366 0.3829525
Moved 142.8552 367 538.3218 0.01620372 0.3866299
Moved 142.886 365.8039 540.1961 0.01343489 0.3914508
Moved 142.9167 362.7275 542.1362 0.006313721 0.3964408
Moved 142.9474 352.9386 542 -0.01634578 0.3960905
Moved 142.9781 331.0618 542 -0.06698663 0.3960905
Moved 143.0089 312 542 -0.1111111 0.3960905
Moved 143.0397 296.5262 542 -0.1469302 0.3960905
Moved 143.0704 281.3159 542 -0.182139 0.3960905
Moved 143.1012 271.9265 542 -0.2038738 0.3960905
Moved 143.1319 267.5451 542 -0.2140159 0.3960905
Moved 143.1626 264.6737 532.7158 -0.2206628 0.3722112
Moved 143.1934 264 533.902 -0.2222222 0.3752624
Moved 143.2241 263 530.9297 -0.2245371 0.3676176
Moved 143.2549 255.7937 514.5875 -0.2412182 0.325585
Moved 143.2856 235.3539 485.3273 -0.2885327 0.2503274
Moved 143.3163 209.0986 452.3184 -0.3493087 0.1654278
Moved 143.3471 189.4591 429.4591 -0.3947706 0.1066335
Moved 143.3778 169.264 408.264 -0.4415186 0.0521192
Moved 143.4085 157.9914 396.9915 -0.4676124 0.02312613
Moved 143.4393 152.4568 389.4568 -0.4804241 0.003747037
Moved 143.47 151 385.959 -0.4837963 -0.005249408
Moved 143.5007 157.4216 380.1653 -0.4689316 -0.02015102
Moved 143.5315 180.5883 369.877 -0.415305 -0.04661269
Moved 143.5623 225.1633 345.6547 -0.312122 -0.1089128
Moved 143.593 241.1982 335.6011 -0.2750041 -0.1347708
Moved 143.6237 269.6473 318.5469 -0.2091498 -0.1786344
Moved 143.6545 298.4912 293.4579 -0.1423814 -0.2431638
Moved 143.6852 320.6587 277.7389 -0.09106784 -0.2835934
Moved 143.716 340.031 266.9845 -0.04622459 -0.3112539
Moved 143.7467 350.6443 262.7853 -0.0216568 -0.3220544
Moved 143.7775 358.1684 263 -0.004239778 -0.3215021
Moved 143.8082 362.6531 268.2248 0.006141464 -0.3080638
Moved 143.8389 358.795 293.2562 -0.002789299 -0.2436826
Moved 143.8697 342.8225 330.1023 -0.03976265 -0.1489139
Moved 143.9004 331.3566 364.1678 -0.0663041 -0.06129669
Moved 143.9311 314.214 404.3698 -0.1059862 0.04210319
Moved 143.9619 300.353 437.6176 -0.1380718 0.1276172
Moved 143.9926 288.3839 465.3095 -0.1657779 0.1988413
Moved 144.0234 281.9153 487.3387 -0.1807515 0.2555006
Moved 144.0541 278.0907 503.6371 -0.1896048 0.2974204
Moved 144.0849 277 517.4382 -0.1921296 0.332917
Moved 144.1156 290.1013 526.0507 -0.1618024 0.3550684
Moved 144.1463 303.9527 530.5858 -0.129739 0.366733
Moved 144.177 330.6741 534 -0.06788392 0.3755144
Moved 144.2078 363.2986 534 0.007635653 0.3755144
Moved 144.2385 403.5211 519.9307 0.1007434 0.3393279
Moved 144.2693 452.2899 500.35 0.213634 0.2889661
Moved 144.3 496.8987 479.5507 0.316895 0.2354697
Moved 144.3308 528.6889 459.5178 0.3904836 0.1839447
Moved 144.3615 547.2809 444.7191 0.4335207 0.1458823
Moved 144.3922 562.5894 428.8927 0.4689571 0.1051766
Ended 144.423 565 426 0.474537 0.09773654
Candidates 144.4845 13 travel isabel radio label yahoo panel peaceful level real rebel retail trail excel
Began 145.0685 358 407 -0.004629641 0.04886827
Stationary 145.0992 358 407 -0.004629641 0.04886827
Moved 145.13 369.9458 407 0.02302259 0.04886827
Moved 145.1607 412.4106 393.2899 0.1213208 0.0136056
Moved 145.1915 456.7395 387.8859 0.223934 -0.0002936375
Moved 145.2222 499.1866 387 0.3221912 -0.002572055
Ended 145.2529 507.5 387 0.3414352 -0.002572055
Accept 145.3145 0 travel
Began 145.7141 212 405 -0.3425926 0.04372424
Stationary 145.7448 212 405 -0.3425926 0.04372424
Stationary 145.7756 212 405 -0.3425926 0.04372424
Stationary 145.8063 212 405 -0.3425926 0.04372424
Stationary 145.8371 212 405 -0.3425926 0.04372424
Stationary 145.8678 212 405 -0.3425926 0.04372424
Stationary 145.8985 212 405 -0.3425926 0.04372424
Stationary 145.9292 212 405 -0.3425926 0.04372424
Stationary 145.96 212 405 -0.3425926 0.04372424
Moved 145.9908 224.7468 414.8101 -0.3130862 0.06895587
