I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Began 3896.347 340 400 -0.04629632 0.03086416
Stationary 3896.377 340 400 -0.04629632 0.03086416
Moved 3896.408 358.6846 429.3163 -0.003044903 0.1062662
Moved 3896.439 388.938 471.2791 0.06698608 0.214195
Moved 3896.469 413.0203 504.2753 0.1227321 0.2990619
Moved 3896.5 427.9682 525.4443 0.1573338 0.353509
Moved 3896.531 435.7217 538.4434 0.1752818 0.3869429
Moved 3896.562 437.9048 541.8095 0.180335 0.3956005
Ended 3896.593 439 543 0.1828703 0.3986624
Candidates 3896.715 13 I ii u iii go gi o hi it you iu guy to
Began 3897.391 327 461 -0.07638887 0.1877571
Moved 3897.422 374.4589 461 0.0334697 0.1877571
Moved 3897.453 414.6412 461 0.1264843 0.1877571
Moved 3897.484 445.4147 461 0.1977193 0.1877571
Moved 3897.514 464.4974 461 0.2418921 0.1877571
Moved 3897.545 476.7753 461 0.2703132 0.1877571
Ended 3897.576 483.8915 461 0.286786 0.1877571
Accept 3897.699 0 I
Began 3898.375 393 379 0.07638891 -0.02314815
Stationary 3898.406 393 379 0.07638891 -0.02314815
Moved 3898.436 373.4805 390.8164 0.03120482 0.007243843
Moved 3898.467 346.3924 412.916 -0.03149907 0.06408436
Moved 3898.498 313.6992 443.7426 -0.1071778 0.1433707
Moved 3898.529 285.2372 471.7628 -0.1730621 0.2154392
Moved 3898.559 264.7292 495.4523 -0.2205343 0.2763691
Moved 3898.59 252.4137 509.5863 -0.2490423 0.3127219
Moved 3898.621 241.6764 521.3236 -0.2738973 0.3429104
Moved 3898.651 235.103 526.4485 -0.2891134 0.3560917
Moved 3898.682 231.6791 531.6418 -0.2970391 0.3694489
Moved 3898.713 229.1673 533.8327 -0.3028534 0.375084
Moved 3898.744 227.2962 536.4077 -0.3071848 0.3817069
Moved 3898.774 224.4281 539.5719 -0.3138238 0.3898453
Moved 3898.805 222.8899 544.2202 -0.3173845 0.4018008
Moved 3898.836 223 551.0118 -0.3171296 0.4192691
Moved 3898.866 223 556.7556 -0.3171296 0.4340421
Moved 3898.897 237.9404 565.2276 -0.2825455 0.4558322
Moved 3898.928 268.6007 574.1501 -0.2115724 0.4787812
Moved 3898.959 303.8114 575 -0.1300661 0.480967
Moved 3898.99 340.2025 575 -0.04582743 0.480967
Moved 3899.02 375.4322 565.0541 0.03572275 0.455386
Moved 3899.051 407.4536 559.2325 0.1098462 0.4404129
Moved 3899.082 432.311 554.4865 0.1673865 0.4282058
Moved 3899.112 452.9814 549.7546 0.2152347 0.4160355
Moved 3899.143 467.038 546.327 0.247773 0.4072196
Moved 3899.174 479.6342 543.4553 0.276931 0.3998334
Moved 3899.205 490.6149 541.5963 0.3023493 0.395052
Moved 3899.235 499.8104 540 0.3236351 0.3909464
Moved 3899.266 506.336 539 0.3387406 0.3883744
Moved 3899.297 513.2933 537 0.3548457 0.3832304
Moved 3899.327 519.5156 535 0.369249 0.3780863
Moved 3899.358 523.0612 535 0.3774563 0.3780863
Moved 3899.389 525.5 533.5 0.3831019 0.3742283
Moved 3899.42 526.1866 534 0.3846911 0.3755144
Moved 3899.45 527.374 532.626 0.3874397 0.3719805
Moved 3899.481 528 531.9108 0.3888889 0.3701408
Moved 3899.512 529.3729 532 0.3920668 0.3703703
Moved 3899.542 529 530.752 0.3912036 0.3671603
Moved 3899.573 531.5 516 0.3969907 0.329218
Moved 3899.604 534.2957 491.3386 0.4034624 0.2657886
Moved 3899.635 538.1765 461.2355 0.4124455 0.1883627
Moved 3899.666 543.0294 431.7063 0.4236791 0.1124133
Moved 3899.696 548.717 402.4147 0.436845 0.03707489
Moved 3899.727 556.8038 377.3923 0.4555645 -0.02728325
Moved 3899.758 563.9598 365.4003 0.4721293 -0.05812696
Moved 3899.788 570.4039 355.3942 0.487046 -0.08386266
Moved 3899.819 574.4156 349.5844 0.4963323 -0.09880552
Moved 3899.85 579.5676 345.4324 0.5082582 -0.1094846
Moved 3899.881 582.8666 342.5667 0.5158949 -0.1168552
Moved 3899.911 583.0159 339.9841 0.5162405 -0.1234978
Moved 3899.942 583 338.5669 0.5162038 -0.1271428
Moved 3899.973 584.316 338 0.5192502 -0.1286009
Ended 3900.003 584 337 0.5185185 -0.1311728
Candidates 3900.065 13 will wool still feel took roll week grill fell well tool toll tell
Began 3900.926 379 473 0.04398147 0.2186213
Moved 3900.956 397.9826 473 0.0879228 0.2186213
Moved 3900.987 438.7878 481.8484 0.1823792 0.2413797
Moved 3901.018 485.0624 483 0.2894963 0.2443414
Moved 3901.048 527.846 484 0.3885324 0.2469135
Moved 3901.079 553.311 484 0.4474793 0.2469135
Moved 3901.11 567.1471 484 0.4795071 0.2469135
Ended 3901.141 572 484 0.4907407 0.2469135
Accept 3901.202 0 will
Began 3902.278 370 427 0.02314816 0.1003086
Stationary 3902.308 370 427 0.02314816 0.1003086
Stationary 3902.339 370 427 0.02314816 0.1003086
Moved 3902.37 407.1791 395.6185 0.1092109 0.01959491
Moved 3902.401 430.8385 377.9357 0.163978 -0.02588562
Moved 3902.431 455.4862 355.7261 0.2210329 -0.08300906
Moved 3902.462 476.5583 334.3021 0.269811 -0.1381121
Moved 3902.493 494.1614 317.8386 0.3105589 -0.1804564
Moved 3902.523 505.4411 306.1987 0.3366692 -0.2103945
Moved 3902.554 513.4484 297.1031 0.3552047 -0.2337884
Moved 3902.585 523.1631 281.5922 0.3776925 -0.2736827
Moved 3902.616 528.4677 272.7985 0.3899714 -0.2963001
Moved 3902.646 531 266.9628 0.3958333 -0.3113097
Moved 3902.677 532.3856 263.6144 0.3990407 -0.3199219
Moved 3902.708 532 260.7446 0.3981481 -0.3273031
Stationary 3902.739 532 261 0.3981481 -0.3266461
Moved 3902.769 510.661 277.6716 0.3487523 -0.2837664
Moved 3902.8 477.307 309.7236 0.271544 -0.2013282
Moved 3902.831 456.5756 333.1093 0.2235546 -0.1411798
Moved 3902.862 429.9521 357.7092 0.1619262 -0.07790836
Moved 3902.892 406.27 381.73 0.1071066 -0.01612667
Moved 3902.923 395.9712 391.4003 0.0832666 0.008745468
