electric cars need big fuel cells
electric cars need big fuel cells
FixStart
List

0.6 0.6
432 388.8
Began 1035.448 447 305 0.2013889 -0.2134774
Stationary 1035.479 447 305 0.2013889 -0.2134774
Moved 1035.51 440.3196 310.1959 0.1859251 -0.2001136
Moved 1035.54 424.7317 326.722 0.1498419 -0.1576081
Moved 1035.571 408.6275 342.3725 0.1125636 -0.1173547
Moved 1035.602 396.6579 357.9276 0.08485625 -0.07734667
Moved 1035.632 387.0825 373.5292 0.06269087 -0.03721904
Moved 1035.663 380.9242 387.1516 0.04843563 -0.002182109
Moved 1035.694 376.407 397.1861 0.03797909 0.02362671
Moved 1035.725 371.8709 405.2582 0.02747893 0.04438828
Moved 1035.755 369.154 409.846 0.02118975 0.05618825
Moved 1035.786 369 412 0.02083332 0.06172835
Moved 1035.817 369 413 0.02083332 0.06430033
Stationary 1035.848 369 413 0.02083332 0.06430033
Moved 1035.878 383.1064 400.2084 0.05348702 0.03140021
Moved 1035.909 400.9666 388.1715 0.09483009 0.0004410449
Moved 1035.94 422 368.5 0.1435185 -0.0501544
Moved 1035.971 440.7076 351.2924 0.186823 -0.09441258
Moved 1036.001 452.863 340.137 0.2149608 -0.1231046
Moved 1036.032 466.5 326.5 0.2465278 -0.158179
Moved 1036.063 478.2478 316.8141 0.2737218 -0.1830912
Moved 1036.094 486.5143 309.4857 0.2928571 -0.2019401
Moved 1036.124 492.1174 304.4413 0.3058273 -0.2149143
Moved 1036.155 494.9739 302.0261 0.3124396 -0.2211263
Moved 1036.186 498.6899 299.3101 0.3210416 -0.228112
Moved 1036.216 502.829 296.5855 0.3306228 -0.2351196
Moved 1036.247 504.1352 294.8647 0.3336463 -0.2395455
Moved 1036.278 506.3797 294 0.3388419 -0.2417696
Moved 1036.308 508.1147 293 0.3428582 -0.2443416
Moved 1036.339 509.5 292 0.3460647 -0.2469136
Moved 1036.37 510.1542 292 0.3475791 -0.2469136
Moved 1036.401 511.2142 292 0.3500328 -0.2469136
Moved 1036.432 512 292 0.3518519 -0.2469136
Stationary 1036.462 512 292 0.3518519 -0.2469136
Moved 1036.493 512 306.7425 0.3518519 -0.2089957
Moved 1036.524 506.264 317.4614 0.338574 -0.1814266
Moved 1036.554 494.5476 332.5416 0.3114528 -0.1426399
Moved 1036.585 479.4932 350.5912 0.2766047 -0.096216
Moved 1036.616 464 367 0.2407408 -0.05401234
Moved 1036.647 443.8132 386.1868 0.1940119 -0.004663585
Moved 1036.677 427.2181 400.8256 0.1555974 0.03298755
Moved 1036.708 416.9652 409.0348 0.1318638 0.05410182
Moved 1036.739 408.7543 414.1229 0.1128572 0.06718832
Moved 1036.77 399.3943 419.6057 0.09119054 0.08129014
Moved 1036.8 391.5 424 0.07291664 0.09259254
Moved 1036.831 384.2751 428.4833 0.05619228 0.1041236
Moved 1036.862 379.7738 431.2262 0.04577269 0.1111784
Moved 1036.892 373.0003 434.3333 0.03009339 0.1191698
Moved 1036.923 368.9424 437.0576 0.0207 0.1261769
Moved 1036.954 365.2213 439 0.01208623 0.1311728
Moved 1036.985 362.8096 440 0.006503662 0.1337448
Moved 1037.015 360.0912 441 0.0002110998 0.1363167
Moved 1037.046 358.3658 442 -0.003782908 0.1388888
Moved 1037.077 356.8197 442 -0.00736187 0.1388888
Moved 1037.108 356 442.7463 -0.009259283 0.1408082
Moved 1037.138 354.7656 443 -0.01211673 0.1414608
Moved 1037.169 354 443 -0.01388888 0.1414608
Moved 1037.2 352.5 443 -0.0173611 0.1414608
Moved 1037.231 350.6561 425.2805 -0.02162938 0.09588587
Moved 1037.261 351 396.9671 -0.02083332 0.02306341
Moved 1037.292 351 384.6356 -0.02083332 -0.008653279
Moved 1037.323 351 365.9524 -0.02083332 -0.05670688
Moved 1037.354 351 343.5502 -0.02083332 -0.1143256
Moved 1037.384 351 326.786 -0.02083332 -0.1574434
Moved 1037.415 351 313.156 -0.02083332 -0.1925
Moved 1037.446 351 301.308 -0.02083332 -0.2229734
Moved 1037.476 351 291.1475 -0.02083332 -0.2491062
Moved 1037.507 359.1823 285.6354 -0.001892795 -0.2632836
Moved 1037.538 359 281.0908 -0.002314796 -0.2749722
Moved 1037.569 360 275.3567 0 -0.2897205
Moved 1037.599 361.0435 268.8694 0.002415578 -0.3064058
Moved 1037.63 361 264.4804 0.002314846 -0.3176945
Moved 1037.661 361 261.7674 0.002314846 -0.3246724
Moved 1037.692 362 259.1268 0.004629592 -0.3314641
Moved 1037.722 362 257.7016 0.004629592 -0.3351296
Moved 1037.753 364.3073 258 0.009970466 -0.3343622
Moved 1037.784 377.8558 272.6651 0.04133284 -0.2966432
Moved 1037.815 397.8738 294.3528 0.08767078 -0.2408622
Moved 1037.845 419.1189 324.8648 0.1368493 -0.1623848
Moved 1037.876 433.6812 345.442 0.1705582 -0.1094599
Moved 1037.907 443.9643 359.2054 0.1943618 -0.07406031
Moved 1037.938 454.1856 377.3248 0.2180222 -0.02745695
Moved 1037.968 461.3086 390.3087 0.2345107 0.005937858
Moved 1037.999 466.9851 400.9703 0.2476507 0.03335968
Moved 1038.03 469.8681 406.6044 0.2543244 0.04785082
Moved 1038.06 472 413.1838 0.2592593 0.06477301
Moved 1038.091 473 418.6188 0.2615741 0.07875191
Moved 1038.122 474 423.0653 0.2638889 0.09018847
Moved 1038.153 474 426.8795 0.2638889 0.09999863
Moved 1038.183 474 431.3312 0.2638889 0.1114484
Moved 1038.214 466.8999 435.775 0.2474535 0.1228781
Moved 1038.245 459.5 441 0.2303241 0.1363167
Moved 1038.276 450.0103 443.9974 0.2083573 0.1440262
Moved 1038.306 438.1231 447 0.1808405 0.1517489
Moved 1038.337 424.8015 449.4397 0.1500034 0.1580238
Moved 1038.368 415.3865 449 0.1282096 0.156893
Moved 1038.398 405.2221 449 0.1046809 0.156893
Moved 1038.429 398.3659 449 0.08880992 0.156893
Moved 1038.46 392.9138 449 0.07618923 0.156893
Moved 1038.491 391.5897 449 0.07312427 0.156893
Moved 1038.521 390.7867 449 0.0712655 0.156893
Moved 1038.552 391 440.0962 0.07175922 0.1339922
Moved 1038.583 405.1088 434.1347 0.1044186 0.1186592
Moved 1038.614 419.9918 429.0024 0.1388698 0.1054587
Moved 1038.644 439.9945 424.2865 0.1851726 0.09332939
Moved 1038.675 456.6369 420.5605 0.2236965 0.08374614
Moved 1038.706 469.7825 417.8435 0.2541262 0.07675795
Moved 1038.737 484.8553 416.429 0.289017 0.07311962
Moved 1038.767 496.889 416 0.3168727 0.07201634
Moved 1038.798 507.0654 415 0.3404292 0.06944436
Moved 1038.829 513 413.5 0.3541666 0.06558634
Moved 1038.859 516.4833 414 0.3622299 0.06687239
Moved 1038.89 517 413.1549 0.3634259 0.06469876
Moved 1038.921 517 411.4314 0.3634259 0.06026585
Moved 1038.952 517 402.9635 0.3634259 0.03848625
Moved 1038.982 475.5478 375.4777 0.2674718 -0.03220758
Moved 1039.013 413.9362 328.0341 0.1248523 -0.1542335
Moved 1039.044 384.5659 301.7452 0.05686551 -0.2218489
Moved 1039.075 370.5183 285.5183 0.0243479 -0.2635846
Moved 1039.105 359.7757 272.7757 -0.0005193055 -0.2963589
Moved 1039.136 354.9548 263.9548 -0.01167864 -0.3190462
Moved 1039.167 350.5072 258.5072 -0.021974 -0.3330577
Moved 1039.198 347.8779 253.7559 -0.02806033 -0.3452781
Moved 1039.228 345.1569 251.1569 -0.0343591 -0.3519629
Moved 1039.259 343.4369 248 -0.03834059 -0.3600824
Ended 1039.29 342.5 248 -0.04050925 -0.3600824
Candidates 1039.413 13 electric thesis jesus this status russia directors media elections tests discuss music thus
Began 1040.427 515 366 0.3587963 -0.05658444
Stationary 1040.458 515 366 0.3587963 -0.05658444
Stationary 1040.488 515 366 0.3587963 -0.05658444
Stationary 1040.519 515 366 0.3587963 -0.05658444
Stationary 1040.55 515 366 0.3587963 -0.05658444
Moved 1040.581 502.3253 355.4337 0.3294566 -0.08376101
