that is a very nasty cut
that is a very nasty cut
FixStart
List

0.6 0.6
432 388.8
Began 2669.831 392 402 0.07407407 0.03600815
Stationary 2669.861 392 402 0.07407407 0.03600815
Stationary 2669.892 392 402 0.07407407 0.03600815
Moved 2669.923 383.5064 424.9617 0.05441288 0.09506614
Moved 2669.954 373.6902 476.8586 0.0316903 0.2285458
Moved 2669.984 365.6284 517.8577 0.01302878 0.3339962
Moved 2670.015 362.0041 554.955 0.004639129 0.429411
Moved 2670.046 361 572.3132 0.002314846 0.4740564
Moved 2670.076 361 583.2914 0.002314846 0.5022926
Moved 2670.107 361 584 0.002314846 0.5041152
Stationary 2670.138 361 584 0.002314846 0.5041152
Stationary 2670.169 361 584 0.002314846 0.5041152
Moved 2670.199 361 579.8959 0.002314846 0.4935594
Moved 2670.23 361 557.4437 0.002314846 0.4358118
Moved 2670.261 373.6557 535.3771 0.03161053 0.3790562
Moved 2670.292 381.4833 512.3777 0.04972994 0.3199015
Moved 2670.323 388.4065 492.0772 0.06575584 0.2676882
Moved 2670.353 397.1473 471.558 0.08598923 0.2149125
Moved 2670.384 403.2543 456.4915 0.1001257 0.1761611
Moved 2670.415 409.9705 441.0739 0.1156723 0.1365067
Moved 2670.445 415.7071 429.5858 0.1289516 0.1069593
Moved 2670.476 419.7213 416.3937 0.1382436 0.07302888
Moved 2670.507 423.2518 404.993 0.1464161 0.04370619
Moved 2670.538 427 391.3615 0.1550926 0.008645823
Moved 2670.568 427.9821 387.0536 0.157366 -0.002434185
Moved 2670.599 428 381.0313 0.1574074 -0.01792366
Moved 2670.63 428 373.7133 0.1574074 -0.03674582
Moved 2670.66 418.8929 367.3979 0.1363261 -0.05298881
Moved 2670.691 404.8714 363.8387 0.1038689 -0.0621433
Moved 2670.722 383.6933 364 0.05484551 -0.06172839
Moved 2670.753 359.8427 364 -0.0003641844 -0.06172839
Moved 2670.783 331.1228 364 -0.06684531 -0.06172839
Moved 2670.814 299.2621 373.3115 -0.1405971 -0.037779
Moved 2670.845 276.4695 375 -0.1933578 -0.03343629
Moved 2670.876 252.1744 378.3787 -0.2495963 -0.02474616
Moved 2670.906 234.6315 383.6842 -0.2902047 -0.01110038
Moved 2670.937 224.7524 391.2476 -0.3130732 0.008352931
Moved 2670.968 219.0284 399.9148 -0.3263231 0.03064493
Moved 2670.999 218 414.9523 -0.3287037 0.06932172
Moved 2671.029 218 429.3143 -0.3287037 0.1062611
Moved 2671.06 218 438.9554 -0.3287037 0.1310582
Moved 2671.091 227.2072 450.4143 -0.3073909 0.1605306
Moved 2671.122 231.9436 460.8873 -0.2964267 0.1874672
Moved 2671.152 237.9361 470.5815 -0.2825553 0.2124008
Moved 2671.183 250.0366 483.0366 -0.2545449 0.2444356
