I listen to the tape everyday
I listen to the tape everyday
Basic
Radial

0.6 0.6
432 388.8
Began 1311.542 467 507 0.2476852 0.3060699
Stationary 1311.573 467 507 0.2476852 0.3060699
Stationary 1311.604 467 507 0.2476852 0.3060699
Stationary 1311.635 467 507 0.2476852 0.3060699
Ended 1311.665 467 507 0.2476852 0.3060699
Candidates 1311.727 8 I o u y p j k t
Began 1312.096 301 445 -0.1365741 0.1466049
Moved 1312.126 311.2647 445 -0.1128131 0.1466049
Moved 1312.157 369.9358 445 0.02299955 0.1466049
Moved 1312.188 454.2321 445 0.2181298 0.1466049
Moved 1312.219 492.6079 454.5072 0.3069627 0.1710576
Ended 1312.249 524.4116 457 0.3805823 0.1774691
Accept 1312.311 0 I
Began 1312.464 526 413 0.3842592 0.06430033
Stationary 1312.495 526 413 0.3842592 0.06430033
Moved 1312.526 512.2242 437.7557 0.3523708 0.1279723
Moved 1312.557 497.3328 482.669 0.3178999 0.2434901
Moved 1312.587 495 520.1925 0.3125 0.3400012
Moved 1312.618 495 544.4822 0.3125 0.4024748
Moved 1312.649 490.0956 551.9522 0.3011472 0.4216877
Moved 1312.679 445.5 542.5 0.1979166 0.3973764
Moved 1312.71 317.4739 443.4517 -0.09843996 0.1426227
Moved 1312.741 289.4429 421.5084 -0.1633267 0.08618402
Moved 1312.772 256.0648 410.8441 -0.2405907 0.0587554
Moved 1312.802 234.7874 410 -0.289844 0.05658428
Moved 1312.833 225.9851 410 -0.3102198 0.05658428
Moved 1312.864 224 421.1354 -0.3148148 0.08522484
Moved 1312.895 233.9444 440.1874 -0.2917954 0.1342269
Moved 1312.925 283.7001 474.2051 -0.17662 0.2217208
Moved 1312.956 336.1305 498.5831 -0.05525341 0.2844216
Moved 1312.987 371.1412 510.0471 0.02578984 0.313907
Moved 1313.018 379.0175 512 0.044022 0.31893
Moved 1313.048 380 512 0.04629632 0.31893
Moved 1313.079 371.5494 512 0.02673477 0.31893
Moved 1313.11 332.2126 497.1927 -0.0643228 0.2808453
Moved 1313.141 290.1263 482.9224 -0.1617447 0.2441418
Moved 1313.171 270.807 476.9517 -0.2064653 0.2287852
Moved 1313.202 266.0811 474.0811 -0.2174048 0.2214019
Moved 1313.233 266 465.5 -0.2175926 0.1993312
Moved 1313.263 310.6115 441.5923 -0.1143253 0.1378403
Moved 1313.294 349.101 410.2491 -0.02522915 0.05722509
Moved 1313.325 383.5664 381.528 0.05455186 -0.01664613
Moved 1313.356 407.0803 358.7037 0.1089821 -0.07535063
Moved 1313.386 428.3854 331.6473 0.1582995 -0.14494
Moved 1313.417 439.7158 304.1368 0.1845273 -0.2156977
Moved 1313.448 445.4572 287.857 0.1978176 -0.2575695
Ended 1313.479 445.4572 287.857 0.1978176 -0.2575695
Candidates 1313.571 13 listen pattern often hidden porn item open learn path own poem patch pen
Began 1313.94 268 415 -0.212963 0.06944436
Stationary 1313.97 268 415 -0.212963 0.06944436
Moved 1314.001 300.1744 415 -0.1384852 0.06944436
Moved 1314.032 386.1297 415 0.0604854 0.06944436
Moved 1314.063 427.7127 426.8927 0.1567423 0.1000326
Moved 1314.093 458.1234 427 0.2271374 0.1003086
Ended 1314.124 468.1417 427 0.250328 0.1003086
Accept 1314.185 0 listen
Began 1314.339 326 512 -0.07870371 0.31893
Stationary 1314.37 326 512 -0.07870371 0.31893
Moved 1314.401 335.8187 512 -0.05597532 0.31893
Moved 1314.431 382.0653 512 0.05107711 0.31893
Moved 1314.462 420.596 512 0.1402686 0.31893
Moved 1314.493 447.3902 512 0.2022922 0.31893
Moved 1314.524 471.2022 512 0.2574126 0.31893
Moved 1314.554 488 512 0.2962963 0.31893
Moved 1314.585 498.2132 512 0.319938 0.31893
Moved 1314.616 505.5167 512 0.3368441 0.31893
Moved 1314.646 513.1319 512 0.354472 0.31893
Ended 1314.677 517.4187 512 0.3643952 0.31893
Candidates 1314.739 13 to too top tip trip rio rip tp rp yo group trio tripp
Began 1315.2 306 433 -0.125 0.1157406
Moved 1315.23 339.9791 433 -0.04634475 0.1157406
Moved 1315.261 403.5622 433 0.1008384 0.1157406
Moved 1315.292 453.1941 447.2662 0.2157271 0.1524335
Moved 1315.323 474.635 448 0.2653588 0.1543209
Ended 1315.353 489 448 0.2986111 0.1543209
Began 1315.538 382 559 0.05092591 0.4398148
Accept 1315.538 0 to
Moved 1315.569 382 533.0099 0.05092591 0.3729679
Moved 1315.599 393.5692 465.4341 0.07770658 0.1991618
Moved 1315.63 405.3256 430.686 0.1049205 0.1097889
Moved 1315.661 416.9233 412.4357 0.1317669 0.06284894
Moved 1315.692 420 405.4879 0.1388889 0.04497913
Stationary 1315.722 420 405 0.1388889 0.04372424
Moved 1315.753 385.4222 418.8148 0.05884777 0.07925614
Moved 1315.784 337.2758 455.3384 -0.05260234 0.1731955
Moved 1315.815 303.7238 487.6147 -0.1302689 0.2562105
Moved 1315.845 282 509 -0.1805555 0.3112139
Moved 1315.876 269.8568 527.2863 -0.2086647 0.3582466
Ended 1315.907 266 536 -0.2175926 0.3806583
Candidates 1315.999 13 the threw other there offer higher turkey trigger tiger fighter where tougher either
Began 1316.368 274 424 -0.199074 0.09259254
Moved 1316.398 308.3955 424 -0.1194549 0.09259254
Moved 1316.429 398.104 424 0.08820374 0.09259254
Moved 1316.46 457.9534 424 0.226744 0.09259254
Moved 1316.491 484.7719 431 0.2888238 0.1105966
Ended 1316.521 497.5 431 0.318287 0.1105966
Accept 1316.583 0 the
Began 1316.737 400 526 0.09259263 0.3549381
Moved 1316.767 389.7126 526 0.06877909 0.3549381
Moved 1316.798 359.213 503.2924 -0.001821866 0.2965337
Moved 1316.829 305.601 468.4007 -0.1259235 0.2067918
Moved 1316.859 234.3297 416.4619 -0.2909034 0.07320443
Moved 1316.89 199.9441 389.9511 -0.3704998 0.005018171
Moved 1316.921 188.2557 382.1279 -0.3975562 -0.01510322
Moved 1316.952 188 381 -0.3981482 -0.01800419
Moved 1316.982 255.8705 408.1974 -0.2410406 0.05194801
Moved 1317.013 362.5402 449.4846 0.005879998 0.1581392
Moved 1317.044 426.5795 473.8486 0.1541191 0.2208041
Moved 1317.075 476.5238 491.6667 0.269731 0.2666323
Moved 1317.105 518.0526 504.5546 0.3658623 0.2997804
Moved 1317.136 532.7758 508.2586 0.3999439 0.309307
Moved 1317.167 539.2551 509 0.4149424 0.3112139
Moved 1317.198 543.2891 510.6446 0.4242804 0.3154438
Moved 1317.228 547.5169 513.5169 0.434067 0.3228315
Moved 1317.259 548 516.3732 0.4351853 0.330178
Moved 1317.29 524.8267 522.8967 0.3815433 0.3469564
Moved 1317.321 434.1349 513.9477 0.1716085 0.3239394
Moved 1317.351 384.3416 504.3101 0.05634636 0.2991515
Moved 1317.382 334.6365 497.8849 -0.05871182 0.2826257
Moved 1317.413 293.2722 494.904 -0.1544625 0.2749587
Moved 1317.443 268.2578 493 -0.2123663 0.2700616
Moved 1317.474 257.3348 493 -0.2376508 0.2700616
Ended 1317.505 255 493 -0.2430556 0.2700616
Candidates 1317.597 13 tape despite paper rape tapes resort rapid adapt papers trapped shape fair therefore
Began 1317.997 281 454 -0.1828704 0.169753
Moved 1318.027 312.2981 454 -0.110421 0.169753
Moved 1318.058 392.5194 454 0.07527649 0.169753
Moved 1318.089 451.1937 454 0.2110965 0.169753
Moved 1318.12 478.5153 454 0.2743409 0.169753
Ended 1318.15 484.5 454 0.2881944 0.169753
Accept 1318.212 0 tape
Began 1318.458 286 497 -0.1712963 0.2803498
Stationary 1318.489 286 497 -0.1712963 0.2803498
Moved 1318.519 286 447.3289 -0.1712963 0.1525949
Moved 1318.55 316 382.5 -0.1018519 -0.01414617
Moved 1318.581 337.5341 329.6533 -0.0520043 -0.1500688
Moved 1318.611 345.2478 286.1415 -0.03414859 -0.2619819
Moved 1318.642 345 249.4432 -0.03472224 -0.3563703
Moved 1318.673 340.5173 248.8793 -0.04509881 -0.3578209
Moved 1318.704 316.3234 248 -0.1011032 -0.3600824
Moved 1318.734 277.3822 310.3312 -0.1912449 -0.1997655
Moved 1318.765 256.1624 364.8478 -0.2403649 -0.05954781
Moved 1318.796 251 425.0988 -0.2523148 0.09541856
Moved 1318.827 256.0967 472.7956 -0.2405169 0.2180956
Moved 1318.857 276.3987 501.6732 -0.1935216 0.2923692
Moved 1318.888 314.08 523.6212 -0.1062964 0.3488197
Moved 1318.919 357.835 537.6064 -0.005011509 0.38479
