win first prize in the contest
win first prize in the contest
Basic
Radial

0.6 0.6
432 388.8
Began 2869.925 252 508 -0.25 0.3086419
Stationary 2869.956 252 508 -0.25 0.3086419
Stationary 2869.987 252 508 -0.25 0.3086419
Stationary 2870.017 252 508 -0.25 0.3086419
Stationary 2870.048 252 508 -0.25 0.3086419
Stationary 2870.079 252 508 -0.25 0.3086419
Moved 2870.109 252 496.7826 -0.25 0.2797906
Moved 2870.14 252 494.5274 -0.25 0.2739902
Moved 2870.171 252 489.4473 -0.25 0.2609239
Moved 2870.202 252 487.782 -0.25 0.2566411
Moved 2870.232 266.3495 484.9127 -0.2167837 0.2492609
Moved 2870.263 274.8262 484 -0.1971616 0.2469135
Moved 2870.294 285.438 484 -0.1725972 0.2469135
Moved 2870.324 296.4011 484 -0.1472197 0.2469135
Moved 2870.355 306.7558 484 -0.1232504 0.2469135
Moved 2870.386 317.3529 492.7843 -0.09872014 0.2695068
Moved 2870.417 326.9915 495.6638 -0.07640858 0.2769131
Moved 2870.448 336.1428 498.5357 -0.055225 0.2842996
Moved 2870.478 346.3655 500.0731 -0.03156131 0.2882538
Moved 2870.509 357.8463 501 -0.004985531 0.2906378
Moved 2870.54 371.2599 502 0.02606452 0.2932098
Moved 2870.571 383 503 0.05324075 0.2957818
Moved 2870.601 395.9473 504 0.08321135 0.2983539
Moved 2870.632 407.2289 505 0.1093262 0.3009258
Moved 2870.663 415.7967 505 0.129159 0.3009258
Moved 2870.693 421.724 505 0.1428796 0.3009258
Moved 2870.724 426.3557 505 0.1536011 0.3009258
Moved 2870.755 428.5 505 0.1585648 0.3009258
Moved 2870.786 429 496.9009 0.1597223 0.2800947
Moved 2870.816 430 492.7567 0.162037 0.2694359
Moved 2870.847 430 474.5204 0.162037 0.222532
Moved 2870.878 430 467.1916 0.162037 0.203682
Moved 2870.908 430 447.388 0.162037 0.1527468
Moved 2870.939 430 425.3739 0.162037 0.09612624
Moved 2870.97 430.6787 411.2851 0.1636082 0.0598896
Moved 2871.001 432.5439 398.8243 0.1679257 0.02784034
Moved 2871.031 433 387.6475 0.1689814 -0.0009067755
Moved 2871.062 434 376.1443 0.1712963 -0.03049309
Moved 2871.093 434 365.5286 0.1712963 -0.05779682
Moved 2871.124 434 357 0.1712963 -0.07973259
