I can still feel your presence
I can still feel your presence
Basic
Radial

Moved 1887.355 397.4486 521.0811 0.08668672 0.3422868
Moved 1887.386 403.7088 531.4175 0.1011777 0.3688722
Moved 1887.417 406.8923 536.8923 0.1085471 0.3829534
Moved 1887.447 408.4327 541.8654 0.1121127 0.3957441
Moved 1887.478 408.6805 543.6805 0.1126865 0.4004128
Moved 1887.509 409 545.1099 0.113426 0.4040891
Moved 1887.539 409 546.5 0.113426 0.4076646
Moved 1887.57 409 547 0.113426 0.4089505
Moved 1887.601 409 548 0.113426 0.4115225
Moved 1887.632 410.0647 549 0.1158906 0.4140946
Moved 1887.662 410 550.2997 0.1157407 0.4174373
Moved 1887.693 411.0476 550 0.1181657 0.4166666
Moved 1887.724 436.1028 550 0.176164 0.4166666
Moved 1887.755 462.2161 537.4853 0.2366113 0.3844785
Moved 1887.785 514.8071 519.575 0.3583497 0.338413
Moved 1887.816 530.3214 510.8393 0.3942623 0.3159446
Moved 1887.847 539.9858 504.0142 0.4166338 0.2983904
Moved 1887.877 544.7202 498.4197 0.427593 0.2840013
Moved 1887.908 546.4094 488.3626 0.4315031 0.2581342
Moved 1887.939 546 463.261 0.4305556 0.1935725
Moved 1887.969 532.568 439.272 0.399463 0.1318725
Moved 1888 525.5223 405.6118 0.3831535 0.0452978
Moved 1888.031 520.4373 381.1863 0.3713825 -0.01752492
Moved 1888.062 519.1694 365.847 0.3684478 -0.05697784
Moved 1888.092 519 358.8783 0.3680556 -0.07490158
Ended 1888.123 519 358.8783 0.3680556 -0.07490158
Candidates 1888.184 13 still full silk doll soil fill aol dull soul folk fool stroll roll
Began 1888.799 407 358 0.1087963 -0.07716057
Stationary 1888.83 407 358 0.1087963 -0.07716057
Moved 1888.86 426.1004 358 0.1530101 -0.07716057
Moved 1888.891 449.929 358 0.2081689 -0.07716057
Moved 1888.922 470.5 358 0.2557871 -0.07716057
Moved 1888.953 492.8816 358 0.3075963 -0.07716057
Moved 1888.983 504.3403 362.6909 0.334121 -0.06509537
Moved 1889.014 510.4428 365 0.3482473 -0.05915646
Ended 1889.045 513.5 365 0.3553241 -0.05915646
Accept 1889.106 0 still
Began 1890.197 317 331 -0.09953702 -0.146605
Stationary 1890.227 317 331 -0.09953702 -0.146605
Stationary 1890.258 317 331 -0.09953702 -0.146605
Stationary 1890.289 317 331 -0.09953702 -0.146605
Stationary 1890.319 317 331 -0.09953702 -0.146605
Moved 1890.35 303 355.5 -0.1319445 -0.08359061
Moved 1890.381 285.5865 389.827 -0.1722535 0.004699142
Moved 1890.411 268.746 419.2926 -0.2112362 0.08048505
Moved 1890.442 258.6931 437.9603 -0.2345067 0.1284987
Moved 1890.473 251.0085 450.6525 -0.2522951 0.1611431
