exercise is good for the mind
exercise is good for the mind
FixStart
Radial

0.6 0.6
432 388.8
Began 2970.818 410 253 0.1157407 -0.3472223
Stationary 2970.848 410 253 0.1157407 -0.3472223
Stationary 2970.879 410 253 0.1157407 -0.3472223
Stationary 2970.91 410 253 0.1157407 -0.3472223
Stationary 2970.941 410 253 0.1157407 -0.3472223
Moved 2970.971 397.8932 253 0.08771569 -0.3472223
Moved 2971.002 389.2825 263.8116 0.06778359 -0.3194146
Moved 2971.033 378.5 269.5 0.04282405 -0.304784
Moved 2971.063 362.6443 283.3557 0.006121 -0.2691469
Moved 2971.094 348.1919 297.9697 -0.0273336 -0.2315593
Moved 2971.125 336.9189 311.1013 -0.05342836 -0.1977848
Moved 2971.156 327.7209 325.4186 -0.07472008 -0.1609604
Moved 2971.187 318.6409 342.7181 -0.09573857 -0.1164658
Moved 2971.217 313.3545 354.2911 -0.1079758 -0.08669998
Moved 2971.248 308.6306 367.7387 -0.1189105 -0.05211237
Moved 2971.279 305.294 378.1179 -0.1266342 -0.02541703
Moved 2971.309 303 387.7345 -0.1319445 -0.0006829171
Moved 2971.34 302 393.8872 -0.1342593 0.01514199
Moved 2971.371 300.9847 398.0153 -0.1366095 0.02575953
Moved 2971.402 301 399.4526 -0.1365741 0.02945629
Moved 2971.432 300.2364 401 -0.1383417 0.03343609
Stationary 2971.463 300 401 -0.1388889 0.03343609
Stationary 2971.494 300 401 -0.1388889 0.03343609
Moved 2971.524 299 387.7747 -0.1412037 -0.0005794258
Moved 2971.555 298.0778 359.7782 -0.1433384 -0.07258694
Moved 2971.586 297 334.5 -0.1458333 -0.1376029
Moved 2971.616 293.7027 300.3243 -0.153466 -0.2255033
Moved 2971.647 291.8429 272.1149 -0.1577711 -0.2980585
Moved 2971.678 290 249.698 -0.162037 -0.3557151
Moved 2971.709 290 233.9103 -0.162037 -0.3963213
Moved 2971.74 290 218.7477 -0.162037 -0.4353198
Moved 2971.77 290 204.351 -0.162037 -0.4723483
Moved 2971.801 290 191.3619 -0.162037 -0.5057564
Moved 2971.832 290 181.8179 -0.162037 -0.5303039
Moved 2971.862 290 174.7961 -0.162037 -0.5483639
Moved 2971.893 290 168.0731 -0.162037 -0.5656556
Moved 2971.924 290 161.9408 -0.162037 -0.5814279
Moved 2971.955 296.3678 155.1807 -0.1472968 -0.5988151
Moved 2971.985 297.7766 149.4469 -0.1440358 -0.6135625
Moved 2972.016 298 144.3431 -0.1435185 -0.6266895
Moved 2972.047 299 140.8044 -0.1412037 -0.635791
Moved 2972.077 299 137.9327 -0.1412037 -0.6431771
Moved 2972.108 299 137 -0.1412037 -0.6455761
Stationary 2972.139 299 137 -0.1412037 -0.6455761
