they might find your comment offensive
they might find your comment offensive
Basic
List

0.6 0.6
432 388.8
Moved 3253.053 346.126 370.9748 -0.03211578 -0.04378911
Moved 3253.083 363.1221 369 0.007227063 -0.04886839
Moved 3253.114 381.7802 369 0.05041698 -0.04886839
Moved 3253.145 396.6809 369 0.0849096 -0.04886839
Moved 3253.176 404.4198 377.4692 0.1028236 -0.02708553
Moved 3253.207 406.7361 380.2083 0.1081854 -0.02004058
Moved 3253.237 407 399.546 0.1087963 0.0296964
Moved 3253.268 394.1175 423.7062 0.07897575 0.09183679
Moved 3253.299 383.593 445.4623 0.05461335 0.1477938
Moved 3253.329 375.5884 460.9702 0.03608435 0.1876805
Moved 3253.36 366.106 478.3411 0.01413415 0.2323586
Moved 3253.391 358.8183 491.3635 -0.002735505 0.2658524
Moved 3253.422 353.7944 499.3084 -0.01436487 0.2862869
Moved 3253.452 348.9966 510.0134 -0.02547075 0.3138203
Moved 3253.483 344.2565 517.6153 -0.03644337 0.3333726
Moved 3253.514 341.2528 525.2416 -0.04339625 0.3529875
Moved 3253.545 340 530.5326 -0.04629632 0.3665961
Moved 3253.575 340 536.2791 -0.04629632 0.3813761
Moved 3253.606 340 539.0075 -0.04629632 0.3883936
Ended 3253.637 340 541.9194 -0.04629632 0.3958831
Accept 3253.729 0 they
Candidates 3253.729 13 might night knight bought thought body flight knife another my must buddy buffy
Began 3254.805 344 420 -0.03703703 0.08230445
Stationary 3254.836 344 420 -0.03703703 0.08230445
Moved 3254.867 344 406.1105 -0.03703703 0.04658051
Moved 3254.897 344 397.5 -0.03703703 0.02443408
Moved 3254.928 344 385.5451 -0.03703703 -0.006314069
Moved 3254.959 344 375.3081 -0.03703703 -0.03264376
Moved 3254.99 344 365.6484 -0.03703703 -0.05748874
Moved 3255.02 344 358.152 -0.03703703 -0.07676968
Moved 3255.051 344 350.5186 -0.03703703 -0.09640297
Moved 3255.082 344 345.2731 -0.03703703 -0.1098944
Moved 3255.113 344 341.7624 -0.03703703 -0.118924
Moved 3255.143 344 341 -0.03703703 -0.1208849
Stationary 3255.174 344 341 -0.03703703 -0.1208849
Moved 3255.205 344 352.6041 -0.03703703 -0.09103876
Moved 3255.236 351.1577 372.2253 -0.02046824 -0.04057291
Moved 3255.266 368.3511 401.1658 0.01933138 0.03386254
Moved 3255.297 394.9834 431.9834 0.08098007 0.113126
Moved 3255.328 424.2076 455.9057 0.1486287 0.1746545
Moved 3255.358 442.5643 467.8939 0.1911211 0.2054884
Moved 3255.389 454.231 475.1541 0.2181275 0.2241615
Moved 3255.42 458.9604 478 0.2290751 0.2314814
Moved 3255.451 459 479.3734 0.2291666 0.2350138
Stationary 3255.481 459 479 0.2291666 0.2340534
Moved 3255.512 459 458.3179 0.2291666 0.1808588
Moved 3255.543 459 429.901 0.2291666 0.10777
Moved 3255.574 451.7398 393.8997 0.2123607 0.01517413
Moved 3255.604 433.5778 352.7022 0.170319 -0.09078649
Moved 3255.635 426.277 321.1079 0.153419 -0.1720476
Moved 3255.666 423 291.0956 0.1458333 -0.2492398
Moved 3255.697 423 270.1426 0.1458333 -0.3031311
Moved 3255.727 427.4428 251.5573 0.1561176 -0.3509331
Moved 3255.758 432 234.4706 0.1666667 -0.3948802
Moved 3255.789 432 227.9822 0.1666667 -0.4115686
Moved 3255.82 432 225.0929 0.1666667 -0.4189998
