did you have a good time
did you have a good time
Basic
List

0.6 0.6
432 388.8
Began 2489.856 182 330 -0.412037 -0.149177
Stationary 2489.886 182 330 -0.412037 -0.149177
Moved 2489.917 196.5053 338.5325 -0.3784598 -0.1272312
Moved 2489.948 244.3685 363.9834 -0.2676655 -0.06177117
Moved 2489.979 313.274 401.1487 -0.1081619 0.03381874
Moved 2490.01 398.5774 447.543 0.08929957 0.1531456
Moved 2490.04 434.1076 465.043 0.1715453 0.1981559
Moved 2490.071 457.1814 474.818 0.2249569 0.2232973
Moved 2490.102 469.1805 479.4537 0.2527326 0.2352202
Moved 2490.132 474.4736 481 0.2649853 0.2391974
Moved 2490.163 476.5 482 0.2696759 0.2417695
Moved 2490.194 476 482 0.2685185 0.2417695
Stationary 2490.225 476 482 0.2685185 0.2417695
Moved 2490.255 464.4577 482 0.2418002 0.2417695
Moved 2490.285 447.5843 474.5843 0.2027414 0.2226961
Moved 2490.317 427 465 0.1550926 0.1980452
Moved 2490.348 396.0544 449.4843 0.08345932 0.1581384
Moved 2490.378 354.5385 426.5231 -0.01264239 0.09908185
Moved 2490.409 318.3356 400.6939 -0.09644528 0.03264887
Moved 2490.44 295.6547 384.7928 -0.1489475 -0.008249047
Moved 2490.471 278.8444 370.8444 -0.1878601 -0.04412451
Moved 2490.501 267.8494 361.8494 -0.2133115 -0.06725971
Moved 2490.532 261.4308 355.4308 -0.2281694 -0.08376847
Moved 2490.563 258.3112 353.3113 -0.2353906 -0.08922003
Moved 2490.594 256.7834 351.7834 -0.2389272 -0.09314957
Moved 2490.624 255.6424 350.6424 -0.2415686 -0.09608445
Moved 2490.655 254.7224 349.7225 -0.2436981 -0.09845042
Moved 2490.686 254 348.8303 -0.2453704 -0.1007453
Ended 2490.717 253 349 -0.2476852 -0.1003086
Candidates 2490.809 13 did said ships aids asia aid dod shops soda food this dogs axis
Began 2491.7 353 562 -0.01620372 0.4475308
Stationary 2491.731 353 562 -0.01620372 0.4475308
Stationary 2491.762 353 562 -0.01620372 0.4475308
Stationary 2491.792 353 562 -0.01620372 0.4475308
Moved 2491.823 363.403 549.3992 0.00787735 0.4151214
Moved 2491.854 390.9442 540.8112 0.07163017 0.3930327
Moved 2491.885 434.5796 541 0.1726379 0.3935184
Moved 2491.916 474.6199 541 0.2653239 0.3935184
Moved 2491.946 492.8806 548.9761 0.3075939 0.4140332
Moved 2491.977 504.1887 552.7296 0.3337701 0.4236871
Moved 2492.008 510.3288 555.1644 0.3479833 0.4299494
Moved 2492.038 514 556.5 0.3564815 0.4333847
Moved 2492.069 515.5 557.5 0.3599537 0.4359567
Moved 2492.1 515 557 0.3587963 0.4346707
Moved 2492.131 509.24 559 0.3454629 0.4398148
Moved 2492.161 485.5865 559 0.2907094 0.4398148
Moved 2492.192 446.3814 544.6804 0.199957 0.4029845
Moved 2492.223 411.843 533.5671 0.1200068 0.3744008
Moved 2492.254 381.8253 522.7547 0.05052159 0.3465912
Moved 2492.284 359.7565 514.0385 -0.0005637109 0.324173
Moved 2492.315 348.7422 509.9141 -0.02605985 0.3135649
Moved 2492.346 343.2117 507.6058 -0.03886178 0.307628
Moved 2492.376 339.7146 505.7146 -0.04695694 0.3027638
Ended 2492.407 340 506 -0.04629632 0.3034978
Accept 2492.5 0 did
Candidates 2492.5 13 you your tour type root it toy error out route i u report
Began 2493.329 351 433 -0.02083332 0.1157406
Moved 2493.36 351 420.0775 -0.02083332 0.08250362
Moved 2493.391 351 413.3669 -0.02083332 0.06524396
Moved 2493.422 351 400.3752 -0.02083332 0.0318291
Moved 2493.452 351 392.1121 -0.02083332 0.01057621
Moved 2493.483 351 385.922 -0.02083332 -0.005344697
Moved 2493.514 351 381.2249 -0.02083332 -0.01742571
Moved 2493.545 339.4855 375.4855 -0.04748726 -0.03218749
Moved 2493.575 306.4496 372 -0.1239592 -0.04115226
Moved 2493.606 243.3137 372 -0.2701071 -0.04115226
Moved 2493.637 194.3106 380.4741 -0.3835403 -0.01935676
Moved 2493.668 165.2523 382.8956 -0.4508048 -0.0131286
Moved 2493.698 146.7379 384.6524 -0.4936623 -0.008610109
Moved 2493.729 134.3832 386.4042 -0.522261 -0.004104528
Moved 2493.76 126.4913 386 -0.5405293 -0.005144111
Moved 2493.791 122.3599 386 -0.5500928 -0.005144111
Moved 2493.821 121 386 -0.5532407 -0.005144111
Stationary 2493.852 121 386 -0.5532407 -0.005144111
Moved 2493.883 135.9393 372.4188 -0.5186591 -0.04007512
Moved 2493.914 172.785 351.448 -0.4333681 -0.09401242
Moved 2493.944 208.7816 330.5737 -0.3500425 -0.1477015
Moved 2493.975 243.8533 311.4311 -0.268858 -0.1969366
Moved 2494.006 266.5756 297.0547 -0.2162603 -0.2339129
Moved 2494.037 288.7776 283.1112 -0.1648667 -0.2697758
Moved 2494.067 309.0398 271.1201 -0.1179634 -0.300617
Moved 2494.098 321.8584 264.0708 -0.08829082 -0.3187479
Moved 2494.129 328.6992 259.2006 -0.07245565 -0.3312743
Moved 2494.159 333.6451 256.355 -0.06100684 -0.3385931
Moved 2494.19 336.3946 254.6055 -0.0546422 -0.3430929
Moved 2494.221 338.1367 254 -0.05060945 -0.3446502
Moved 2494.252 339.2332 254 -0.0480712 -0.3446502
Moved 2494.282 331.3179 270.4617 -0.06639381 -0.3023106
Moved 2494.313 300.5191 321.8743 -0.1376872 -0.1700764
Moved 2494.344 260.7938 383.7299 -0.229644 -0.01098272
Moved 2494.375 226.2283 441.5355 -0.3096568 0.1376942
Moved 2494.405 214.9393 461.1061 -0.3357885 0.1880301
Moved 2494.436 207.4739 476.0522 -0.3530698 0.2264718
Moved 2494.467 203.8571 486.4286 -0.3614419 0.25316
Moved 2494.498 201.0594 494.8218 -0.367918 0.2747473
Moved 2494.528 200 498.696 -0.3703704 0.284712
Moved 2494.559 199 502.4501 -0.3726852 0.2943676
Moved 2494.59 199 503 -0.3726852 0.2957818
Ended 2494.621 199 503 -0.3726852 0.2957818
Accept 2494.713 0 you
Candidates 2494.713 13 have gave face java grace cave kansas race grave france save jane trace
Began 2495.727 51 396 -0.7152778 0.02057605
Stationary 2495.758 51 396 -0.7152778 0.02057605
Stationary 2495.789 51 396 -0.7152778 0.02057605
Stationary 2495.819 51 396 -0.7152778 0.02057605
Stationary 2495.85 51 396 -0.7152778 0.02057605
Stationary 2495.881 51 396 -0.7152778 0.02057605
Stationary 2495.912 51 396 -0.7152778 0.02057605
Moved 2495.942 64.65112 396 -0.683678 0.02057605
Moved 2495.973 69.23188 396 -0.6730744 0.02057605
Moved 2496.004 75.52279 396 -0.6585121 0.02057605
Moved 2496.035 81.53577 396 -0.6445932 0.02057605
Moved 2496.065 87.02611 396 -0.6318841 0.02057605
Moved 2496.096 92.42207 396 -0.6193933 0.02057605
Moved 2496.127 98.67757 396 -0.6049131 0.02057605
Moved 2496.157 105.9338 396 -0.5881162 0.02057605
