I listen to the tape everyday
I listen to the tape everyday
Basic
Radial

0.6 0.6
432 388.8
Began 1176.491 437 563 0.1782407 0.4501028
Stationary 1176.521 437 563 0.1782407 0.4501028
Stationary 1176.551 437 563 0.1782407 0.4501028
Stationary 1176.583 437 563 0.1782407 0.4501028
Stationary 1176.613 437 563 0.1782407 0.4501028
Stationary 1176.644 437 563 0.1782407 0.4501028
Stationary 1176.675 437 563 0.1782407 0.4501028
Stationary 1176.706 437 563 0.1782407 0.4501028
Stationary 1176.736 437 563 0.1782407 0.4501028
Stationary 1176.767 437 563 0.1782407 0.4501028
Stationary 1176.798 437 563 0.1782407 0.4501028
Stationary 1176.828 437 563 0.1782407 0.4501028
Stationary 1176.859 437 563 0.1782407 0.4501028
Stationary 1176.89 437 563 0.1782407 0.4501028
Stationary 1176.921 437 563 0.1782407 0.4501028
Stationary 1176.951 437 563 0.1782407 0.4501028
Stationary 1176.982 437 563 0.1782407 0.4501028
Moved 1177.013 437 545.5746 0.1782407 0.4052843
Moved 1177.044 437 537.8669 0.1782407 0.38546
Moved 1177.074 445 531.5008 0.1967593 0.3690863
Moved 1177.105 447.126 527.874 0.2016807 0.359758
Moved 1177.136 447.7473 525.2527 0.2031186 0.3530163
Moved 1177.167 448 523.9033 0.2037037 0.3495455
Moved 1177.197 451.8566 521.5717 0.2126311 0.3435484
Ended 1177.228 451.8566 521.5717 0.2126311 0.3435484
Candidates 1177.289 13 I u you to it iu yo top too toy out up y
Began 1177.75 269 448 -0.2106481 0.1543209
Stationary 1177.781 269 448 -0.2106481 0.1543209
Moved 1177.812 298.9251 448 -0.141377 0.1543209
Moved 1177.843 329.6585 439.6951 -0.07023493 0.1329607
Moved 1177.873 353.6855 436.3755 -0.01461685 0.1244226
Moved 1177.904 370.465 434 0.02422442 0.1183127
Moved 1177.935 381.2298 432 0.04914303 0.1131687
Moved 1177.965 388.2367 431 0.06536275 0.1105966
Moved 1177.996 394.9449 430 0.08089105 0.1080246
Moved 1178.027 398.844 429 0.08991659 0.1054526
Moved 1178.058 401 428.283 0.09490739 0.1036085
Moved 1178.088 403.24 428 0.1000925 0.1028806
Moved 1178.119 404 426.9456 0.1018518 0.1001686
Ended 1178.15 405 427 0.1041667 0.1003086
Accept 1178.273 0 I
Began 1178.611 541 459 0.4189815 0.1826131
Stationary 1178.641 541 459 0.4189815 0.1826131
Stationary 1178.672 541 459 0.4189815 0.1826131
Stationary 1178.703 541 459 0.4189815 0.1826131
Moved 1178.734 530.4335 478.6463 0.394522 0.2331437
Moved 1178.764 519.8159 505.1577 0.369944 0.3013313
Moved 1178.795 514.7466 518.0137 0.3582097 0.3343974
Moved 1178.826 510.8746 527.3762 0.3492467 0.3584778
Moved 1178.856 506.6673 536.6654 0.3395076 0.3823698
Moved 1178.887 502 545.5 0.3287037 0.4050925
Moved 1178.918 497.176 555.648 0.317537 0.4311933
Moved 1178.949 490.1868 561.8132 0.3013583 0.4470504
Moved 1178.979 479.0732 568.3561 0.2756324 0.4638787
Moved 1179.01 465.7395 571 0.2447675 0.4706789
Moved 1179.041 453.4148 571 0.2162379 0.4706789
Moved 1179.072 445.7523 571 0.1985007 0.4706789
Moved 1179.102 437.1551 571 0.1785997 0.4706789
Moved 1179.133 430.3494 571 0.1628458 0.4706789
Moved 1179.164 424 571 0.1481481 0.4706789
Moved 1179.194 419.5938 562.5781 0.1379485 0.4490177
Moved 1179.225 415.8444 560.9222 0.1292694 0.4447586
Moved 1179.256 413.0555 558.0555 0.1228136 0.4373855
Moved 1179.286 408.9638 554.9638 0.1133421 0.4294336
Moved 1179.317 403.2114 550.2114 0.1000264 0.4172103
Moved 1179.348 395.2189 542.2189 0.08152525 0.3966534
Moved 1179.379 385.5928 533.5928 0.05924265 0.3744671
Moved 1179.409 374.3084 521.9813 0.03312131 0.3446021
Moved 1179.44 359.2777 508.8222 -0.00167191 0.3107567
Moved 1179.471 343.4744 494.8953 -0.03825372 0.2749365
Moved 1179.502 329.3498 484.2332 -0.07094949 0.2475133
Moved 1179.532 311.2318 468.2318 -0.1128895 0.2063573
Moved 1179.563 292.9851 452.985 -0.1551271 0.1671425
Moved 1179.594 276.3149 439.8519 -0.1937154 0.1333639
Moved 1179.625 263.5369 430.6295 -0.2232942 0.1096437
Moved 1179.655 252.1308 423.0981 -0.2496973 0.09027272
Moved 1179.686 243.5058 413.6744 -0.2696624 0.066035
Moved 1179.717 235.5 406.5 -0.2881945 0.04758226
Moved 1179.747 228.3298 399.3298 -0.304792 0.02914048
Moved 1179.778 222.8111 393.8111 -0.3175669 0.01494623
Moved 1179.809 215.0937 387.0624 -0.3354313 -0.002411422
Moved 1179.84 209.3818 381.3818 -0.3486533 -0.01702234
Moved 1179.87 203.1737 376.5869 -0.3630238 -0.02935488
Moved 1179.901 200.7049 372.7049 -0.3687387 -0.03933934
Moved 1179.932 199 370.8427 -0.3726852 -0.0441289
Moved 1179.963 197.81 371 -0.3754398 -0.04372435
Moved 1179.993 198 370 -0.375 -0.04629637
Stationary 1180.024 198 370 -0.375 -0.04629637
Moved 1180.055 222.6495 384.8053 -0.317941 -0.008216865
Moved 1180.085 250.3467 402.8978 -0.253827 0.03831742
Moved 1180.116 269.4277 415.7421 -0.2096582 0.07135309
Moved 1180.147 286.3543 427.7953 -0.1704761 0.1023541
Moved 1180.177 300.6334 439.5278 -0.1374226 0.1325303
Moved 1180.208 315.8892 450.9335 -0.1021083 0.161866
Moved 1180.239 326.4413 458.7206 -0.07768214 0.1818945
Moved 1180.27 336 465 -0.05555556 0.1980452
Moved 1180.3 345.9553 471.4777 -0.03251091 0.2147059
Moved 1180.331 355.4539 478.227 -0.01052335 0.2320653
Moved 1180.362 358.9891 481.9891 -0.002340128 0.2417413
Moved 1180.393 361 484.56 0.002314846 0.2483539
Moved 1180.423 362.435 486.435 0.005636612 0.2531764
Moved 1180.454 362 490 0.004629592 0.2623456
Moved 1180.485 362 494.1839 0.004629592 0.2731067
Moved 1180.516 362 500.8903 0.004629592 0.2903557
Moved 1180.546 351.2426 507.7574 -0.02027174 0.3080178
Moved 1180.577 341.1454 516.3909 -0.04364496 0.3302235
Moved 1180.608 328.1549 522.9484 -0.07371555 0.3470894
Moved 1180.638 309.9677 531.5162 -0.1158155 0.3691259
Moved 1180.669 291.4255 535.7149 -0.1587373 0.3799251
Moved 1180.7 278.6454 537 -0.1883208 0.3832304
Moved 1180.731 271.5945 537 -0.2046423 0.3832304
Moved 1180.761 265.9824 537 -0.2176334 0.3832304
Moved 1180.792 261.1151 537 -0.2289002 0.3832304
Moved 1180.823 256 523.5 -0.2407407 0.3485081
Moved 1180.854 251.4458 511.8915 -0.251283 0.318651
Moved 1180.884 251 499.3646 -0.2523148 0.2864314
Moved 1180.915 251 486.8787 -0.2523148 0.2543175
Moved 1180.946 256.9407 475.0297 -0.2385631 0.2238417
Moved 1180.976 274.3446 459.6555 -0.1982764 0.1842989
Moved 1181.007 298.3617 444.313 -0.1426812 0.144838
Moved 1181.038 318.4843 432.1519 -0.09610126 0.1135593
Moved 1181.069 337.2492 418.2505 -0.05266378 0.07780483
Moved 1181.099 357.1542 400.8458 -0.006587505 0.03303963
Moved 1181.13 372.0183 385.9817 0.02782027 -0.005191206
Moved 1181.161 388.013 365.9833 0.06484488 -0.05662729
Moved 1181.192 399.6586 345.6829 0.09180228 -0.1088405
Moved 1181.222 407.2582 327.978 0.1093941 -0.1543776
Moved 1181.253 413.2644 308.2068 0.1232973 -0.2052295
Moved 1181.284 418.3539 294.1154 0.1350783 -0.2414728
Moved 1181.314 421.0512 285.8976 0.1413222 -0.262609
Moved 1181.345 422.9213 279.1573 0.1456512 -0.2799452
Moved 1181.376 424.5 275.5 0.1493056 -0.2893519
Moved 1181.406 425 270.3794 0.150463 -0.3025222
Moved 1181.437 425 265.6403 0.150463 -0.3147113
Moved 1181.468 425 260.8979 0.150463 -0.3269087
Moved 1181.499 425 255.1436 0.150463 -0.341709
Moved 1181.529 425 249.0172 0.150463 -0.357466
Moved 1181.56 425 245.6295 0.150463 -0.3661793
Moved 1181.591 425 241.5208 0.150463 -0.376747
Moved 1181.622 425 240.7456 0.150463 -0.3787407
Moved 1181.652 425 239 0.150463 -0.3832304
Ended 1181.683 417.2831 239 0.1325999 -0.3832304
Candidates 1181.745 13 listen pattern often own item learn porn kitchen hidden pain open pen poem
Began 1182.175 304 378 -0.1296296 -0.02572024
