a very traditional way to dress
a very traditional way to dress
FixStart
Radial

0.6 0.6
432 388.8
Moved 2222.401 486.0326 445.2264 0.2917421 0.1471871
Moved 2222.431 467.464 387.8558 0.2487592 -0.0003710696
Moved 2222.462 455.9044 316.4139 0.2220011 -0.1841207
Moved 2222.493 454 249.3507 0.2175926 -0.3566083
Moved 2222.523 454 223.035 0.2175926 -0.4242926
Moved 2222.554 458.3784 209.1235 0.2277278 -0.4600733
Moved 2222.585 462 199.8574 0.2361111 -0.4839059
Moved 2222.616 463.7893 196.2107 0.2402531 -0.4932852
Moved 2222.646 464.5 195.5 0.2418981 -0.4951132
Moved 2222.677 464 196 0.2407408 -0.4938272
Moved 2222.708 464 208.4471 0.2407408 -0.4618129
Moved 2222.739 464 233.4491 0.2407408 -0.3975075
Moved 2222.769 452.7015 272.32 0.2145869 -0.2975308
Moved 2222.8 451.25 292.2498 0.2112269 -0.2462712
Moved 2222.831 445.1483 321.8325 0.1971026 -0.1701839
Moved 2222.861 439.6664 353.0018 0.1844129 -0.09001594
Moved 2222.892 434.139 386.305 0.1716181 -0.004359626
Moved 2222.923 428.409 405.0684 0.1583542 0.04390022
Moved 2222.954 419.4233 437.7299 0.137554 0.1279061
Moved 2222.984 412.3086 462.7658 0.1210846 0.1922988
Moved 2223.015 404.0521 486.1945 0.1019724 0.2525577
Moved 2223.046 397.7144 500.5711 0.08730192 0.2895347
Moved 2223.076 391.3044 512.3912 0.07246386 0.3199362
Moved 2223.107 383.205 522.3934 0.0537152 0.3456619
Moved 2223.138 374.9595 530.0405 0.03462851 0.3653303
Moved 2223.169 366.7854 535.4764 0.01570702 0.3793116
Moved 2223.199 358.5 541 -0.003472219 0.3935184
Moved 2223.23 354.7303 543.2698 -0.01219849 0.3993563
Moved 2223.261 352.2114 545.7886 -0.01802916 0.4058349
Moved 2223.292 352 547 -0.01851852 0.4089505
Moved 2223.322 363.1862 548 0.00737538 0.4115225
Moved 2223.353 388.9731 548 0.06706744 0.4115225
Moved 2223.384 427.2531 531.455 0.1556784 0.3689684
Moved 2223.415 474.2487 516.3081 0.2644645 0.3300105
Moved 2223.445 508.1277 505.2684 0.3428882 0.3016161
Moved 2223.476 534.9388 496.2245 0.404951 0.2783551
Ended 2223.507 549 491 0.4375 0.2649176
Candidates 2223.599 13 very cash bag vary cry carry bay bath cy nasty nah chef scary
Began 2224.367 458 441 0.2268519 0.1363167
Moved 2224.398 484.236 441 0.2875833 0.1363167
Moved 2224.428 565.8421 452.0155 0.4764864 0.1646488
Moved 2224.459 628.0413 456.3776 0.6204659 0.1758682
Ended 2224.49 653 457 0.6782408 0.1774691
Accept 2224.551 0 very
Began 2225.35 464 307 0.2407408 -0.2083334
Stationary 2225.381 464 307 0.2407408 -0.2083334
Stationary 2225.411 464 307 0.2407408 -0.2083334
Moved 2225.442 464 318.4645 0.2407408 -0.1788463
Moved 2225.473 452 354.5 0.2129629 -0.08616254
Moved 2225.504 448.9125 390.3939 0.2058159 0.006157125
Moved 2225.534 445.2095 413.1147 0.1972442 0.06459538
Moved 2225.565 442.4482 427.7588 0.1908524 0.1022602
Moved 2225.596 438.9984 439.0063 0.1828666 0.1311889
Moved 2225.626 436.2372 448.5256 0.176475 0.1556728
Moved 2225.657 434.5 455.5 0.1724537 0.173611
Moved 2225.688 431.7338 459.5325 0.1660504 0.1839826
Moved 2225.719 429.3099 463.3802 0.1604395 0.1938791
Moved 2225.749 426.5468 467.9064 0.1540434 0.2055205
Moved 2225.78 421.5742 471.4258 0.1425328 0.2145726
Moved 2225.811 417.0685 474.9315 0.1321031 0.223589
Moved 2225.842 413.1387 477.4307 0.1230063 0.230017
Moved 2225.872 406.606 480.197 0.1078842 0.2371322
Moved 2225.903 401.0791 481 0.09509047 0.2391974
Moved 2225.934 397.5 481 0.08680551 0.2391974
Moved 2225.964 391.6914 481 0.07335971 0.2391974
Moved 2225.995 381.5146 472.0292 0.04980227 0.2161244
Moved 2226.026 365.4492 451.7991 0.01261403 0.1640923
Moved 2226.057 349.778 428.63 -0.02366205 0.1045009
Moved 2226.087 335.6896 403.2068 -0.05627404 0.03911202
Moved 2226.118 328.8552 387.7103 -0.07209455 -0.0007450826
Moved 2226.149 324.6751 375.3754 -0.08177067 -0.03247061
Moved 2226.179 319.4717 361.4151 -0.09381548 -0.06837688
Moved 2226.21 312.943 345.829 -0.1089282 -0.1084645
Moved 2226.241 307.4405 332.881 -0.1216654 -0.1417669
Moved 2226.272 303.9731 322.9193 -0.1296919 -0.1673889
Moved 2226.302 300.1228 315.6841 -0.1386047 -0.1859976
Moved 2226.333 299 309.6266 -0.1412037 -0.2015775
Moved 2226.364 298 306.0654 -0.1435185 -0.210737
Moved 2226.395 298 304.6986 -0.1435185 -0.2142526
Moved 2226.425 298 302.8624 -0.1435185 -0.2189752
Stationary 2226.456 298 303 -0.1435185 -0.2186215
Moved 2226.487 298 301.6419 -0.1435185 -0.2221144
Stationary 2226.518 298 302 -0.1435185 -0.2211935
Moved 2226.548 314.2585 302 -0.1058831 -0.2211935
Moved 2226.579 326.8747 302 -0.07667889 -0.2211935
Moved 2226.61 344.6523 311.6631 -0.035527 -0.1963399
Moved 2226.64 367.2557 320.9023 0.0167956 -0.1725765
Moved 2226.671 386.8689 330.9126 0.06219655 -0.1468298
Moved 2226.702 409.9275 345.4456 0.1155728 -0.1094506
Moved 2226.733 433.923 360.9449 0.171118 -0.06958612
Moved 2226.763 453.7902 373.5268 0.217107 -0.0372254
Moved 2226.794 475.2784 390.0958 0.2668481 0.005390222
Moved 2226.825 493.6448 402.7632 0.309363 0.03797107
Moved 2226.855 508 413 0.3425926 0.06430033
Moved 2226.886 525.6393 424.4262 0.3834243 0.09368868
Moved 2226.917 543.1937 438.3281 0.4240595 0.1294447
Moved 2226.948 555.5298 449.5298 0.4526154 0.1582557
Moved 2226.978 563.2458 457.2458 0.4704765 0.1781014
Moved 2227.009 566.8564 462.713 0.4788344 0.1921628
Moved 2227.04 568 465.6074 0.4814814 0.1996074
Moved 2227.071 568 469.7316 0.4814814 0.2102149
Moved 2227.101 559.3708 473.569 0.4615064 0.2200847
Moved 2227.132 537.166 479.0742 0.4101064 0.2342443
Moved 2227.163 511.0593 481 0.3496743 0.2391974
Moved 2227.193 488.6725 482 0.2978529 0.2417695
Moved 2227.224 471.8682 482 0.2589543 0.2417695
Moved 2227.255 460.1833 482 0.2319057 0.2417695
Moved 2227.286 447.1397 482 0.2017123 0.2417695
Moved 2227.316 437 482 0.1782407 0.2417695
Moved 2227.347 429.4861 482 0.1608476 0.2417695
Moved 2227.378 425.0722 482 0.1506301 0.2417695
Moved 2227.408 422.3113 482 0.1442392 0.2417695
Moved 2227.439 420.9336 482 0.14105 0.2417695
Moved 2227.47 419.1291 482 0.1368728 0.2417695
Moved 2227.501 418.5 482 0.1354167 0.2417695
