where did you get that tie
where did you get that tie
FixStart
Radial

0.6 0.6
432 388.8
Began 2817.504 433 395 0.1689814 0.01800408
Moved 2817.535 410.0148 395 0.115775 0.01800408
Moved 2817.566 373.4848 403.1738 0.03121485 0.0390271
Moved 2817.596 345.3389 413.1921 -0.03393779 0.06479456
Moved 2817.627 318.7969 424.6016 -0.09537762 0.0941397
Moved 2817.658 298.0971 436.6019 -0.1432936 0.1250049
Moved 2817.689 288.3122 443.6878 -0.1659441 0.1432299
Moved 2817.719 282.3273 448.3364 -0.1797979 0.1551861
Moved 2817.75 281 453.0748 -0.1828704 0.1673733
Moved 2817.781 280 456.8266 -0.1851852 0.177023
Moved 2817.812 280 459.5 -0.1851852 0.1838991
Moved 2817.842 313.6445 464 -0.1073044 0.1954732
Moved 2817.873 348.2299 457.61 -0.02724558 0.1790381
Moved 2817.904 386.8228 440.0759 0.06208996 0.13394
Moved 2817.935 410.5091 426.2727 0.1169191 0.09843794
Moved 2817.965 438.2181 407.8546 0.1810603 0.05106631
Moved 2817.996 460.8922 393.4052 0.2335467 0.0139023
Moved 2818.027 476.0091 384.3945 0.2685397 -0.009273364
Moved 2818.057 485.9038 379.7308 0.2914439 -0.02126874
Moved 2818.088 495.1653 376.6116 0.3128825 -0.0292913
Moved 2818.119 498.144 375 0.3197777 -0.03343629
Moved 2818.15 500.5 375 0.3252315 -0.03343629
Moved 2818.18 500 392.8134 0.324074 0.01238014
Moved 2818.211 471.8804 428.6172 0.2589824 0.1044682
Moved 2818.242 449.8921 451.2194 0.2080836 0.1626013
Moved 2818.272 427.5 466.5 0.15625 0.2019032
Moved 2818.303 405.4333 478.3238 0.1051698 0.2323142
Moved 2818.334 379.5877 487.4708 0.04534195 0.2558405
Moved 2818.365 357.5403 494.1532 -0.005693635 0.2730277
Moved 2818.396 343.1105 498.9779 -0.03909613 0.2854369
Moved 2818.426 329.102 502.7245 -0.07152309 0.2950732
Moved 2818.457 319.5919 504.4694 -0.09353728 0.2995611
