why do you ask silly questions
why do you ask silly questions
FixStart
Radial

0.6 0.6
432 388.8
Began 248.9345 333 228 -0.06249999 -0.4115227
Stationary 248.9652 333 228 -0.06249999 -0.4115227
Moved 248.9958 318.1319 234.4908 -0.0969169 -0.3948281
Moved 249.0266 277.8697 275.1303 -0.1901165 -0.2903028
Moved 249.0572 239.7596 319.017 -0.2783343 -0.1774254
Moved 249.088 215.155 350.515 -0.3352894 -0.09641207
Moved 249.1187 205.589 364.1166 -0.3574329 -0.06142855
Moved 249.1494 202.5 367.5 -0.3645833 -0.05272634
Moved 249.1801 203 368 -0.3634259 -0.05144041
Moved 249.2108 240.0813 332.8613 -0.2775895 -0.1418178
Moved 249.2415 291.0331 280.9669 -0.1596456 -0.2752909
Moved 249.2722 313.4744 258.5256 -0.1076981 -0.3330103
Moved 249.3029 333.4261 239.3363 -0.06151378 -0.3823655
Moved 249.3336 343.3468 233.7688 -0.03854915 -0.3966852
Moved 249.3642 348.9744 232 -0.02552221 -0.4012346
Moved 249.395 368.5517 278.655 0.0197955 -0.2812372
Moved 249.4257 383.9163 339.282 0.05536189 -0.1253035
Moved 249.4564 386 365.322 0.06018519 -0.05832836
Moved 249.4871 386 378.3293 0.06018519 -0.02487308
Moved 249.5178 386 386.3994 0.06018519 -0.00411693
Moved 249.5485 386 390.5699 0.06018519 0.006609944
Ended 249.5792 378.9099 392.0129 0.04377286 0.01032111
Candidates 249.6712 13 why who edit edu weekly so wi eu weight west radio weather wait
Began 250.1012 193 291 -0.3865741 -0.2494857
Moved 250.1319 211.6233 291 -0.3434645 -0.2494857
Moved 250.1626 268.415 291 -0.2120023 -0.2494857
Moved 250.1933 336.4117 303.2387 -0.05460268 -0.2180075
Moved 250.224 367.0247 309.7318 0.01626104 -0.2013072
Ended 250.2547 394.3941 312.2394 0.07961601 -0.1948574
Accept 250.3161 0 why
Began 250.4082 366 292 0.01388888 -0.2469136
Stationary 250.4389 366 292 0.01388888 -0.2469136
Moved 250.4696 345.7526 292 -0.03298004 -0.2469136
Moved 250.5004 303 292 -0.1319445 -0.2469136
Moved 250.531 281.3599 292 -0.1820374 -0.2469136
Moved 250.5618 272.0406 292 -0.2036098 -0.2469136
Moved 250.5925 269.1429 292 -0.2103174 -0.2469136
Moved 250.6232 268.5 292 -0.2118056 -0.2469136
Moved 250.6539 269 292 -0.2106481 -0.2469136
Moved 250.6845 315.3877 322.3132 -0.1032692 -0.1689475
Moved 250.7153 383.8994 358.9526 0.05532265 -0.07471038
Moved 250.7459 415.0558 373.247 0.1274441 -0.03794501
Moved 250.7767 439.9129 386.1738 0.1849836 -0.004697022
Moved 250.8074 461.192 401.5657 0.2342407 0.03489125
Moved 250.8381 474.5776 411.6832 0.2652259 0.06091361
Moved 250.8688 481.4521 416.7261 0.2811392 0.07388389
Ended 250.8995 487 420 0.2939814 0.08230445
Candidates 250.9609 13 do so di du shop sp i ship dip gap gdp ap ago
Began 251.5749 208 305 -0.3518518 -0.2134774
Moved 251.6056 227.0058 300.7959 -0.3078568 -0.2242904
Moved 251.6364 266.1739 289.087 -0.2171901 -0.2544059
Moved 251.6671 330.4243 279.947 -0.06846229 -0.2779142
Moved 251.6978 397.626 280 0.08709719 -0.2777778
Ended 251.7285 425.4513 280 0.1515076 -0.2777778
Accept 251.7899 0 do
Began 251.9127 288 221 -0.1666667 -0.4295268
Stationary 251.9434 288 221 -0.1666667 -0.4295268
Moved 251.9741 288 242.9722 -0.1666667 -0.3730139
Moved 252.0048 295.1759 275.4377 -0.1500557 -0.2895122
Moved 252.0356 317.4748 321.3621 -0.09843791 -0.1713938
Moved 252.0662 327.8766 336.4611 -0.07435963 -0.132559
Moved 252.097 337.6364 347.4773 -0.05176762 -0.1042251
Moved 252.1276 353.145 359.4139 -0.0158681 -0.07352405
Moved 252.1583 376.4805 370.6802 0.03814935 -0.04454695
Moved 252.189 402.9103 374 0.09932935 -0.03600823
Moved 252.2198 425.1613 375 0.1508364 -0.03343629
Moved 252.2505 436.5192 364.2404 0.1771277 -0.06111011
Moved 252.2812 442.4976 357.5024 0.1909667 -0.07844045
Moved 252.3119 445.6216 351.7568 0.1981981 -0.09321816
Moved 252.3426 446 347.8748 0.199074 -0.1032029
Moved 252.3733 413.4023 340.9601 0.1236165 -0.1209873
Moved 252.404 382.7069 340 0.05256226 -0.1234569
Moved 252.4347 368.6429 339 0.0200067 -0.1260288
Moved 252.4654 361.4135 339 0.003271997 -0.1260288
Moved 252.4961 356.8358 339 -0.007324517 -0.1260288
Ended 252.5268 356 339 -0.009259283 -0.1260288
Candidates 252.6189 13 you toy i it to top up group ip yo root too roy
Began 252.9566 214 337 -0.3379629 -0.1311728
Stationary 252.9874 214 337 -0.3379629 -0.1311728
Moved 253.018 261.6907 337 -0.2275679 -0.1311728
Moved 253.0488 365.1327 345.3139 0.01188119 -0.1097893
Moved 253.0795 419.3644 355.7365 0.1374175 -0.08298238
Moved 253.1102 438.0866 356 0.1807559 -0.0823046
Ended 253.1409 442.5 356 0.1909722 -0.0823046
Accept 253.2023 0 you
Began 253.2637 405 336 0.1041667 -0.1337449
Stationary 253.2944 405 336 0.1041667 -0.1337449
Moved 253.3251 352.4308 319.1077 -0.01752118 -0.177192
Moved 253.3559 272.4225 306.2692 -0.2027258 -0.2102131
Moved 253.3865 221.8755 305 -0.3197326 -0.2134774
Moved 253.4172 189.179 305 -0.395419 -0.2134774
Moved 253.4479 176.3117 305 -0.4252044 -0.2134774
Moved 253.4786 171 305 -0.4375 -0.2134774
Stationary 253.5093 171 305 -0.4375 -0.2134774
Moved 253.5401 228.8999 314.1625 -0.3034724 -0.1899114
Moved 253.5708 304.866 314 -0.127625 -0.1903292
Moved 253.6014 348.0305 315.5806 -0.02770712 -0.186264
Moved 253.6322 392.5224 319.8696 0.07528324 -0.1752325
Moved 253.6628 422.907 325.646 0.1456179 -0.1603757
Moved 253.6936 452.9962 334.5989 0.2152689 -0.1373487
Moved 253.7243 467.4829 338.6966 0.248803 -0.1268093
Moved 253.755 474.1592 340.5796 0.2642574 -0.1219661
Ended 253.7856 477.0371 341 0.2709192 -0.1208849
Candidates 253.8778 13 ask ash ah dash ag all call gag hall al gah fall cash
Began 254.584 188 316 -0.3981482 -0.1851853
Stationary 254.6147 188 316 -0.3981482 -0.1851853
Moved 254.6454 216.7031 304.2375 -0.3317059 -0.2154384
Moved 254.6761 273.7591 294.9861 -0.1996318 -0.2392332
Moved 254.7068 330.2615 293 -0.06883904 -0.2443416
Moved 254.7375 378.4696 293 0.04275372 -0.2443416
Ended 254.7682 382 293 0.05092591 -0.2443416
Accept 254.8296 0 ask
Began 254.891 350 293 -0.02314816 -0.2443416
Stationary 254.9217 350 293 -0.02314816 -0.2443416
Stationary 254.9524 350 293 -0.02314816 -0.2443416
Moved 254.983 313.5131 293 -0.1076086 -0.2443416
Moved 255.0138 252.6389 285 -0.248521 -0.2649178
Moved 255.0446 214.5493 292.631 -0.3366915 -0.2452906
Moved 255.0752 207.0746 293.9627 -0.3539939 -0.2418655
Moved 255.1059 206 301.1399 -0.3564815 -0.2234056
Moved 255.1366 286.1545 356.5004 -0.1709386 -0.08101741
Moved 255.1673 329.9626 383.1215 -0.069531 -0.01254761
Moved 255.198 359.0114 394.6189 -0.00228852 0.01702391
Moved 255.2287 395.5345 398 0.08225569 0.02572008
Moved 255.2594 424.9554 398 0.1503597 0.02572008
Moved 255.2902 442.6532 381.7891 0.1913267 -0.01597471
Moved 255.3208 454.2483 347.3188 0.2181674 -0.1046327
Moved 255.3516 443.9974 282.1739 0.1944385 -0.2721865
Moved 255.3823 434.6042 251.2084 0.1726948 -0.3518303
Moved 255.413 426.7207 245 0.1544461 -0.3677984
Moved 255.4437 397.1748 265.2733 0.08605272 -0.3156551
Moved 255.4744 366.0148 327.9636 0.01392325 -0.1544145
Moved 255.5051 354.3971 364.8086 -0.01296962 -0.05964876
Moved 255.5358 349.5152 376.9696 -0.02427037 -0.02837036
Moved 255.5665 346.8055 384.5834 -0.03054271 -0.008787696
Moved 255.5972 346 391.4039 -0.03240739 0.008754808
Ended 255.6279 346 398 -0.03240739 0.02572008
Candidates 255.8121 13 saint sight adult style sony saying daily aunt sunny dating assume fault self
Began 256.242 186 313 -0.4027778 -0.1929013
Moved 256.2727 193.0432 313 -0.3864741 -0.1929013
Moved 256.3034 208.0294 313 -0.3517837 -0.1929013
Moved 256.3341 216.1884 313 -0.3328971 -0.1929013
Moved 256.3648 221.9072 313 -0.3196591 -0.1929013
Moved 256.3955 227.6598 313 -0.306343 -0.1929013
Moved 256.4262 232.4065 317.9228 -0.2953553 -0.1802398
Moved 256.4569 235.2379 324.4758 -0.2888011 -0.1633854
