this is a very good idea
this is a very good idea
Basic
List

0.6 0.6
432 388.8
Began 1657.175 362 506 0.004629592 0.3034978
Stationary 1657.206 362 506 0.004629592 0.3034978
Stationary 1657.236 362 506 0.004629592 0.3034978
Stationary 1657.267 362 506 0.004629592 0.3034978
Moved 1657.298 354.9221 515.1002 -0.01175433 0.3269036
Moved 1657.329 352.0601 518.8798 -0.01837934 0.3366249
Moved 1657.359 349.1943 522.6113 -0.02501309 0.3462225
Moved 1657.39 347.7014 525.2986 -0.02846907 0.3531343
Moved 1657.421 347 528.1736 -0.0300926 0.3605288
Moved 1657.451 345.5 530.5 -0.03356482 0.3665122
Moved 1657.482 346 530.6824 -0.03240739 0.3669813
Moved 1657.513 346 531 -0.03240739 0.3677982
Stationary 1657.544 346 531 -0.03240739 0.3677982
Moved 1657.573 362.2752 508.0872 0.005266766 0.3088661
Moved 1657.605 381.853 464.636 0.05058557 0.197109
Moved 1657.636 394.8154 422.7385 0.08059114 0.08934801
Moved 1657.667 402.9424 390.7593 0.09940365 0.007096867
Moved 1657.697 409.4632 367.3787 0.1144982 -0.05303826
Moved 1657.728 411.8106 356.7576 0.119932 -0.08035605
Moved 1657.759 413 349.6412 0.1226852 -0.09865945
Moved 1657.789 414 345.4545 0.125 -0.1094277
Moved 1657.82 415.0676 345 0.1274713 -0.1105968
Moved 1657.851 423.8633 388.362 0.1478316 0.0009310686
Moved 1657.881 435.3056 440.2224 0.1743186 0.1343168
Moved 1657.912 446.7784 484.03 0.200876 0.2469905
Moved 1657.943 460.3856 529.7505 0.232374 0.3645845
Moved 1657.974 467.1529 556.5352 0.2480392 0.4334753
Moved 1658.004 469.9334 572.6672 0.2544756 0.4749669
Moved 1658.035 470 580.2234 0.2546296 0.4944018
Moved 1658.066 470 583.3563 0.2546296 0.5024596
Moved 1658.097 470 585.5 0.2546296 0.5079731
Moved 1658.127 454.1963 585 0.218047 0.5066872
Moved 1658.158 415.6872 550.3971 0.1289055 0.417688
Moved 1658.189 358.1432 499.6343 -0.004298091 0.2871251
