taking the train is usually faster
taking the train is usually faster
Basic
Radial

0.6 0.6
432 388.8
Began 1218.721 380 456 0.04629632 0.174897
Stationary 1218.751 380 456 0.04629632 0.174897
Moved 1218.782 358.7329 456 -0.002932996 0.174897
Moved 1218.813 337.4561 447.864 -0.05218491 0.1539711
Moved 1218.844 315.1264 440.6543 -0.1038742 0.1354276
Moved 1218.874 287.6793 426.6432 -0.167409 0.09939104
Moved 1218.905 252.0016 399.8138 -0.2499963 0.03038516
Moved 1218.936 219.5 371 -0.3252315 -0.04372435
Moved 1218.967 195.6702 346.6702 -0.3803931 -0.1063009
Moved 1218.997 181.908 331.908 -0.41225 -0.1442695
Moved 1219.028 176.3753 327.1877 -0.4250571 -0.1564104
Moved 1219.059 175 324.6324 -0.4282407 -0.1629826
Moved 1219.089 174 325 -0.4305556 -0.1620371
Stationary 1219.12 174 325 -0.4305556 -0.1620371
Moved 1219.151 235.2202 361.8522 -0.2888422 -0.06725256
Moved 1219.182 307.7743 385.1179 -0.1208929 -0.007412835
Moved 1219.213 351.4967 389 -0.01968354 0.002572016
Moved 1219.243 389.2284 389 0.06765832 0.002572016
Moved 1219.274 424.9388 389 0.1503212 0.002572016
Moved 1219.305 448.8576 380.5552 0.205689 -0.01914821
Moved 1219.335 459.5871 379.6826 0.2305257 -0.02139268
Moved 1219.366 465.9164 379 0.2451769 -0.02314815
Moved 1219.397 468.5 392.5 0.2511574 0.01157403
Moved 1219.428 457.259 439.4079 0.2251366 0.1322219
Moved 1219.458 447.9871 496.837 0.2036739 0.2799306
Moved 1219.489 444.1182 540.5822 0.1947179 0.3924438
Moved 1219.52 444 557.6584 0.1944444 0.4363643
Moved 1219.551 444 566.9614 0.1944444 0.4602914
Moved 1219.581 444 571.174 0.1944444 0.4711265
Moved 1219.612 443.21 571 0.1926158 0.4706789
Moved 1219.643 441.8257 571 0.1894114 0.4706789
Moved 1219.674 432.4921 525.3466 0.1678058 0.3532575
Moved 1219.704 424.586 435.6183 0.1495047 0.1224749
Moved 1219.735 421.2756 361.9608 0.1418417 -0.06697345
Moved 1219.766 421 317.9056 0.1412037 -0.1802838
Moved 1219.797 421 279.4702 0.1412037 -0.2791406
Moved 1219.827 421 257.5051 0.1412037 -0.335635
Moved 1219.858 421 245.7068 0.1412037 -0.3659805
Moved 1219.889 421 238.4132 0.1412037 -0.3847398
Moved 1219.919 403.1306 235 0.09983948 -0.3935186
Moved 1219.95 381.9495 249.0393 0.05080898 -0.3574092
Moved 1219.981 328.5593 309.3268 -0.07277935 -0.2023486
Moved 1220.012 320.6366 324.7268 -0.09111901 -0.1627398
Moved 1220.042 308.5992 351.002 -0.1189834 -0.0951595
Moved 1220.073 302.2186 371.0165 -0.1337533 -0.04368205
Moved 1220.104 299.5966 389.6308 -0.1398227 0.00419444
Ended 1220.135 300 413 -0.1388889 0.06430033
Candidates 1220.319 13 taking talking using falling having reading walking headline trading washing deadline second racing
Began 1220.688 337 424 -0.05324075 0.09259254
Stationary 1220.719 337 424 -0.05324075 0.09259254
Moved 1220.749 363.3979 424 0.007865529 0.09259254
Moved 1220.78 407.1939 410.4677 0.1092452 0.05778709
Moved 1220.811 438.5475 403.2117 0.181823 0.03912462
Ended 1220.842 446.5222 401.4395 0.2002827 0.03456657
Accept 1220.903 0 taking
Began 1221.333 286 541 -0.1712963 0.3935184
Stationary 1221.364 286 541 -0.1712963 0.3935184
Stationary 1221.395 286 541 -0.1712963 0.3935184
Moved 1221.426 298.234 519.7661 -0.1429769 0.3389044
Moved 1221.456 329.9495 481.3131 -0.06956135 0.2400028
Moved 1221.487 363.5001 440.4999 0.008102159 0.1350305
Moved 1221.518 389.9913 408.3439 0.06942431 0.05232485
Moved 1221.549 405.3642 390.763 0.1050097 0.007106483
Moved 1221.579 413.304 381.5947 0.1233888 -0.01647447
Moved 1221.61 416 377.308 0.1296297 -0.02750012
Moved 1221.641 401.2113 376 0.09539644 -0.03086435
Moved 1221.672 358.5329 407.4092 -0.003396124 0.04992081
Moved 1221.702 344.5633 418.3494 -0.03573318 0.07805903
Moved 1221.733 299.2063 463.3738 -0.1407261 0.1938626
Moved 1221.764 277.3293 490.8383 -0.1913673 0.2645018
Moved 1221.795 260.85 510.41 -0.2295139 0.3148404
Moved 1221.825 234.5607 543.0286 -0.2903687 0.3987359
Ended 1221.856 223.5 557 -0.3159722 0.4346707
Candidates 1221.917 13 the there where threw she he edge her regret sheet other else refuge
Began 1222.348 326 443 -0.07870371 0.1414608
Moved 1222.379 341.695 443 -0.04237259 0.1414608
Moved 1222.409 385.6841 443 0.05945385 0.1414608
Moved 1222.44 423.6892 433.5135 0.1474286 0.1170614
Moved 1222.471 439.8885 431.0159 0.1849271 0.1106376
Ended 1222.501 443.5 430.5 0.193287 0.1093106
Accept 1222.594 0 the
Began 1222.993 406 538 0.1064815 0.3858024
Stationary 1223.024 406 538 0.1064815 0.3858024
Stationary 1223.055 406 538 0.1064815 0.3858024
Moved 1223.086 388.68 538 0.06638885 0.3858024
Moved 1223.116 374.9097 538 0.03451308 0.3858024
Moved 1223.147 352.558 538 -0.01722674 0.3858024
Moved 1223.178 332.3739 538 -0.06394932 0.3858024
Moved 1223.208 314.1849 538 -0.1060535 0.3858024
Moved 1223.239 300.5714 538 -0.1375661 0.3858024
Moved 1223.27 290.0533 538 -0.1619138 0.3858024
Moved 1223.301 283.5874 538 -0.176881 0.3858024
Moved 1223.331 275.7174 538 -0.1950986 0.3858024
Moved 1223.362 269.002 528.002 -0.2106435 0.3600874
Moved 1223.393 255.2545 516.2545 -0.2424665 0.3298725
Moved 1223.424 238.4188 499.3219 -0.281438 0.2863217
Moved 1223.454 221.0893 479.4376 -0.3215524 0.2351788
Moved 1223.485 208.6897 461.9853 -0.3502553 0.1902913
Moved 1223.516 196.6537 443.7152 -0.3781164 0.1433004
Moved 1223.547 189.9904 426.9743 -0.3935409 0.1002424
Moved 1223.577 185 413.5 -0.4050926 0.06558634
Moved 1223.608 184 406.4494 -0.4074074 0.04745213
Moved 1223.639 184 400.3401 -0.4074074 0.03173883
Moved 1223.67 184 398.1105 -0.4074074 0.02600426
