the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
Began 1120.646 360 512 0 0.31893
Stationary 1120.676 360 512 0 0.31893
Stationary 1120.707 360 512 0 0.31893
Stationary 1120.738 360 512 0 0.31893
Stationary 1120.768 360 512 0 0.31893
Stationary 1120.799 360 512 0 0.31893
Stationary 1120.83 360 512 0 0.31893
Stationary 1120.861 360 512 0 0.31893
Stationary 1120.891 360 512 0 0.31893
Stationary 1120.922 360 512 0 0.31893
Stationary 1120.953 360 512 0 0.31893
Stationary 1120.984 360 512 0 0.31893
Moved 1121.014 360 501.3197 0 0.29146
Moved 1121.045 360 467.4261 0 0.2042851
Moved 1121.076 370.6654 445.1712 0.02468834 0.1470452
Moved 1121.106 380.3118 419.7205 0.04701803 0.08158566
Moved 1121.137 388.5804 403.3661 0.06615818 0.03952179
Moved 1121.168 397.1825 389.0292 0.0860706 0.002646937
Moved 1121.199 403.6948 383.2035 0.1011453 -0.0123367
Moved 1121.229 408.528 378.472 0.1123332 -0.02450605
Moved 1121.26 411.638 376 0.1195324 -0.03086435
Moved 1121.291 413.5 375 0.1238426 -0.03343629
Moved 1121.322 413 373.5362 0.1226852 -0.03720123
Moved 1121.352 399.5945 389.3205 0.09165405 0.003396258
Moved 1121.383 379.5103 411.4897 0.04516274 0.06041573
Moved 1121.414 361.4774 429.5226 0.003419816 0.1067968
Moved 1121.445 333.6224 451.0331 -0.0610592 0.1621222
Moved 1121.475 316.8406 461.0956 -0.09990602 0.1880032
Moved 1121.506 300.575 470.7125 -0.1375579 0.2127379
Moved 1121.537 288.6523 478.4086 -0.1651567 0.2325324
Moved 1121.568 278.9648 483.6901 -0.1875815 0.2461164
Moved 1121.598 270.559 489.2205 -0.2070395 0.2603407
Ended 1121.629 268 491 -0.212963 0.2649176
Candidates 1121.721 13 the there she they this where other thus he threw that higher hr
Began 1122.274 310 400 -0.1157407 0.03086416
Stationary 1122.305 310 400 -0.1157407 0.03086416
Stationary 1122.336 310 400 -0.1157407 0.03086416
Moved 1122.366 336.4977 382.5366 -0.05440344 -0.01405213
Moved 1122.397 373.7143 375.4107 0.03174613 -0.03237995
Moved 1122.428 439.9622 374 0.1850976 -0.03600823
Ended 1122.459 473 374 0.2615741 -0.03600823
Accept 1122.52 0 the
Began 1122.858 398 502 0.08796295 0.2932098
Stationary 1122.889 398 502 0.08796295 0.2932098
Stationary 1122.92 398 502 0.08796295 0.2932098
Stationary 1122.95 398 502 0.08796295 0.2932098
Stationary 1122.981 398 502 0.08796295 0.2932098
Stationary 1123.012 398 502 0.08796295 0.2932098
Stationary 1123.042 398 502 0.08796295 0.2932098
Stationary 1123.073 398 502 0.08796295 0.2932098
Stationary 1123.104 398 502 0.08796295 0.2932098
Stationary 1123.135 398 502 0.08796295 0.2932098
Stationary 1123.166 398 502 0.08796295 0.2932098
Stationary 1123.196 398 502 0.08796295 0.2932098
Stationary 1123.227 398 502 0.08796295 0.2932098
Stationary 1123.258 398 502 0.08796295 0.2932098
Stationary 1123.288 398 502 0.08796295 0.2932098
Stationary 1123.319 398 502 0.08796295 0.2932098
