what goes up must come down
what goes up must come down
FixStart
Radial

0.6 0.6
432 388.8
Began 3310.177 420 448 0.1388889 0.1543209
Stationary 3310.208 420 448 0.1388889 0.1543209
Stationary 3310.239 420 448 0.1388889 0.1543209
Stationary 3310.27 420 448 0.1388889 0.1543209
Stationary 3310.3 420 448 0.1388889 0.1543209
Moved 3310.331 404.8144 455.433 0.1037371 0.1734386
Moved 3310.362 391.2901 461.855 0.07243067 0.1899561
Moved 3310.393 371.4196 471.7024 0.02643426 0.2152838
Moved 3310.423 347.8718 486.8898 -0.02807463 0.254346
Moved 3310.454 325.3636 504.6818 -0.08017675 0.3001075
Moved 3310.485 299.574 522.9462 -0.139875 0.3470837
Moved 3310.515 274.4996 544.3892 -0.1979177 0.4022355
Moved 3310.546 257.6651 559.0013 -0.2368863 0.4398182
Moved 3310.577 248.3458 565.6542 -0.2584589 0.4569295
Moved 3310.608 243.1237 569.8763 -0.2705471 0.4677888
Moved 3310.638 241.9991 572.0009 -0.2731503 0.4732533
Moved 3310.669 242 574.2416 -0.2731481 0.4790164
Moved 3310.7 242 576.8026 -0.2731481 0.4856033
Moved 3310.73 263.1709 577 -0.2241414 0.4861111
Moved 3310.761 312.66 552.3226 -0.1095834 0.4226404
Moved 3310.792 361.7312 515.7438 0.004007319 0.3285591
Moved 3310.823 396.3908 480.6092 0.08423804 0.2381923
Moved 3310.853 423.9913 448.5662 0.148128 0.1557771
Moved 3310.884 447.4242 415.8009 0.2023708 0.07150429
Moved 3310.915 463.2064 393.6905 0.2389036 0.014636
Moved 3310.946 472.7597 377.6537 0.2610179 -0.02661089
Moved 3310.976 480.4062 366.4584 0.2787181 -0.05540549
Moved 3311.007 484.3552 360.6448 0.2878592 -0.07035816
Moved 3311.038 486.9201 357.08 0.2937964 -0.07952686
Moved 3311.068 488 352.0292 0.2962963 -0.09251747
Moved 3311.099 489 350.9619 0.2986111 -0.09526264
Stationary 3311.13 489 351 0.2986111 -0.09516476
Moved 3311.161 478.4738 351 0.2742451 -0.09516476
Moved 3311.191 449.9062 363.6979 0.2081163 -0.06250538
Moved 3311.222 407.5704 376.8217 0.1101167 -0.02875081
Moved 3311.253 358.0726 393.9736 -0.004461656 0.0153642
Moved 3311.283 325.2216 405.7584 -0.08050565 0.04567476
Moved 3311.314 284.3264 418.2463 -0.1751705 0.0777938
Moved 3311.345 245.1091 425.5782 -0.2659513 0.09665167
Moved 3311.376 212.9396 431.2121 -0.3404177 0.1111421
Moved 3311.406 193.698 432 -0.3849584 0.1131687
Moved 3311.437 180.3507 433 -0.4158549 0.1157406
Moved 3311.468 174.5856 433 -0.4291999 0.1157406
Moved 3311.499 171.7454 434.2546 -0.4357745 0.1189676
Moved 3311.529 170.5 434 -0.4386574 0.1183127
Moved 3311.56 170 435.5 -0.4398148 0.1221707
Moved 3311.591 170 438.2065 -0.4398148 0.1291318
Moved 3311.621 183.8061 451.0536 -0.4078563 0.1621748
Moved 3311.652 202.9326 467.3461 -0.3635819 0.2040793
Moved 3311.683 249.5077 496.1792 -0.2557693 0.2782386
Moved 3311.714 298.1003 520.3107 -0.1432864 0.3403051
Moved 3311.744 335.2974 537.1274 -0.05718196 0.3835582
Moved 3311.775 362.7715 552.6168 0.006415645 0.4233969
Moved 3311.806 393.6279 568.3902 0.07784237 0.4639665
Moved 3311.836 418.3625 581.3795 0.1350983 0.4973752
Moved 3311.867 439.4823 596.5974 0.1839867 0.5365157
Moved 3311.898 455.9042 611.9042 0.2220004 0.5758851
Moved 3311.929 467.2321 623.2321 0.2482224 0.6050206
Moved 3311.959 472.5918 628.5918 0.2606291 0.6188059
Ended 3311.99 475 631 0.2662037 0.6249998
Candidates 3312.113 13 what ebay embassy that wednesday smart every sunday density summary dynasty decay energy
Began 3312.543 328 488 -0.07407407 0.2572016
Stationary 3312.574 328 488 -0.07407407 0.2572016
Stationary 3312.604 328 488 -0.07407407 0.2572016
Moved 3312.635 340.2958 488 -0.04561152 0.2572016
Moved 3312.666 359.2976 488 -0.001625816 0.2572016
Moved 3312.697 388.7054 488 0.06644776 0.2572016
Moved 3312.727 408.8284 488 0.1130288 0.2572016
Moved 3312.758 421.7746 494.6844 0.1429967 0.2743941
Moved 3312.789 428.4881 495 0.1585372 0.2752057
Moved 3312.82 434.5044 496 0.1724638 0.2777777
Moved 3312.85 439.6052 496 0.1842712 0.2777777
Moved 3312.881 442.8425 497 0.1917649 0.2803498
Moved 3312.912 445.0629 497 0.1969049 0.2803498
Ended 3312.942 445.0629 497 0.1969049 0.2803498
Accept 3313.004 0 what
Began 3313.25 408 427 0.1111111 0.1003086
Stationary 3313.281 408 427 0.1111111 0.1003086
Stationary 3313.311 408 427 0.1111111 0.1003086
Stationary 3313.342 408 427 0.1111111 0.1003086
Stationary 3313.373 408 427 0.1111111 0.1003086
Stationary 3313.403 408 427 0.1111111 0.1003086
Stationary 3313.434 408 427 0.1111111 0.1003086
Moved 3313.465 397.9386 427 0.08782078 0.1003086
Moved 3313.496 395.6917 427 0.08261979 0.1003086
Moved 3313.526 394.5 427 0.07986108 0.1003086
Moved 3313.557 393.6686 427 0.07793655 0.1003086
Stationary 3313.588 394 427 0.07870366 0.1003086
Moved 3313.618 403.1448 438.431 0.09987216 0.1297092
Moved 3313.649 418.8381 449.7646 0.1361994 0.1588596
Moved 3313.68 436.6803 462.2003 0.1775007 0.1908441
Moved 3313.711 468.2469 476.7294 0.2505716 0.2282133
Moved 3313.741 501.7839 494.5226 0.3282035 0.2739779
Moved 3313.772 519.9806 504.7883 0.3703254 0.3003814
Moved 3313.803 532.7746 512.4648 0.3999412 0.3201254
Moved 3313.833 539.0734 516.6911 0.4145217 0.3309955
Moved 3313.864 543.843 518.9214 0.4255623 0.336732
Moved 3313.895 546.4662 521.4662 0.4316348 0.3432773
Moved 3313.926 549.0112 523.0112 0.4375258 0.3472508
Moved 3313.956 551.5 525.5 0.443287 0.3536522
Moved 3313.987 554.8326 527.8326 0.4510015 0.3596518
Moved 3314.018 557.3777 529.3777 0.4568929 0.3636258
Moved 3314.049 560.8477 531.9238 0.4649252 0.3701743
Moved 3314.079 567.4053 534.4684 0.480105 0.3767192
Moved 3314.11 569.7202 535.7202 0.4854635 0.3799387
Moved 3314.141 572.2526 537.2526 0.4913254 0.38388
Moved 3314.171 573.8124 538 0.4949361 0.3858024
Moved 3314.202 575.3594 538 0.4985171 0.3858024
Moved 3314.233 576 539 0.5000001 0.3883744
Moved 3314.264 576 540.1225 0.5000001 0.3912615
Stationary 3314.294 576 540 0.5000001 0.3909464
Moved 3314.325 576 541.054 0.5000001 0.3936572
Stationary 3314.356 576 541 0.5000001 0.3935184
Moved 3314.386 576 542.0148 0.5000001 0.3961284
Stationary 3314.417 576 542 0.5000001 0.3960905
Stationary 3314.448 576 542 0.5000001 0.3960905
Stationary 3314.479 576 542 0.5000001 0.3960905
Moved 3314.51 576 543.5 0.5000001 0.3999484
Stationary 3314.54 576 543.5 0.5000001 0.3999484
Stationary 3314.571 576 543.5 0.5000001 0.3999484
Stationary 3314.602 576 543.5 0.5000001 0.3999484
Moved 3314.632 576 544.0587 0.5000001 0.4013853
Stationary 3314.663 576 544 0.5000001 0.4012345
Stationary 3314.694 576 544 0.5000001 0.4012345
Stationary 3314.724 576 544 0.5000001 0.4012345
Moved 3314.755 566.6423 544 0.4783387 0.4012345
Moved 3314.786 561.5463 544 0.4665423 0.4012345
Moved 3314.817 553.6982 544 0.4483754 0.4012345
Moved 3314.847 548.8378 544 0.4371246 0.4012345
Moved 3314.878 534 544 0.4027778 0.4012345
Moved 3314.909 524.6894 535.9224 0.3812255 0.3804587
Moved 3314.939 517.7521 536 0.3651668 0.3806583
Moved 3314.97 514.1871 536 0.3569147 0.3806583
Moved 3315.001 511.5808 536 0.3508814 0.3806583
Moved 3315.032 509.0387 536 0.3449971 0.3806583
Moved 3315.063 506.5 536 0.3391203 0.3806583
Moved 3315.093 502.5845 536 0.3300566 0.3806583
Moved 3315.124 488.0003 536 0.296297 0.3806583
Moved 3315.155 463.5516 545.6552 0.2397028 0.4054917
Moved 3315.185 436.3023 550.7396 0.1766256 0.4185688
Moved 3315.216 409.7668 553.7233 0.1152011 0.4262431
Moved 3315.247 381.087 558.1913 0.04881243 0.4377348
Moved 3315.277 353.9054 559.7358 -0.01410782 0.4417073
Moved 3315.308 330.4175 560 -0.06847799 0.4423867
Moved 3315.339 309 560 -0.1180555 0.4423867
Moved 3315.37 289.4449 560 -0.1633221 0.4423867
Moved 3315.4 276.8665 560 -0.1924387 0.4423867
Moved 3315.431 267.489 560 -0.2141459 0.4423867
Moved 3315.462 262 560 -0.2268519 0.4423867
Moved 3315.492 257.1353 560 -0.2381127 0.4423867
Moved 3315.523 254.5239 560 -0.2441576 0.4423867
Moved 3315.554 252.5 560 -0.2488426 0.4423867
Moved 3315.585 252 560 -0.25 0.4423867
Moved 3315.615 250.711 560 -0.2529838 0.4423867
Stationary 3315.646 251 560 -0.2523148 0.4423867
Moved 3315.677 251 543.7347 -0.2523148 0.4005522
Moved 3315.708 251 517.8109 -0.2523148 0.3338757
