I listen to the tape everyday
I listen to the tape everyday
FixStart
Radial

0.6 0.6
432 388.8
Began 2764.176 333 230 -0.06249999 -0.4063786
Stationary 2764.206 333 230 -0.06249999 -0.4063786
Moved 2764.237 347.4583 251.5151 -0.02903173 -0.3510414
Moved 2764.268 366.4005 290.4008 0.01481583 -0.2510269
Moved 2764.299 389.6035 324.5385 0.06852676 -0.1632242
Moved 2764.329 408.6335 349.2391 0.1125776 -0.09969374
Moved 2764.36 420.8301 362.8301 0.1408104 -0.06473745
Moved 2764.391 432.6652 375.6652 0.1682064 -0.03172541
Moved 2764.422 438.6767 381.6767 0.1821221 -0.01626364
Moved 2764.452 445.8658 387.8658 0.1987634 -0.000345285
Ended 2764.483 449 391 0.2060185 0.007715971
Candidates 2764.575 13 I ii u iii you go o up gi to guy hi iu
Began 2764.944 213 271 -0.3402778 -0.300926
Stationary 2764.975 213 271 -0.3402778 -0.300926
Moved 2765.005 227.3229 271 -0.3071228 -0.300926
Moved 2765.036 246.5 271 -0.2627315 -0.300926
Moved 2765.067 264.5276 271 -0.221001 -0.300926
Moved 2765.098 282.7761 271 -0.178759 -0.300926
Moved 2765.128 296.4612 271 -0.1470805 -0.300926
Moved 2765.159 303.7411 271 -0.1302291 -0.300926
Moved 2765.19 308.4277 271 -0.1193803 -0.300926
Ended 2765.22 311 271 -0.113426 -0.300926
Accept 2765.313 0 I
Began 2765.651 298 262 -0.1435185 -0.3240741
Stationary 2765.681 298 262 -0.1435185 -0.3240741
Moved 2765.712 329.745 262 -0.07003466 -0.3240741
Moved 2765.743 357.1221 262 -0.006661713 -0.3240741
Moved 2765.774 388.9323 256.7895 0.06697287 -0.3374757
Moved 2765.804 414.2377 253 0.1255502 -0.3472223
Moved 2765.835 430.4683 252 0.163121 -0.3497943
Moved 2765.866 441.1053 252 0.1877436 -0.3497943
Moved 2765.896 448.6908 252 0.2053027 -0.3497943
Moved 2765.927 454.5294 252 0.218818 -0.3497943
Moved 2765.958 458.5 262.5 0.2280092 -0.3227881
Moved 2765.989 461.1075 268.5373 0.234045 -0.3072601
Moved 2766.02 462 286.9978 0.2361111 -0.2597794
Moved 2766.05 449.542 310.6451 0.2072731 -0.1989583
Moved 2766.081 441.054 333.1533 0.187625 -0.1410667
Moved 2766.112 431.1325 350.4459 0.1646585 -0.09658993
Moved 2766.142 424.562 362.7299 0.1494492 -0.06499514
Moved 2766.173 417.9471 370.053 0.1341367 -0.04616003
Moved 2766.204 406.1668 373 0.1068676 -0.03858032
Moved 2766.235 365.5061 361.5508 0.01274566 -0.06802782
Moved 2766.265 304.3051 325.5831 -0.1289234 -0.1605374
Moved 2766.296 256.6436 287.2914 -0.2392509 -0.2590243
Moved 2766.327 224.2905 259.0042 -0.3141425 -0.3317795
Moved 2766.357 202.9423 238.9424 -0.3635594 -0.3833787
Moved 2766.388 187.4086 225.8405 -0.3995172 -0.417077
Moved 2766.419 180.0486 220.0486 -0.4165542 -0.4319738
Moved 2766.45 170.447 214.298 -0.4387802 -0.4467644
Moved 2766.48 162.56 209.28 -0.4570371 -0.4596708
Moved 2766.511 158.5 206.5 -0.4664352 -0.466821
Moved 2766.542 154.9206 205 -0.4747209 -0.470679
Moved 2766.573 152.5 204 -0.4803241 -0.473251
Moved 2766.603 151 202.177 -0.4837963 -0.4779398
Moved 2766.634 150 202 -0.4861112 -0.4783951
Moved 2766.665 149 200.7695 -0.4884259 -0.4815598
Moved 2766.696 148 201 -0.4907407 -0.4809672
Moved 2766.726 147.0346 201 -0.4929755 -0.4809672
