in sharp contrast to your words
in sharp contrast to your words
Basic
List

0.6 0.6
432 388.8
Moved 1844.979 601 515.5 0.5578703 0.327932
Ended 1845.01 605.5 514.5 0.568287 0.32536
Candidates 1845.072 13 sharp sheep hero gao nato ceo lap snap grasp hsp veto map nap
Began 1846.085 322 264 -0.08796295 -0.31893
Stationary 1846.116 322 264 -0.08796295 -0.31893
Stationary 1846.146 322 264 -0.08796295 -0.31893
Moved 1846.177 329.4318 287.606 -0.0707598 -0.258215
Moved 1846.208 350.7104 328.6673 -0.02150357 -0.1526048
Moved 1846.239 379.9958 383.9923 0.04628658 -0.01030792
Moved 1846.269 405.0858 422.368 0.1043652 0.08839492
Moved 1846.3 424.5 449.5 0.1493056 0.158179
Moved 1846.331 441.9787 468.9756 0.1897655 0.2082706
Moved 1846.361 456.7981 487.3173 0.2240697 0.2554457
Moved 1846.392 467.571 501.0947 0.249007 0.2908815
Moved 1846.423 472.9334 507.9334 0.2614199 0.3084707
Moved 1846.454 477.439 512.439 0.2718495 0.3200592
Moved 1846.484 480.4852 515.4852 0.278901 0.3278938
Moved 1846.515 485.5 519.5 0.2905093 0.3382201
Moved 1846.546 486.6499 519.6499 0.2931711 0.3386056
Moved 1846.577 488.0357 520 0.2963789 0.3395061
Moved 1846.607 490.0927 520 0.3011403 0.3395061
Moved 1846.638 492 477.1884 0.3055556 0.229394
Moved 1846.669 480.8804 399.7418 0.2798158 0.03019992
Moved 1846.699 472.4233 359.1257 0.2602391 -0.07426509
Moved 1846.73 461.6796 322.9255 0.2353694 -0.1673727
Moved 1846.761 447.5 292 0.2025463 -0.2469136
Moved 1846.792 439.756 272.512 0.1846204 -0.297037
Moved 1846.822 432.3846 255.1539 0.167557 -0.3416823
Moved 1846.853 428.4304 245.2913 0.1584037 -0.3670493
Moved 1846.884 424.9678 238.9355 0.1503884 -0.3833962
Moved 1846.914 422.1958 233.3915 0.1439716 -0.3976556
Moved 1846.945 419.4328 229.4329 0.137576 -0.4078372
Moved 1846.976 416.6732 226.6732 0.1311878 -0.4149352
Moved 1847.006 414.2372 224.2373 0.1255491 -0.4212004
Moved 1847.037 410 224 0.1157407 -0.4218107
Moved 1847.068 389.1231 257.7538 0.06741454 -0.3349953
Moved 1847.099 371.9309 315.2649 0.02761781 -0.187076
Moved 1847.129 364.8008 366.1938 0.01111299 -0.05608578
Moved 1847.16 363.8288 403.3967 0.008862913 0.03960048
Moved 1847.191 363 432.0802 0.006944438 0.1133749
Moved 1847.221 363 452.5 0.006944438 0.165895
Moved 1847.252 363 480.1277 0.006944438 0.2369538
Moved 1847.283 363 499.2267 0.006944438 0.2860768
Moved 1847.314 363 510.6325 0.006944438 0.3154127
Moved 1847.344 363 516.1006 0.006944438 0.3294767
Moved 1847.375 363 520.66 0.006944438 0.3412037
Moved 1847.406 360.8202 522.5899 0.001898706 0.3461674
Moved 1847.436 353.9326 524 -0.01404499 0.3497942
Moved 1847.467 344.9561 524 -0.03482386 0.3497942
Moved 1847.498 331.2289 519.5663 -0.06659974 0.3383906
Moved 1847.529 313.9646 507.8369 -0.1065634 0.3082224
Moved 1847.559 295.5554 495.7459 -0.1491774 0.2771242
Moved 1847.59 280.5 483 -0.1840278 0.2443414
Moved 1847.621 265.5112 468.5112 -0.2187241 0.207076
Moved 1847.651 251.9016 453.9016 -0.2502278 0.1694998
Moved 1847.682 242 441.5 -0.2731481 0.1376028
Moved 1847.713 234.4641 429.1069 -0.2905923 0.1057275
Moved 1847.744 227.2073 416.3455 -0.3073905 0.07290487
Moved 1847.774 220.6347 404.2695 -0.3226047 0.04184534
Moved 1847.805 216.9001 394.6002 -0.3312499 0.01697583
Moved 1847.836 213.1144 384.3431 -0.3400131 -0.009405544
Moved 1847.866 210.3617 376.0851 -0.3463849 -0.03064536
Moved 1847.897 207.6133 366.8399 -0.352747 -0.05442419
Moved 1847.928 207 356.7873 -0.3541667 -0.0802796
Moved 1847.958 207 347.3015 -0.3541667 -0.1046773
Moved 1847.989 207 340.0257 -0.3541667 -0.1233907
Moved 1848.02 214.5428 332.8449 -0.3367066 -0.1418598
Moved 1848.051 217.5415 329.4585 -0.329765 -0.1505697
Moved 1848.081 222.5827 326.7086 -0.3180956 -0.1576425
Moved 1848.112 230.2455 327 -0.3003578 -0.1568931
Moved 1848.143 255.5 343.5 -0.2418981 -0.1144548
Moved 1848.173 329.9417 410.9417 -0.06957939 0.05900638
Moved 1848.204 361.7194 451.6492 0.003980001 0.1637066
Moved 1848.235 390.155 493.8371 0.06980319 0.2722147
Moved 1848.266 403.4587 515.7339 0.1005988 0.3285335
Moved 1848.296 413.6578 532.4297 0.1242079 0.3714755
Moved 1848.327 419.3018 541.9526 0.1372727 0.3959686
Moved 1848.358 423.8276 550.2415 0.1477492 0.4172877
Moved 1848.388 424 552.8647 0.1481481 0.4240348
Moved 1848.419 425 555.6285 0.150463 0.4311431
Moved 1848.45 426.1999 557.1999 0.1532405 0.4351848
Ended 1848.481 426.1999 557.1999 0.1532405 0.4351848
Accept 1848.542 0 sharp
Candidates 1848.542 13 contrast contact contract context contrary connect contest content comedy conduct honest constant finest
Began 1849.617 361 505 0.002314846 0.3009258
Stationary 1849.648 361 505 0.002314846 0.3009258
Moved 1849.678 390.8156 505 0.07133235 0.3009258
Moved 1849.709 419.261 505 0.1371782 0.3009258
Moved 1849.74 444.1054 505 0.1946885 0.3009258
Moved 1849.771 472.899 505 0.2613401 0.3009258
Moved 1849.801 495.7245 505 0.3141772 0.3009258
Moved 1849.832 515.0193 505 0.3588411 0.3009258
Moved 1849.863 528.0729 505 0.3890577 0.3009258
Moved 1849.893 535.5721 505 0.4064168 0.3009258
Moved 1849.924 540.5554 505 0.4179522 0.3009258
Moved 1849.955 542.7821 505 0.4231067 0.3009258
Ended 1849.985 543 505 0.4236111 0.3009258
Accept 1850.047 0 contrast
Candidates 1850.047 13 to top you too tip up tp yo yup i took tool rip
Began 1851.06 277 483 -0.1921296 0.2443414
Stationary 1851.091 277 483 -0.1921296 0.2443414
Moved 1851.122 303.8412 487.3055 -0.1299971 0.2554154
Moved 1851.152 343.5133 497.1027 -0.03816371 0.2806138
Moved 1851.183 371.3916 500.7827 0.02636939 0.2900788
Moved 1851.214 406.0142 503 0.1065144 0.2957818
Moved 1851.245 434.0084 504 0.1713158 0.2983539
Moved 1851.275 449.0025 504 0.2060243 0.2983539
Moved 1851.306 463.3835 504 0.2393135 0.2983539
Moved 1851.337 482.7587 504 0.2841637 0.2983539
Moved 1851.368 495.021 504 0.3125486 0.2983539
Moved 1851.398 500.6508 504 0.3255805 0.2983539
Moved 1851.429 504.1954 504 0.3337856 0.2983539
Stationary 1851.46 504.1954 504 0.3337856 0.2983539
Moved 1851.49 505 493.5 0.3356481 0.2713476
Moved 1851.521 505 494.8093 0.3356481 0.2747153
Moved 1851.552 486.2758 491.0394 0.2923049 0.2650188
Moved 1851.582 460.7414 486.2741 0.2331977 0.2527626
Moved 1851.613 427.6965 482.5179 0.156705 0.2431015
Moved 1851.644 388.2809 479.1601 0.06546498 0.2344652
Moved 1851.675 351.7834 475.3153 -0.01901979 0.2245764
Moved 1851.705 324.8452 473.5383 -0.08137673 0.2200059
Moved 1851.736 306.7379 473.1054 -0.1232919 0.2188924
Moved 1851.767 285.7046 473 -0.1719801 0.2186213
Moved 1851.797 270.0893 472 -0.2081267 0.2160493
Moved 1851.828 259.5861 472 -0.2324397 0.2160493
Moved 1851.859 251.6145 472 -0.2508923 0.2160493
Moved 1851.89 242.9394 472 -0.2709737 0.2160493
Moved 1851.92 237.8979 472 -0.2826438 0.2160493
Moved 1851.951 235 472 -0.2893518 0.2160493
Ended 1851.982 235 472 -0.2893518 0.2160493
Accept 1852.104 0 to
Candidates 1852.104 13 wrote your supports tried report this stopped dropped tops route the support wore
Began 1852.872 403 321 0.09953707 -0.1723252
Stationary 1852.903 403 321 0.09953707 -0.1723252
Moved 1852.934 391.6805 344.1495 0.07333437 -0.1127843
Moved 1852.964 388.0522 368.0016 0.06493568 -0.05143632
Moved 1852.995 382 405 0.05092591 0.04372424
Moved 1853.026 375.9787 438.1917 0.03698776 0.1290937
Moved 1853.057 371.4521 462.9655 0.02650956 0.1928123
Moved 1853.087 367.5 487.5 0.01736114 0.2559156
Moved 1853.118 365.0421 505.7055 0.01167138 0.3027404
Moved 1853.149 361.3121 519.4395 0.003037254 0.3380645
Moved 1853.179 358.57 529.29 -0.003310243 0.3634002
Moved 1853.21 357 536.3918 -0.006944438 0.3816662
Moved 1853.241 355.4045 540.5955 -0.01063779 0.3924781
Moved 1853.272 354 547.0228 -0.01388888 0.4090092
Moved 1853.302 353 550.0864 -0.01620372 0.4168887
Moved 1853.333 351.1691 553.8309 -0.02044191 0.4265196
Moved 1853.364 350 559.8614 -0.02314816 0.4420302
Moved 1853.394 347.9569 564.0862 -0.02787754 0.4528964
Moved 1853.425 346.1927 566.8074 -0.03196145 0.4598954
Moved 1853.456 342 569.5 -0.04166668 0.4668209
Moved 1853.487 338.0153 571.9847 -0.05089055 0.4732117
Moved 1853.517 333.26 574 -0.06189813 0.478395
Moved 1853.548 327.0178 575 -0.07634769 0.480967
Moved 1853.579 322.0693 575 -0.08780251 0.480967
Moved 1853.609 318.2958 576 -0.09653747 0.483539
Moved 1853.64 315.5347 576 -0.102929 0.483539
Moved 1853.671 313.7693 577.2307 -0.1070155 0.4867042
Moved 1853.702 313 577.6752 -0.1087963 0.4878477
Moved 1853.732 311.7795 578 -0.1116214 0.488683
