win first prize in the contest
win first prize in the contest
Basic
Radial

0.6 0.6
432 388.8
Began 1943.156 248 493 -0.2592593 0.2700616
Stationary 1943.187 248 493 -0.2592593 0.2700616
Stationary 1943.218 248 493 -0.2592593 0.2700616
Stationary 1943.249 248 493 -0.2592593 0.2700616
Stationary 1943.279 248 493 -0.2592593 0.2700616
Moved 1943.31 275.7004 493 -0.195138 0.2700616
Moved 1943.341 303.8575 504.8702 -0.1299595 0.300592
Moved 1943.372 334.0005 510.5001 -0.06018405 0.3150722
Moved 1943.402 358.1463 513.691 -0.004290988 0.3232793
Moved 1943.433 393.8333 516 0.07831792 0.329218
Moved 1943.464 420.5 518.5 0.1400463 0.335648
Moved 1943.494 442.5042 518 0.190982 0.3343621
Moved 1943.525 453.3125 519 0.2160011 0.3369341
Moved 1943.556 462.7713 519 0.2378965 0.3369341
Moved 1943.587 468.4335 519 0.2510035 0.3369341
Moved 1943.617 471.9347 519 0.2591081 0.3369341
Moved 1943.648 475.297 519 0.2668912 0.3369341
Moved 1943.679 478.5164 510.4836 0.2743434 0.3150298
Moved 1943.709 481.29 505.1301 0.2807638 0.3012604
Moved 1943.74 482 486.7992 0.2824074 0.2541131
Moved 1943.771 472.201 451.5796 0.2597246 0.1635277
Moved 1943.802 451.041 390.0956 0.2107431 0.005389947
Moved 1943.832 437.1618 355.6949 0.1786153 -0.08308913
Moved 1943.863 427.7234 333.9291 0.1567672 -0.1390712
Moved 1943.894 422.8958 321.7396 0.1455922 -0.1704228
Moved 1943.925 418.5 303.5 0.1354167 -0.2173355
Ended 1943.955 416 300 0.1296297 -0.2263375
Candidates 1944.047 13 win erin from rob ron won run room trim ruin writing aaron strong
Began 1944.938 348 333 -0.0277778 -0.141461
Stationary 1944.969 348 333 -0.0277778 -0.141461
Stationary 1945.015 348 333 -0.0277778 -0.141461
Moved 1945.046 366.7384 333 0.01559814 -0.141461
Moved 1945.077 386.6702 333 0.06173651 -0.141461
Moved 1945.107 405.8586 333 0.1061543 -0.141461
Moved 1945.138 424.0847 333 0.1483441 -0.141461
Moved 1945.169 435.9449 340 0.1757984 -0.1234569
Moved 1945.199 441.9768 340 0.189761 -0.1234569
Moved 1945.23 447.0147 340 0.201423 -0.1234569
Ended 1945.261 447.0147 340 0.201423 -0.1234569
