the bathroom is good for reading
the bathroom is good for reading
Basic
List

0.6 0.6
432 388.8
Began 1913.761 348 503 -0.0277778 0.2957818
Stationary 1913.792 348 503 -0.0277778 0.2957818
Stationary 1913.822 348 503 -0.0277778 0.2957818
Stationary 1913.853 348 503 -0.0277778 0.2957818
Moved 1913.884 348 492.5667 -0.0277778 0.2689471
Moved 1913.914 340.0242 483.0726 -0.04624029 0.2445283
Moved 1913.945 339 471.6174 -0.04861111 0.2150653
Moved 1913.976 339 460 -0.04861111 0.1851851
Moved 1914.007 339 451.3218 -0.04861111 0.1628647
Moved 1914.037 346.6682 443.8091 -0.0308607 0.1435418
Moved 1914.068 347.9648 439.0703 -0.02785916 0.1313536
Moved 1914.099 349.5325 435.4675 -0.02423038 0.1220872
Moved 1914.13 352.4121 431.1758 -0.01756454 0.1110487
Moved 1914.16 356.547 426.4531 -0.007993133 0.09890183
Moved 1914.191 362.2808 419.7192 0.00527968 0.08158213
Moved 1914.222 369.0308 411.2923 0.02090464 0.05990813
Moved 1914.253 378.6287 402.3713 0.04312197 0.03696316
Moved 1914.283 387.245 393.755 0.06306708 0.01480189
Moved 1914.314 391.8768 389.1232 0.07378886 0.002888927
Moved 1914.345 395.7858 385.2142 0.08283754 -0.007165272
Moved 1914.376 398.658 383.342 0.08948604 -0.01198035
Moved 1914.406 400.5 382 0.09374996 -0.01543218
Moved 1914.437 400 380.9338 0.09259263 -0.01817452
Stationary 1914.468 400 381 0.09259263 -0.01800419
Moved 1914.499 380.953 398.047 0.04850229 0.02584096
Moved 1914.529 368 410 0.01851857 0.05658428
Moved 1914.56 352.0441 422.9559 -0.01841635 0.089907
Moved 1914.591 335.6724 435.2621 -0.05631397 0.1215589
Moved 1914.621 324.2538 446.8096 -0.08274575 0.1512592
Moved 1914.652 311.1872 458.8752 -0.1129927 0.1822922
Moved 1914.683 306.8762 464.4984 -0.1229717 0.196755
Moved 1914.714 298.2887 471.4742 -0.1428503 0.214697
Moved 1914.744 289.667 480.222 -0.162808 0.2371966
Moved 1914.775 282.0441 488.9559 -0.1804534 0.2596601
Moved 1914.806 275 496.5 -0.1967592 0.2790637
Moved 1914.837 267.8066 504.1934 -0.2134106 0.2988511
Moved 1914.867 264.168 508.832 -0.2218333 0.3107817
Moved 1914.898 258.2351 515.7648 -0.2355668 0.3286132
Moved 1914.929 255.3696 519.6304 -0.2421999 0.3385554
Moved 1914.96 255 521.4988 -0.2430556 0.3433611
Moved 1914.99 270.8783 531.4099 -0.2063003 0.3688524
Ended 1915.021 270.8783 531.4099 -0.2063003 0.3688524
Candidates 1915.113 13 the there they where he she sheet other sheer her threw these free
Began 1915.974 352 225 -0.01851852 -0.4192387
Stationary 1916.005 352 225 -0.01851852 -0.4192387
Stationary 1916.035 352 225 -0.01851852 -0.4192387
Stationary 1916.066 352 225 -0.01851852 -0.4192387
Moved 1916.097 352 238.609 -0.01851852 -0.3842361
Moved 1916.128 352 244.4817 -0.01851852 -0.3691315
Moved 1916.158 356.2477 250.2136 -0.008685986 -0.3543889
Moved 1916.189 360.1737 254.3474 0.0004021327 -0.3437566
