I can still feel your presence
I can still feel your presence
Basic
List

0.6 0.6
432 388.8
Began 2571.808 493 476 0.3078704 0.2263374
Stationary 2571.839 493 476 0.3078704 0.2263374
Stationary 2571.869 493 476 0.3078704 0.2263374
Stationary 2571.9 493 476 0.3078704 0.2263374
Stationary 2571.931 493 476 0.3078704 0.2263374
Stationary 2571.962 493 476 0.3078704 0.2263374
Stationary 2571.992 493 476 0.3078704 0.2263374
Stationary 2572.023 493 476 0.3078704 0.2263374
Stationary 2572.054 493 476 0.3078704 0.2263374
Stationary 2572.085 493 476 0.3078704 0.2263374
Stationary 2572.115 493 476 0.3078704 0.2263374
Stationary 2572.146 493 476 0.3078704 0.2263374
Stationary 2572.177 493 476 0.3078704 0.2263374
Stationary 2572.208 493 476 0.3078704 0.2263374
Stationary 2572.238 493 476 0.3078704 0.2263374
Stationary 2572.269 493 476 0.3078704 0.2263374
Stationary 2572.3 493 476 0.3078704 0.2263374
Stationary 2572.331 493 476 0.3078704 0.2263374
Ended 2572.361 493 476 0.3078704 0.2263374
Candidates 2572.423 9 I o p u k l j y h
Began 2573.283 305 243 -0.1273148 -0.3729424
Stationary 2573.314 305 243 -0.1273148 -0.3729424
Stationary 2573.345 305 243 -0.1273148 -0.3729424
Stationary 2573.375 305 243 -0.1273148 -0.3729424
Stationary 2573.406 305 243 -0.1273148 -0.3729424
Stationary 2573.437 305 243 -0.1273148 -0.3729424
Stationary 2573.468 305 243 -0.1273148 -0.3729424
Stationary 2573.499 305 243 -0.1273148 -0.3729424
Stationary 2573.529 305 243 -0.1273148 -0.3729424
Stationary 2573.56 305 243 -0.1273148 -0.3729424
Moved 2573.591 287 253.5 -0.1689815 -0.3459363
Moved 2573.622 269.2921 276.7964 -0.209972 -0.2860176
Moved 2573.652 250.2195 297.7805 -0.2541216 -0.232046
Moved 2573.683 239.3383 311.4926 -0.2793095 -0.1967785
Moved 2573.714 232.1595 322.4008 -0.2959271 -0.1687222
Moved 2573.744 226.5201 333.7198 -0.3089812 -0.1396094
Moved 2573.775 224.9035 342.2895 -0.3127234 -0.1175683
Moved 2573.806 224 346.9713 -0.3148148 -0.1055267
Moved 2573.837 224 350.502 -0.3148148 -0.09644567
Moved 2573.867 241.9928 359.1223 -0.2731647 -0.07427396
Moved 2573.898 275.8673 366.239 -0.1947515 -0.05596993
Moved 2573.929 310.2878 368 -0.1150747 -0.05144041
Moved 2573.96 358.8882 343.5559 -0.002573629 -0.1143109
Moved 2573.99 369.3642 336.2723 0.02167642 -0.1330444
