is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Began 627.5948 422 533 0.1435185 0.3729423
Stationary 627.6256 422 533 0.1435185 0.3729423
Stationary 627.6563 422 533 0.1435185 0.3729423
Moved 627.6871 406.9344 516.7756 0.1086446 0.3312129
Moved 627.7178 364.1929 469.3219 0.009705721 0.2091612
Moved 627.7485 313.2209 418.4921 -0.1082848 0.07842597
Moved 627.7793 269.1573 385.1089 -0.210284 -0.007436069
Moved 627.8101 238.2866 363.4291 -0.281744 -0.0631969
Moved 627.8408 220.4084 353.7042 -0.3231286 -0.08820938
Moved 627.8715 208.7838 346.5879 -0.3500374 -0.1065127
Moved 627.9022 202.4747 343 -0.3646419 -0.1157408
Moved 627.933 199.7495 342 -0.3709502 -0.1183128
Ended 627.9637 200 342 -0.3703704 -0.1183128
Candidates 628.0867 13 usa us is its id ya pass oa if odds used ts ita
Began 628.2712 408 563 0.1111111 0.4501028
Moved 628.302 412.12 544.85 0.1206482 0.4034208
Moved 628.3327 428.1621 510.9786 0.1577826 0.316303
Moved 628.3635 440.1562 464.3752 0.1855468 0.1964383
Moved 628.3942 445.3478 436.5653 0.1975644 0.1249107
Moved 628.4249 447 424.7462 0.2013889 0.09451179
Moved 628.4557 448 418.4438 0.2037037 0.078302
Moved 628.4865 449 414.8401 0.2060185 0.0690331
Moved 628.5172 449 412.0757 0.2060185 0.06192302
Stationary 628.5479 449 412 0.2060185 0.06172835
Stationary 628.5787 449 412 0.2060185 0.06172835
Moved 628.6094 420.5805 438.4195 0.1402327 0.1296797
Moved 628.6401 387.411 473.0596 0.06345142 0.2187747
Moved 628.6709 362.0913 503.2905 0.004840891 0.2965289
Moved 628.7016 339.5681 531.1479 -0.04729619 0.3681788
Moved 628.7324 332.4697 550.3862 -0.0637275 0.41766
Moved 628.7632 332 568.8586 -0.06481484 0.4651713
Moved 628.7939 354.1942 592.1942 -0.01343946 0.5251906
Moved 628.8246 380.7215 610.0675 0.04796644 0.5711612
Moved 628.8554 409.3748 615.8194 0.1142935 0.5859551
Moved 628.8862 429.6679 617 0.1612682 0.5889916
Moved 628.9169 439.7675 617 0.184647 0.5889916
Moved 628.9476 445.4634 617 0.1978319 0.5889916
Moved 628.9784 449.7245 617 0.2076956 0.5889916
Moved 629.0091 452.0795 617 0.2131469 0.5889916
Moved 629.0399 453.8022 611.3848 0.2171346 0.5745492
Moved 629.0706 455.102 610 0.2201435 0.5709876
