the bathroom is good for reading
the bathroom is good for reading
Basic
Radial

0.6 0.6
432 388.8
Began 2473.206 368 536 0.01851857 0.3806583
Stationary 2473.237 368 536 0.01851857 0.3806583
Stationary 2473.268 368 536 0.01851857 0.3806583
Stationary 2473.299 368 536 0.01851857 0.3806583
Stationary 2473.329 368 536 0.01851857 0.3806583
Stationary 2473.36 368 536 0.01851857 0.3806583
Moved 2473.391 368 523.1017 0.01851857 0.3474837
Moved 2473.421 368 515 0.01851857 0.326646
Moved 2473.452 368 504.4797 0.01851857 0.2995878
Moved 2473.483 368 492.9805 0.01851857 0.2700114
Moved 2473.513 378.1312 483.6065 0.04197031 0.2459014
Moved 2473.544 382.651 476.0469 0.05243291 0.2264581
Moved 2473.575 389.039 466.4415 0.06721984 0.2017528
Moved 2473.606 394.7871 456.8193 0.08052577 0.1770044
Moved 2473.636 399.52 448.22 0.09148141 0.1548868
Moved 2473.667 405.5053 438.6596 0.1053364 0.1302972
Moved 2473.698 411.4176 428.8735 0.1190223 0.1051273
Moved 2473.729 417.1641 419.8359 0.1323244 0.08188236
Moved 2473.759 422.1716 410.7426 0.1439157 0.0584943
Moved 2473.79 428.9616 400.0576 0.1596332 0.03101231
Moved 2473.821 433.8497 393.3005 0.1709484 0.01363307
Moved 2473.852 436.7159 389.2842 0.177583 0.003302853
Moved 2473.882 439.2166 386.7834 0.1833718 -0.003129268
Moved 2473.913 440 384.9141 0.1851852 -0.00793716
Moved 2473.944 440 383.0449 0.1851852 -0.01274478
Stationary 2473.974 440 383 0.1851852 -0.01286016
Moved 2474.005 440 381.6783 0.1851852 -0.01625948
Moved 2474.036 430.0064 382 0.1620519 -0.01543218
Moved 2474.067 423.6197 382 0.1472679 -0.01543218
Moved 2474.097 413.1215 386.5249 0.1229665 -0.003794054
Moved 2474.128 399.3965 395.5621 0.09119559 0.0194497
Moved 2474.159 386.0055 403.1967 0.06019781 0.03908616
Moved 2474.189 374.9458 409.5271 0.03459672 0.05536801
Moved 2474.22 365.6811 417.4892 0.01315057 0.07584666
Moved 2474.251 356.5941 424.4059 -0.007884055 0.0936366
Moved 2474.282 348.6872 430.7346 -0.0261871 0.1099141
Moved 2474.313 340.7289 439.3615 -0.04460901 0.1321024
Moved 2474.343 332.0194 447.9806 -0.06476988 0.1542709
Moved 2474.374 325.2764 455.5854 -0.08037865 0.1738307
Moved 2474.405 318.5318 463.2024 -0.09599129 0.1934218
Moved 2474.436 312.2762 469.7238 -0.1104717 0.2101947
Moved 2474.466 305.7836 477.3246 -0.125501 0.2297444
Moved 2474.497 300.0215 483.9678 -0.1388391 0.2468306
Moved 2474.528 294.7023 491.2977 -0.1511521 0.2656833
Moved 2474.558 289.185 498.815 -0.1639236 0.2850179
Moved 2474.589 284.4428 506.8359 -0.174901 0.3056477
Moved 2474.62 281.8523 511.2955 -0.1808975 0.3171179
Moved 2474.651 280 515.6693 -0.1851852 0.3283673
Moved 2474.681 277.4579 518.5421 -0.1910696 0.3357562
Moved 2474.712 274.5822 522.4178 -0.1977265 0.3457248
Moved 2474.743 272.7107 526.2894 -0.2020586 0.3556824
