good jobs for those with education
good jobs for those with education
FixStart
List

0.6 0.6
432 388.8
Began 2484.285 329 377 -0.07175927 -0.02829226
Stationary 2484.315 329 377 -0.07175927 -0.02829226
Moved 2484.346 340.0185 394.6295 -0.04625355 0.01705115
Moved 2484.377 379.3113 438.7252 0.04470209 0.130466
Moved 2484.408 427.673 492.673 0.1566505 0.2692207
Moved 2484.438 454.3954 524.0745 0.2185079 0.3499858
Moved 2484.469 473.1931 543.392 0.2620211 0.3996707
Moved 2484.5 491.5183 560.3456 0.3044405 0.4432755
Moved 2484.531 494.6182 565.2364 0.3116162 0.4558548
Moved 2484.561 498.4853 570.9706 0.3205678 0.4706032
Moved 2484.592 501.3553 574.3553 0.3272113 0.4793088
Moved 2484.623 502 576.8714 0.3287037 0.4857803
Moved 2484.654 502 579 0.3287037 0.4912551
Moved 2484.684 502 580 0.3287037 0.4938271
Stationary 2484.715 502 580 0.3287037 0.4938271
Moved 2484.746 489.8448 580 0.3005666 0.4938271
Moved 2484.777 478.3095 573.5417 0.2738647 0.4772162
Moved 2484.807 463.2552 564.6276 0.2390167 0.454289
Moved 2484.838 444.0646 553.3693 0.1945941 0.4253323
Moved 2484.869 425.594 541.9957 0.151838 0.3960795
Moved 2484.899 403.4777 525.5522 0.1006427 0.3537866
Moved 2484.93 385.1761 511.8652 0.05827814 0.3185833
Moved 2484.961 366.3427 494.3427 0.01468202 0.273515
Moved 2484.992 350.1165 477.8026 -0.0228786 0.2309735
Moved 2485.022 330.8825 456.6962 -0.06740168 0.1766878
Moved 2485.053 316.3302 442.5963 -0.1010874 0.1404223
Moved 2485.084 303.2058 427.0096 -0.1314681 0.1003334
Moved 2485.115 293.1156 413.6445 -0.154825 0.06595796
Moved 2485.146 286.3224 402.9836 -0.1705499 0.03853805
Moved 2485.176 282.142 396.4261 -0.1802267 0.02167199
Moved 2485.207 277.2712 390.5425 -0.1915018 0.006539301
Moved 2485.238 275 386.8017 -0.1967592 -0.003082173
Moved 2485.269 272.8719 383.8719 -0.2016854 -0.01061765
Moved 2485.299 272 381.9597 -0.2037037 -0.01553594
Moved 2485.33 270.0909 380 -0.2081228 -0.02057613
Moved 2485.361 269 378 -0.2106481 -0.02572024
Moved 2485.391 267.687 377 -0.2136874 -0.02829226
Moved 2485.422 268 376 -0.212963 -0.03086435
Moved 2485.453 268 374.5 -0.212963 -0.03472222
Moved 2485.484 268 375 -0.212963 -0.03343629
Ended 2485.514 268 375 -0.212963 -0.03343629
Candidates 2485.637 13 if of good id is god off his food ups odd its org
Began 2486.59 354 393.6564 -0.01388888 0.0145484
Moved 2486.621 369.6644 415.1073 0.02237121 0.06972038
Moved 2486.652 386.3531 444.7061 0.06100247 0.145849
Moved 2486.683 399.0836 472.2299 0.09047131 0.2166405
Moved 2486.713 410.5513 503.8782 0.1170169 0.2980407
Moved 2486.744 416.5149 532.3318 0.1308215 0.3712238
Moved 2486.775 418.6224 554.7343 0.1356999 0.4288433
Moved 2486.806 419 566.4958 0.1365741 0.459094
Moved 2486.836 419 577.0267 0.1365741 0.4861798
Moved 2486.867 419 585.6295 0.1365741 0.5083061
