I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Began 951.5252 485 293 0.2893518 -0.2443416
Moved 951.556 497.7621 306.2097 0.3188937 -0.2103662
Moved 951.5867 514.4995 320.4995 0.3576378 -0.1736124
Moved 951.6174 528.5894 331.6578 0.3902533 -0.144913
Moved 951.6481 540.2321 343.4241 0.417204 -0.1146501
Moved 951.6789 550.0491 352.3661 0.4399286 -0.091651
Moved 951.7096 555.5 358 0.4525463 -0.07716057
Moved 951.7404 560.1285 362.2571 0.4632605 -0.06621121
Moved 951.7711 566.0011 367.0011 0.4768544 -0.0540096
Moved 951.8018 569.8754 370.8754 0.4858226 -0.04404492
Moved 951.8326 573.3063 375.6125 0.4937645 -0.03186073
Moved 951.8633 577.2697 380.5393 0.502939 -0.01918902
Moved 951.894 581.3082 385.3082 0.5122875 -0.006923361
Moved 951.9247 583.9819 390.9637 0.5184765 0.007622762
Moved 951.9555 585 394.4211 0.5208333 0.01651509
Ended 951.9861 587 396 0.5254629 0.02057605
Candidates 952.0476 13 I go o hi ii iii u gi p ho iu it uk
Began 952.8774 438 270 0.1805556 -0.303498
Moved 952.9082 427.7737 280.2263 0.1568837 -0.2771959
Moved 952.9389 408.7539 301.246 0.1128563 -0.2231327
Moved 952.9696 383.5406 325.0134 0.05449226 -0.1620025
Moved 953.0004 364.7572 343.2427 0.01101216 -0.1151165
Moved 953.0311 349.9797 353.6122 -0.02319515 -0.08844611
Moved 953.0618 336.7194 360.1403 -0.0538903 -0.07165563
Moved 953.0926 325.1987 365.9006 -0.08055856 -0.05683992
Moved 953.1234 313.5727 369.3568 -0.1074706 -0.04795066
Moved 953.1541 307.1721 371.9426 -0.1222868 -0.04129982
Moved 953.1848 302.2055 373 -0.1337835 -0.03858032
Moved 953.2155 298.3262 373 -0.1427634 -0.03858032
Moved 953.2462 296.7277 373 -0.1464636 -0.03858032
Moved 953.2769 297 364.3482 -0.1458333 -0.0608328
Moved 953.3077 297 342.3805 -0.1458333 -0.1173342
Moved 953.3384 308.5115 314.4653 -0.1191862 -0.1891325
Moved 953.3691 315.5 293.5 -0.1030092 -0.2430556
Moved 953.3999 322.6418 266.8607 -0.0864773 -0.3115724
Moved 953.4306 331.3513 247.3853 -0.06631648 -0.3616635
Moved 953.4614 340.838 230.243 -0.04435643 -0.4057535
Moved 953.4921 349.0211 213.9578 -0.02541403 -0.4476396
Moved 953.5228 361.4688 193.4296 0.003399948 -0.5004384
Moved 953.5536 370.7282 178.5437 0.02483378 -0.5387251
Moved 953.5844 382.4973 168.6271 0.05207698 -0.5642307
Moved 953.6151 392.5764 161.7118 0.07540841 -0.5820169
Moved 953.6458 404 155 0.1018518 -0.5992799
Moved 953.6765 415.4951 150.6262 0.128461 -0.6105294
Moved 953.7073 425.8356 151 0.1523972 -0.6095679
Moved 953.738 440.3216 165.152 0.1859296 -0.5731688
Moved 953.7687 453.5022 191.0044 0.2164403 -0.5066759
Moved 953.7994 467.8397 243.6304 0.2496288 -0.3713211
Moved 953.8301 482.5491 309.2881 0.2836786 -0.2024483
Moved 953.8608 492.9035 341.7589 0.3076471 -0.1189331
Moved 953.8917 507.1798 368.3596 0.3406939 -0.05051554
Ended 953.9224 520.5 390 0.3715278 0.005143954
Accept 953.9838 0 I
Candidates 953.9838 13 want heavy went rabbi rabbit grant waco gravity wacky abu debt really rant
Began 955.0287 436 260 0.1759259 -0.3292181
Stationary 955.0595 436 260 0.1759259 -0.3292181
Stationary 955.0902 436 260 0.1759259 -0.3292181
Moved 955.121 411 292 0.1180555 -0.2469136
Moved 955.1517 397.6293 322.9267 0.08710493 -0.1673696
Moved 955.1824 391.0866 342.7834 0.07195979 -0.1162979
Moved 955.2131 389.1729 351.6543 0.06752978 -0.09348182
Moved 955.2439 389 356.3068 0.06712963 -0.0815156
Moved 955.2747 404.8725 362.8025 0.1038715 -0.06480841
