please provide your date of birth
please provide your date of birth
Basic
List

0.6 0.6
432 388.8
Began 3140.986 554 509 0.4490741 0.3112139
Stationary 3141.017 554 509 0.4490741 0.3112139
Stationary 3141.048 554 509 0.4490741 0.3112139
Stationary 3141.078 554 509 0.4490741 0.3112139
Moved 3141.109 543.4279 509 0.4246015 0.3112139
Moved 3141.14 540.6617 509 0.4181985 0.3112139
Moved 3141.171 536.7998 509 0.4092588 0.3112139
Moved 3141.201 532.9961 505.4864 0.4004539 0.3021768
Moved 3141.232 528.7272 492.9091 0.3905724 0.2698277
Moved 3141.263 524.9677 475.8062 0.3818696 0.2258388
Moved 3141.293 523 458.2145 0.3773148 0.1805929
Moved 3141.324 522 437.5221 0.375 0.1273716
Moved 3141.355 519.9877 412.8888 0.3703418 0.06401431
Moved 3141.386 518.2459 394.7215 0.3663099 0.01728776
Moved 3141.417 515.5 375.5 0.3599537 -0.03215028
Moved 3141.447 513.0646 359.3874 0.3543161 -0.0735921
Moved 3141.478 510.3153 343.5767 0.3479522 -0.1142574
Moved 3141.509 507.565 332.2599 0.3415856 -0.1433646
Moved 3141.54 506.0833 323.2498 0.3381556 -0.1665388
Moved 3141.57 502.9659 310.8976 0.3309395 -0.1983088
Moved 3141.601 502 305.4053 0.3287037 -0.2124351
Moved 3141.632 502 302.5 0.3287037 -0.2199075
Moved 3141.662 500.5277 303 0.3252957 -0.2186215
Moved 3141.693 498.6202 303 0.3208802 -0.2186215
Moved 3141.724 490.5 311.9999 0.3020834 -0.1954735
Moved 3141.755 478.5502 324.3397 0.2744219 -0.1637353
Moved 3141.785 461.6449 340.0607 0.2352892 -0.1233007
Moved 3141.816 445.6514 354.2905 0.1982672 -0.08670148
Moved 3141.847 430.9103 367.2717 0.1641444 -0.05331353
Moved 3141.878 413.5 380.5 0.1238426 -0.0192902
Moved 3141.908 397.8979 392.0817 0.08772671 0.01049807
Moved 3141.939 383.1144 402.1085 0.0535055 0.03628731
Moved 3141.97 368.3834 410.5699 0.01940598 0.05805023
Moved 3142 352.2823 416.9193 -0.017865 0.0743809
Moved 3142.031 330.0127 424.4249 -0.06941497 0.09368543
Moved 3142.062 305.2803 429.472 -0.126666 0.1066665
Moved 3142.093 276.6202 431 -0.1930088 0.1105966
Moved 3142.124 244.5356 431 -0.2672787 0.1105966
Moved 3142.154 206.2546 412.6061 -0.3558922 0.0632872
Moved 3142.185 173.2938 396.6469 -0.4321902 0.02223996
Moved 3142.216 150.2708 382.1805 -0.4854842 -0.01496782
Moved 3142.247 131.1626 368.9733 -0.5297162 -0.04893707
Moved 3142.277 117.1721 358.3377 -0.5621015 -0.07629198
Moved 3142.308 108.2323 351.1548 -0.5827956 -0.09476642
Moved 3142.339 103 346 -0.5949074 -0.1080248
Moved 3142.369 101 344.9254 -0.5995371 -0.1107888
Moved 3142.4 100 345 -0.6018518 -0.1105968
Stationary 3142.431 100 345 -0.6018518 -0.1105968
Moved 3142.462 109.1044 345 -0.5807769 -0.1105968
Moved 3142.492 125.0763 365.3168 -0.5438048 -0.05834171
Moved 3142.523 155.6965 391.1786 -0.4729247 0.008175501
Moved 3142.554 182.9915 414.4476 -0.4097418 0.06802367
Moved 3142.585 209.9995 434.9227 -0.3472235 0.1206858
Moved 3142.615 233.6643 454.2902 -0.2924437 0.1704995
Moved 3142.646 253.5059 468.0756 -0.2465142 0.2059558
Moved 3142.677 267.92 478.936 -0.2131481 0.2338889
Moved 3142.708 280.2735 486.3641 -0.1845522 0.2529939
Moved 3142.738 288.6389 494.6389 -0.1651876 0.2742769
Moved 3142.769 293.978 498.9559 -0.1528288 0.2853803
Moved 3142.8 299 503 -0.1412037 0.2957818
Moved 3142.831 300 505.1846 -0.1388889 0.3014007
Moved 3142.861 301.5 506.5 -0.1354167 0.3047839
Moved 3142.892 302 508.3218 -0.1342593 0.3094697
Moved 3142.923 302 509 -0.1342593 0.3112139
Moved 3142.954 302 510 -0.1342593 0.3137859
Moved 3142.984 294.8449 512 -0.150822 0.31893
Moved 3143.015 293.1834 512 -0.1546679 0.31893
Moved 3143.046 286.4363 512 -0.1702864 0.31893
Moved 3143.076 275.8571 512 -0.1947753 0.31893
Moved 3143.107 263.0621 497.4497 -0.2243932 0.2815064
Moved 3143.138 250.2876 478.7177 -0.2539638 0.2333274
Moved 3143.169 240.7671 455.8595 -0.2760021 0.1745356
Moved 3143.199 233.3975 431.5898 -0.2930614 0.1121138
Moved 3143.23 228.9476 409.5289 -0.3033619 0.05537256
Moved 3143.261 225.3757 392.2543 -0.3116303 0.01094218
Moved 3143.292 225 374.2087 -0.3125 -0.03547135
Moved 3143.322 225 359.9869 -0.3125 -0.07205029
Moved 3143.353 225 351.5137 -0.3125 -0.09384327
Moved 3143.384 225 345.733 -0.3125 -0.1087116
Moved 3143.415 225 341.0598 -0.3125 -0.1207311
Moved 3143.445 225 338.3076 -0.3125 -0.1278097
Moved 3143.476 225 336.9283 -0.3125 -0.1313573
Moved 3143.507 225 335.7862 -0.3125 -0.1342948
Moved 3143.538 229.8614 340.2538 -0.3012467 -0.1228041
Moved 3143.568 239.0768 353.7947 -0.2799148 -0.08797672
Moved 3143.599 249.4659 382.2422 -0.2558661 -0.01480911
Moved 3143.63 253.156 393.624 -0.2473241 0.01446484
Moved 3143.66 261.0092 416.6913 -0.2291452 0.07379461
Moved 3143.691 266.2168 430.542 -0.2170907 0.1094186
Moved 3143.722 271.2834 443.5668 -0.2053624 0.1429187
Moved 3143.753 275.5577 455.1154 -0.1954683 0.1726219
Moved 3143.783 279.0377 466.1506 -0.1874128 0.2010046
Moved 3143.814 281.8009 474.6017 -0.1810165 0.222741
Moved 3143.845 284.2083 480.6248 -0.1754438 0.2382325
Moved 3143.876 287 487.0521 -0.1689815 0.2547636
Moved 3143.906 289.7895 492.5789 -0.1625244 0.2689787
Moved 3143.937 292 496.0964 -0.1574074 0.2780257
