if you were not so stupid
if you were not so stupid
Basic
Radial

0.6 0.6
432 388.8
Began 2558.364 449 490 0.2060185 0.2623456
Stationary 2558.394 449 490 0.2060185 0.2623456
Stationary 2558.425 449 490 0.2060185 0.2623456
Stationary 2558.456 449 490 0.2060185 0.2623456
Stationary 2558.487 449 490 0.2060185 0.2623456
Stationary 2558.517 449 490 0.2060185 0.2623456
Moved 2558.548 440.7899 479.7899 0.1870136 0.2360851
Moved 2558.579 439.2039 477.2039 0.1833425 0.2294339
Moved 2558.61 436.4048 474.4048 0.1768629 0.2222345
Moved 2558.64 433.0897 471.5448 0.1691891 0.2148786
Moved 2558.671 431.6707 469.6708 0.1659045 0.2100585
Moved 2558.702 430 468.1022 0.162037 0.2060241
Moved 2558.732 427.2301 467 0.1556253 0.2031892
Moved 2558.763 426 465.3594 0.1527777 0.1989696
Moved 2558.794 423.5 463.5 0.1469907 0.1941872
Moved 2558.825 421.949 463 0.1434005 0.1929011
Moved 2558.855 418.0748 460.0748 0.1344324 0.1853774
Moved 2558.886 410.6109 456.2036 0.1171548 0.1754208
Moved 2558.917 401.1132 452.5566 0.09516944 0.1660405
Moved 2558.948 380.8032 444.4871 0.04815558 0.1452857
Moved 2558.978 359.6337 434.8168 -0.0008479754 0.1204135
Moved 2559.009 340.5105 424.3403 -0.04511461 0.09346785
Moved 2559.04 322.7564 412.6832 -0.08621201 0.06348547
Moved 2559.071 306.9896 401.6597 -0.1227092 0.03513297
Moved 2559.101 295.0013 391.201 -0.15046 0.008232878
Moved 2559.132 288.6165 386.411 -0.1652395 -0.004086946
Moved 2559.163 282.8089 381.8089 -0.1786831 -0.01592369
Moved 2559.193 279.5273 378.5273 -0.1862794 -0.02436391
Moved 2559.224 279 379 -0.1875 -0.02314815
Moved 2559.255 277.5 379 -0.1909722 -0.02314815
Ended 2559.286 278 379 -0.1898148 -0.02314815
Candidates 2559.409 13 if id is us odds of odd his ps usa off kids this
Began 2559.9 313 412 -0.1087963 0.06172835
Stationary 2559.931 313 412 -0.1087963 0.06172835
Stationary 2559.962 313 412 -0.1087963 0.06172835
Moved 2559.992 324.5648 412 -0.08202588 0.06172835
Moved 2560.023 337.2043 412 -0.05276794 0.06172835
Moved 2560.054 361.0665 412 0.002468825 0.06172835
Moved 2560.085 384.7905 420.9767 0.05738537 0.08481669
Moved 2560.115 407.2884 423.4765 0.1094639 0.09124602
Moved 2560.146 429.4361 425 0.1607317 0.09516452
Moved 2560.177 447.4956 426 0.2025361 0.09773654
Moved 2560.208 483.5 428.5 0.2858797 0.1041665
Ended 2560.238 483.5 428.5 0.2858797 0.1041665
Accept 2560.3 0 if
Began 2560.792 312 574 -0.1111111 0.478395
Stationary 2560.822 312 574 -0.1111111 0.478395
Stationary 2560.853 312 574 -0.1111111 0.478395
Moved 2560.884 325.2919 569.4784 -0.08034289 0.4667653
Moved 2560.915 334.6399 560.36 -0.05870387 0.4433128
Moved 2560.945 336.2642 558.7358 -0.0549439 0.4391351
Moved 2560.976 341.1251 553.7498 -0.04369184 0.426311
Moved 2561.007 346.3967 549.6033 -0.03148913 0.4156462
Moved 2561.037 352.1369 543.8631 -0.01820162 0.4008824
Moved 2561.068 359.877 538.5615 -0.0002846122 0.3872465
Moved 2561.099 368.9227 532.3849 0.0206544 0.3713602
Moved 2561.13 378.3524 528.3238 0.04248242 0.360915
Moved 2561.16 388.8304 524.2924 0.06673704 0.3505462
Moved 2561.191 399.2988 521.4253 0.09096941 0.343172
Moved 2561.222 411.3049 518.939 0.1187615 0.3367772
Moved 2561.252 426.7809 517.0438 0.1545854 0.3319028
Moved 2561.283 438.496 516 0.1817037 0.329218
Moved 2561.314 452.0963 516 0.2131857 0.329218
Moved 2561.345 465.2039 516 0.2435275 0.329218
Moved 2561.375 479.5924 516 0.2768342 0.329218
Moved 2561.406 491.9532 516 0.3054471 0.329218
Moved 2561.437 502.8953 516 0.3307762 0.329218
Moved 2561.468 513.5028 516 0.3553306 0.329218
Moved 2561.498 523.7313 516 0.3790077 0.329218
Moved 2561.529 532.3474 516 0.3989524 0.329218
Moved 2561.56 539.0753 516 0.4145261 0.329218
Moved 2561.591 543.562 516 0.4249121 0.329218
Moved 2561.621 547.4254 516 0.4338551 0.329218
Moved 2561.652 549.2963 516 0.4381858 0.329218
Stationary 2561.683 549 516 0.4375 0.329218
Stationary 2561.714 549 516 0.4375 0.329218
Moved 2561.744 535.0613 516 0.4052344 0.329218
Moved 2561.775 521.5995 516 0.374073 0.329218
Moved 2561.806 506.216 516 0.3384631 0.329218
Moved 2561.836 492.7029 515 0.3071828 0.326646
Moved 2561.867 478.4987 514 0.2743026 0.324074
Moved 2561.898 465.7817 513 0.244865 0.321502
Moved 2561.929 456.6733 513 0.2237808 0.321502
Moved 2561.959 449.0638 513 0.2061662 0.321502
Moved 2561.99 442.7519 513 0.1915553 0.321502
Moved 2562.021 437.2808 513 0.1788906 0.321502
Moved 2562.052 432.5313 513 0.1678966 0.321502
Moved 2562.082 429.8885 513 0.1617788 0.321502
Moved 2562.113 427.3179 513 0.1558286 0.321502
Moved 2562.144 425.8916 513 0.1525268 0.321502
Ended 2562.175 426 513 0.1527777 0.321502
Candidates 2562.267 13 you toy roy to i root up tip too report reply top yo
Began 2562.635 320 423 -0.09259259 0.09002049
Stationary 2562.666 320 423 -0.09259259 0.09002049
Moved 2562.697 339.1364 423 -0.04829541 0.09002049
Moved 2562.728 365.337 423 0.01235416 0.09002049
Moved 2562.759 383.2412 431.2412 0.05379905 0.1112171
Moved 2562.789 401.5259 433.1052 0.09612481 0.1160111
Moved 2562.82 417.8856 434.9771 0.1339944 0.1208259
Moved 2562.851 428.4078 436.8519 0.1583515 0.1256479
Ended 2562.881 439.5 440 0.1840278 0.1337448
Accept 2562.974 0 you
Began 2563.527 226 523 -0.3101852 0.3472221
Stationary 2563.557 226 523 -0.3101852 0.3472221
Stationary 2563.588 226 523 -0.3101852 0.3472221
Stationary 2563.619 226 523 -0.3101852 0.3472221
Stationary 2563.65 226 523 -0.3101852 0.3472221
Stationary 2563.68 226 523 -0.3101852 0.3472221
Stationary 2563.711 226 523 -0.3101852 0.3472221
Moved 2563.742 236.6511 512.6744 -0.2855299 0.3206646
Moved 2563.773 239.8421 510.158 -0.2781434 0.3141922
Moved 2563.803 244.4258 507.2871 -0.2675329 0.3068083
Moved 2563.834 250.7535 504.4155 -0.2528854 0.2994224
Moved 2563.865 256.2441 501.878 -0.2401757 0.2928959
Moved 2563.896 262.0491 498.9755 -0.2267382 0.2854306
Moved 2563.926 267.7927 497.1036 -0.2134428 0.2806163
Moved 2563.957 273.5367 494.2317 -0.2001466 0.2732296
Moved 2563.988 278.6076 492.6962 -0.1884082 0.2692802
Moved 2564.018 286.5251 489.825 -0.1700808 0.2618954
Moved 2564.049 296.1902 489 -0.1477078 0.2597736
Moved 2564.08 308.0128 488 -0.1203406 0.2572016
Moved 2564.111 322.0974 488 -0.08773754 0.2572016
