the facts get in the way
the facts get in the way
Basic
Radial

0.6 0.6
432 388.8
Began 1501.791 345 561 -0.03472224 0.4449587
Stationary 1501.822 345 561 -0.03472224 0.4449587
Stationary 1501.853 345 561 -0.03472224 0.4449587
Moved 1501.883 345 528 -0.03472224 0.3600822
Moved 1501.914 355.946 484.9547 -0.009384205 0.2493688
Moved 1501.945 364.7869 443.8523 0.0110808 0.143653
Moved 1501.975 373.8001 405.6495 0.03194481 0.04539478
Moved 1502.006 380.9844 378.3905 0.048575 -0.02471586
Moved 1502.037 388.6485 351.4061 0.06631592 -0.09412012
Moved 1502.068 396.632 333.7361 0.08479615 -0.1395678
Moved 1502.098 400.0805 322.8389 0.092779 -0.1675954
Moved 1502.129 402 316.3709 0.09722222 -0.1842313
Moved 1502.16 403 310 0.09953707 -0.2006174
Moved 1502.19 404 307.6344 0.1018518 -0.2067017
Moved 1502.221 404.9187 305.0813 0.1039785 -0.2132683
Moved 1502.252 405 303.6782 0.1041667 -0.2168771
Moved 1502.282 397.3397 309.1069 0.08643448 -0.2029145
Moved 1502.313 366.8139 343.2234 0.01577288 -0.1151663
Moved 1502.344 343.3622 380.1958 -0.03851334 -0.02007253
Moved 1502.375 323.2388 416.5623 -0.08509547 0.07346255
Moved 1502.406 307.8249 446.6802 -0.1207757 0.1509263
Moved 1502.436 298 471 -0.1435185 0.2134772
Moved 1502.467 289.3106 494.8384 -0.1636329 0.2747902
Moved 1502.498 283.7776 509.556 -0.1764408 0.3126441
Moved 1502.528 281.0223 519.9106 -0.1828187 0.3392763
Moved 1502.559 278 525.9643 -0.1898148 0.3548463
Ended 1502.59 277 529.3607 -0.1921296 0.3635818
Candidates 1502.682 13 the there rubber enter turner tune tube june time under that they river
Began 1503.481 420 409 0.1388889 0.05401234
Stationary 1503.511 420 409 0.1388889 0.05401234
Moved 1503.542 442.6143 409 0.1912367 0.05401234
Moved 1503.573 485.3105 397.5668 0.2900706 0.02460578
Moved 1503.604 517.1628 390.6305 0.3638029 0.006765593
Moved 1503.634 546.2831 384.9434 0.4312108 -0.007861847
Moved 1503.665 567.215 381.6836 0.4796643 -0.01624598
Ended 1503.696 572 382 0.4907407 -0.01543218
Accept 1503.757 0 the
Began 1504.587 325 410 -0.08101851 0.05658428
Stationary 1504.617 325 410 -0.08101851 0.05658428
Stationary 1504.648 325 410 -0.08101851 0.05658428
Stationary 1504.679 325 410 -0.08101851 0.05658428
Moved 1504.709 309.467 410 -0.1169746 0.05658428
Moved 1504.74 291.5323 420.5622 -0.1584901 0.08375046
Moved 1504.771 258.9443 424.6414 -0.2339251 0.09424224
Moved 1504.802 232.414 426.1321 -0.2953381 0.09807637
Moved 1504.832 198.3612 426 -0.3741639 0.09773654
Moved 1504.863 166.0697 420.2073 -0.4489127 0.08283772
Moved 1504.894 140.833 417 -0.5073309 0.0745884
Moved 1504.924 125.9594 414.5837 -0.5417607 0.06837378
Moved 1504.955 115.7664 412.9221 -0.5653554 0.06410006
