they might find your comment offensive
they might find your comment offensive
FixStart
Radial

0.6 0.6
432 388.8
Began 3290.887 348 412 -0.0277778 0.06172835
Stationary 3290.918 348 412 -0.0277778 0.06172835
Moved 3290.949 348 414.9797 -0.0277778 0.06939224
Moved 3290.98 348 435.0515 -0.0277778 0.1210172
Moved 3291.01 348 457.6039 -0.0277778 0.1790224
Moved 3291.041 348 492.1743 -0.0277778 0.2679379
Moved 3291.072 348 526.1838 -0.0277778 0.3554111
Moved 3291.103 348 548.5 -0.0277778 0.4128085
Moved 3291.133 348 563.0375 -0.0277778 0.4501993
Moved 3291.164 348 572.3208 -0.0277778 0.474076
Moved 3291.195 341.3721 576.9468 -0.04312019 0.4859743
Moved 3291.226 339.6562 580.3438 -0.04709214 0.4947114
Moved 3291.256 339 582.5 -0.04861111 0.5002571
Moved 3291.287 339 568.5987 -0.04861111 0.4645028
Moved 3291.318 360.4299 539.0541 0.000995199 0.3885136
Moved 3291.348 376.2835 502.8063 0.03769328 0.2952835
Moved 3291.379 388.1484 468.0178 0.0651583 0.2058069
Moved 3291.41 397.2198 444.1537 0.08615702 0.1444281
Moved 3291.44 402.9138 423.3016 0.09933759 0.09079619
Moved 3291.471 407.6354 406.0938 0.1102671 0.04653734
Moved 3291.502 409 396.9507 0.113426 0.02302142
Moved 3291.533 409 390.4456 0.113426 0.006290169
Moved 3291.563 409 387.9391 0.113426 -0.0001567479
Moved 3291.594 378.8916 397.1895 0.04373064 0.02363534
Moved 3291.625 343.65 423.5538 -0.03784717 0.091445
Moved 3291.656 312.5 453 -0.1099537 0.167181
Moved 3291.686 285.8564 480.1436 -0.1716286 0.2369946
Moved 3291.717 268.4807 501.5193 -0.2118504 0.2919736
Moved 3291.748 257.229 516.7137 -0.2378958 0.3310536
Moved 3291.779 252.658 523.6841 -0.2484769 0.3489816
Moved 3291.809 251 532.322 -0.2523148 0.3711985
Moved 3291.84 251 538.6106 -0.2523148 0.3873729
Moved 3291.871 258.5449 547.2335 -0.2348498 0.4095511
Moved 3291.901 279.1261 559.887 -0.1872082 0.442096
Moved 3291.932 318.6956 571.5452 -0.095612 0.4720811
