they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Moved 2410.318 417.3181 416.1909 0.1326806 0.07250734
Moved 2410.348 432.5459 425.7729 0.1679304 0.09715252
Moved 2410.379 449.0396 438.2317 0.2061102 0.1291967
Moved 2410.41 457.7588 445.7588 0.2262936 0.1485565
Moved 2410.441 461.2148 450.2148 0.2342935 0.1600175
Moved 2410.471 461 454.0862 0.2337964 0.1699748
Moved 2410.502 461 456.954 0.2337964 0.1773508
Moved 2410.533 447.7138 461.9525 0.2030411 0.190207
Moved 2410.564 435.2377 471.0574 0.1741614 0.2136248
Moved 2410.594 418.4818 479.8676 0.1353746 0.2362848
Moved 2410.625 401.1003 492.0569 0.09513964 0.2676359
Moved 2410.656 379.3829 507.9575 0.04486779 0.3085327
Moved 2410.687 360.8046 525.1954 0.001862447 0.3528687
Moved 2410.717 346.9975 543.8035 -0.03009846 0.4007291
Moved 2410.748 340.1384 554.7233 -0.04597599 0.4288149
Moved 2410.779 338 561.6128 -0.05092591 0.4465348
Moved 2410.81 337 567.3516 -0.05324075 0.461295
Moved 2410.84 337 570.5 -0.05324075 0.4693929
Moved 2410.871 337 574.1082 -0.05324075 0.4786732
Moved 2410.902 356.413 579.8533 -0.008303325 0.4934497
Ended 2410.933 357 580 -0.006944438 0.4938271
Accept 2410.994 0 they
Candidates 2410.994 13 might night mighty mount minor mini mostly bought modify must mother money most
Began 2411.855 387 385 0.06250004 -0.007716127
Stationary 2411.885 387 385 0.06250004 -0.007716127
Moved 2411.916 374.1974 385 0.03286451 -0.007716127
Moved 2411.947 352.3142 385 -0.01779109 -0.007716127
Moved 2411.978 345.1225 385 -0.03443867 -0.007716127
Moved 2412.009 332.6696 385 -0.06326472 -0.007716127
Moved 2412.039 325.3698 385 -0.08016264 -0.007716127
Moved 2412.07 323.1243 385 -0.0853605 -0.007716127
Stationary 2412.101 323 385 -0.08564815 -0.007716127
Stationary 2412.131 323 385 -0.08564815 -0.007716127
Moved 2412.162 332.9528 397.6873 -0.06260921 0.02491582
Moved 2412.193 338.9837 407.9728 -0.04864877 0.05137039
Moved 2412.224 347.6006 419.4674 -0.02870242 0.08093457
Moved 2412.254 357.2104 432.9473 -0.006457269 0.1156051
Moved 2412.285 368 447 0.01851857 0.1517489
Moved 2412.316 381.787 455.3935 0.05043278 0.1733371
Moved 2412.347 399.0486 468.0278 0.09039034 0.2058327
