I listen to the tape everyday
I listen to the tape everyday
Basic
Radial

0.6 0.6
432 388.8
Began 799.6377 463 523 0.2384259 0.3472221
Stationary 799.6684 463 523 0.2384259 0.3472221
Stationary 799.6991 463 523 0.2384259 0.3472221
Stationary 799.7298 463 523 0.2384259 0.3472221
Stationary 799.7605 463 523 0.2384259 0.3472221
Stationary 799.7913 463 523 0.2384259 0.3472221
Stationary 799.822 463 523 0.2384259 0.3472221
Stationary 799.8527 463 523 0.2384259 0.3472221
Stationary 799.8834 463 523 0.2384259 0.3472221
Stationary 799.9141 463 523 0.2384259 0.3472221
Stationary 799.9448 463 523 0.2384259 0.3472221
Stationary 799.9755 463 523 0.2384259 0.3472221
Stationary 800.0062 463 523 0.2384259 0.3472221
Stationary 800.037 463 523 0.2384259 0.3472221
Stationary 800.0677 463 523 0.2384259 0.3472221
Stationary 800.0984 463 523 0.2384259 0.3472221
Ended 800.1291 463 523 0.2384259 0.3472221
Candidates 800.1906 6 I u o y p t
Began 800.8048 472 449 0.2592593 0.156893
Moved 800.8354 490.9567 449 0.3031405 0.156893
Moved 800.8662 526.0454 458.9394 0.3843643 0.1824572
Moved 800.8969 558.4894 463.0816 0.4594663 0.193111
Moved 800.9276 580.4162 465 0.5102227 0.1980452
Moved 800.9583 595.9342 466 0.5461439 0.2006171
Moved 800.9891 607.5 467 0.5729167 0.2031892
Moved 801.0198 613.3979 467 0.5865693 0.2031892
Moved 801.0505 617.0774 467 0.5950865 0.2031892
Moved 801.0812 619.9487 467 0.601733 0.2031892
Moved 801.1119 621.4577 467 0.6052262 0.2031892
Ended 801.1426 622 467 0.6064814 0.2031892
Accept 801.204 0 I
Began 802.2176 606 431 0.5694444 0.1105966
Stationary 802.2484 606 431 0.5694444 0.1105966
Stationary 802.2791 606 431 0.5694444 0.1105966
Stationary 802.3098 606 431 0.5694444 0.1105966
Stationary 802.3405 606 431 0.5694444 0.1105966
Stationary 802.3712 606 431 0.5694444 0.1105966
Stationary 802.4019 606 431 0.5694444 0.1105966
Stationary 802.4326 606 431 0.5694444 0.1105966
Stationary 802.4633 606 431 0.5694444 0.1105966
Stationary 802.4941 606 431 0.5694444 0.1105966
Stationary 802.5248 606 431 0.5694444 0.1105966
Moved 802.5555 593.9729 437.0814 0.541604 0.126238
Moved 802.5862 577.2191 453.7809 0.5028219 0.1691895
Moved 802.6169 561.8631 465.7095 0.4672756 0.1998701
Moved 802.6476 549.103 477.897 0.4377383 0.2312166
Moved 802.6783 535.6669 492.1663 0.4066364 0.2679174
Moved 802.7091 525.8911 503.1089 0.3840071 0.296062
Moved 802.7397 519.8292 511.1708 0.3699749 0.3167974
Moved 802.7704 514.7126 516.1916 0.3581311 0.3297108
Moved 802.8012 509.084 522.874 0.3451019 0.346898
Moved 802.8319 503.3329 528.6671 0.3317891 0.361798
Moved 802.8626 499.5 533 0.3229167 0.3729423
Moved 802.8934 494.4869 536.2565 0.3113123 0.3813182
Moved 802.9241 490.8729 540.1271 0.3029464 0.3912734
Moved 802.9548 489 541.9981 0.2986111 0.3960856
Moved 802.9855 486.4806 543.5194 0.2927792 0.3999984
Moved 803.0162 484.6016 545.3984 0.2884297 0.4048311
Moved 803.0469 482.732 547 0.2841018 0.4089505
Moved 803.0776 482 548.1443 0.2824074 0.4118937
Moved 803.1083 480.688 548 0.2793704 0.4115225
Moved 803.139 480 549 0.2777778 0.4140946
Moved 803.1697 478.9728 549 0.2754001 0.4140946
Moved 803.2005 477.5 549 0.2719907 0.4140946
Stationary 803.2312 477.5 549 0.2719907 0.4140946
Moved 803.2619 476.2557 549 0.2691104 0.4140946
Moved 803.2926 474.7506 549 0.2656263 0.4140946
Moved 803.3234 471.8853 539.8853 0.2589939 0.3906515
Moved 803.354 457.9696 523.5367 0.2267815 0.3486025
Moved 803.3847 446.8889 513.762 0.2011318 0.3234618
Moved 803.4155 425.5 498 0.1516204 0.2829217
Moved 803.4462 383.7317 474.639 0.05493442 0.2228368
Moved 803.4769 368.1251 467.1478 0.01880805 0.2035692
Moved 803.5076 344.6784 457.8622 -0.03546665 0.1796865
Moved 803.5383 328.5003 451.3126 -0.07291595 0.1628411
Moved 803.569 310.5074 443.2537 -0.1145661 0.1421134
Moved 803.5997 286.97 432.485 -0.1690508 0.114416
Moved 803.6304 281.2577 429.6288 -0.1822739 0.1070699
Moved 803.6612 270.9585 424.4792 -0.2061145 0.09382518
Moved 803.6918 261.7248 419.3624 -0.2274889 0.08066448
Moved 803.7226 253.4664 415.4888 -0.2466056 0.07070152
Moved 803.7533 246.9217 411.9608 -0.2617554 0.06162757
Moved 803.7839 239.155 409.0775 -0.2797338 0.05421171
Moved 803.8147 230.6162 406.2054 -0.2994995 0.04682447
Moved 803.8455 223.6605 405 -0.3156007 0.04372424
Moved 803.8761 219.8327 404 -0.3244613 0.04115226
Moved 803.9069 214.9632 404 -0.3357333 0.04115226
Moved 803.9376 212.5 403 -0.3414352 0.03858017
Moved 803.9683 211.8248 403 -0.3429981 0.03858017
Stationary 803.999 212 403 -0.3425926 0.03858017
Moved 804.0297 227.7756 425.7081 -0.3060751 0.09698573
Moved 804.0604 250.7209 453.7209 -0.2529607 0.1690352
Moved 804.0912 277.3642 477.1693 -0.1912867 0.2293447
Moved 804.1219 306.7565 499.8539 -0.1232488 0.28769
Moved 804.1525 328.3797 513.3598 -0.0731952 0.3224274
Moved 804.1832 344.107 524.6642 -0.03678938 0.3515025
Moved 804.2139 351.3831 529.5887 -0.01994664 0.3641684
Moved 804.2448 358.323 534.323 -0.003881902 0.3763451
Moved 804.2754 368.5 538.5 0.01967589 0.3870883
Moved 804.3062 376.1121 542.056 0.03729651 0.3962346
Moved 804.3369 380.9491 544 0.04849325 0.4012345
Moved 804.3676 384 545.8218 0.0555556 0.4059202
Moved 804.3983 386 546 0.06018519 0.4063785
Moved 804.429 387.0845 546 0.06269554 0.4063785
Stationary 804.4598 387 546 0.06250004 0.4063785
Moved 804.4904 379.4473 546 0.0450169 0.4063785
Moved 804.5212 359 534 -0.002314796 0.3755144
Moved 804.5519 334.5756 529.239 -0.05885288 0.363269
Moved 804.5826 304.4115 520.2234 -0.1286771 0.3400808
Moved 804.6133 287.1537 515.7582 -0.1686256 0.3285962
Moved 804.644 274.7958 512.7183 -0.1972319 0.3207775
Moved 804.6747 262.9473 509.4868 -0.224659 0.312466
Moved 804.7054 253.8385 505.2256 -0.2457443 0.3015062
Moved 804.7361 243.9316 502.4658 -0.2686768 0.2944079
Moved 804.7668 238.5182 502.1727 -0.2812078 0.2936541
Moved 804.7975 232.5932 501 -0.2949232 0.2906378
Moved 804.8283 227.4305 500 -0.3068738 0.2880658
Moved 804.8589 224.9192 498.9193 -0.312687 0.2852861
Moved 804.8897 224 499 -0.3148148 0.2854938
Moved 804.9204 222.7506 499 -0.317707 0.2854938
Stationary 804.9511 223 499 -0.3171296 0.2854938
Moved 804.9819 232.8768 496.8052 -0.2942666 0.2798487
Moved 805.0126 270.3443 468.8625 -0.2075363 0.2079796
Moved 805.0433 318.6266 428.3527 -0.09577169 0.1037876
Moved 805.074 356.7448 389.6098 -0.00753517 0.004140398
Moved 805.1047 386.718 352.4558 0.06184717 -0.09142023
Moved 805.1354 406.2087 324.687 0.1069645 -0.1628421
Moved 805.1661 414.4744 304.8931 0.1260981 -0.2137523
Moved 805.1968 418.3616 294.2769 0.1350962 -0.2410575
Moved 805.2275 421.5518 285.8965 0.1424809 -0.2626119
Moved 805.2583 423 280.1479 0.1458333 -0.2773973
Moved 805.289 425 276.6976 0.150463 -0.2862718
Moved 805.3197 426.864 273.136 0.1547778 -0.295432
Moved 805.3504 428 270.2609 0.1574074 -0.3028269
Moved 805.3811 429 267.3887 0.1597223 -0.3102143
Moved 805.4119 429 265.8884 0.1597223 -0.3140732
Moved 805.4426 430 265 0.162037 -0.3163581
Moved 805.4733 430 263.5292 0.162037 -0.3201409
Moved 805.504 430.7727 263 0.1638258 -0.3215021
Moved 805.5347 431 262 0.1643519 -0.3240741
Ended 805.5654 431 262 0.1643519 -0.3240741
Candidates 805.6575 13 listen pattern often hidden porn open patch upstream parish own learn pen penn
Began 806.2719 347 494 -0.0300926 0.2726337
Stationary 806.3026 347 494 -0.0300926 0.2726337
Moved 806.3333 372.4296 494 0.02877226 0.2726337
Moved 806.364 404.9095 494 0.1039573 0.2726337
Moved 806.3947 430.6632 494 0.1635721 0.2726337
Moved 806.4254 454.5 494 0.21875 0.2726337
