travel at the speed of light
travel at the speed of light
Basic
List

0.6 0.6
432 388.8
Began 769.1974 397 515 0.0856481 0.326646
Stationary 769.2281 397 515 0.0856481 0.326646
Moved 769.2589 378.1988 515 0.04212687 0.326646
Moved 769.2896 356.7792 515 -0.007455548 0.326646
Moved 769.3204 327.1575 520.7415 -0.07602429 0.3414131
Moved 769.3511 296 525.5 -0.1481481 0.3536522
Moved 769.3819 267.1415 525 -0.2149503 0.3523662
Moved 769.4126 239.0215 504.1975 -0.2800427 0.2988618
Moved 769.4434 208.499 476.1489 -0.3506968 0.2267203
Moved 769.4742 187.4153 446.1229 -0.3995016 0.149493
Moved 769.5048 169.2542 411.9263 -0.4415413 0.06153887
Moved 769.5356 160.5271 384.1084 -0.4617428 -0.01000934
Moved 769.5663 160 361.4391 -0.462963 -0.06831518
Moved 769.5971 195.6835 340.4564 -0.3803622 -0.1222829
Moved 769.6278 259.1425 323.7144 -0.2334665 -0.1653436
Moved 769.6586 294.1275 306.6624 -0.1524826 -0.2092018
Moved 769.6893 327.1872 278.2888 -0.07595558 -0.2821791
Moved 769.7201 344.0021 250.1963 -0.03703222 -0.3544334
Moved 769.7509 352.8416 233.3168 -0.01657034 -0.3978479
Moved 769.7816 355.3673 228.6327 -0.01072377 -0.4098954
Moved 769.8124 356 227 -0.009259283 -0.4140947
Moved 769.8431 341.7787 268.8615 -0.04217883 -0.3064263
Moved 769.8738 313.5 342.5 -0.1076389 -0.1170267
Moved 769.9046 291.7221 391.1948 -0.1580508 0.00821714
Moved 769.9353 276.4573 431.6282 -0.1933859 0.1122124
Moved 769.9661 270.6465 462.8879 -0.2068367 0.1926128
Moved 769.9968 271 481.9685 -0.2060186 0.2416884
Moved 770.0275 271 493.7484 -0.2060186 0.2719865
Moved 770.0583 285.7336 501.2935 -0.171913 0.2913925
Moved 770.0891 316.9985 503 -0.09954055 0.2957818
Moved 770.1198 358.985 489.8082 -0.002349416 0.2618524
Moved 770.1506 411.401 469.2837 0.1189839 0.2090629
Moved 770.1813 450.1472 448.5882 0.2086741 0.1558337
Moved 770.212 483.8264 429.1846 0.2866352 0.1059273
Moved 770.2428 505.4823 413.3009 0.3367646 0.06507422
Moved 770.2735 523.9576 399.5353 0.3795316 0.02966896
Moved 770.3043 535.8218 393.5891 0.406995 0.01437509
Moved 770.335 541.8548 388.1452 0.4209602 0.0003734243
Ended 770.3658 542 388 0.4212962 -3.924585E-08
Candidates 770.4272 13 travel isabel level label panel excel peaceful rebel real cancel track channel talk
Began 770.827 194 384 -0.3842593 -0.01028807
Stationary 770.8578 194 384 -0.3842593 -0.01028807
Stationary 770.8885 194 384 -0.3842593 -0.01028807
Moved 770.9193 238.3412 429.956 -0.2816177 0.1079114
Moved 770.95 278.0935 466.8873 -0.1895985 0.2028993
Moved 770.9807 305.3293 488.4783 -0.1265526 0.2584317
Moved 771.0115 328.5662 503.6093 -0.07276351 0.2973488
Moved 771.0422 344.7385 514.3907 -0.03532762 0.325079
Moved 771.073 353.8586 519.4293 -0.01421611 0.3380383
Moved 771.1038 359.839 522.4195 -0.0003726284 0.3457291
Moved 771.1345 364.137 525.137 0.009576282 0.3527184
Ended 771.1652 368.4803 525 0.01963029 0.3523662
Accept 771.2572 0 travel
Candidates 771.2572 13 at say art st att sat date set ay are safety day asset
Began 771.4727 343 512 -0.03935183 0.31893
Stationary 771.5035 343 512 -0.03935183 0.31893
Moved 771.5342 380.2767 469.1559 0.04693677 0.2087344
Moved 771.5649 403.0486 426.9027 0.09964963 0.1000583
Moved 771.5957 415.2538 401.4925 0.1279022 0.03470287
Moved 771.6265 418.9716 388.1133 0.1365084 0.0002914397
Moved 771.6572 420 382.3102 0.1388889 -0.01463423
Moved 771.688 407.9673 382 0.1110353 -0.01543218
Moved 771.7188 373.9259 414.074 0.03223598 0.06706273
Moved 771.7495 336.445 453.1105 -0.05452543 0.1674651
Moved 771.7802 309.223 489.1656 -0.1175395 0.2601994
Moved 771.811 287.003 509.2474 -0.1689745 0.3118502
Moved 771.8417 268.3006 526.3138 -0.212267 0.3557452
Moved 771.8724 261.6548 535.3452 -0.227651 0.3789743
Ended 771.9032 261.6548 535.3452 -0.227651 0.3789743
Accept 771.9954 0 at
Candidates 771.9954 13 the threw there higher other where hr they offer that her trigger tiger
Began 772.1492 206 372 -0.3564815 -0.04115226
Moved 772.1799 232.2328 381.9935 -0.2957573 -0.0154489
Moved 772.2106 331.8881 438.3716 -0.06507377 0.1295565
Moved 772.2414 400.5 479.5 0.09374996 0.2353394
Moved 772.2722 435.7179 498.3915 0.1752728 0.2839288
Moved 772.3029 465.2198 510.3325 0.2435644 0.314641
Moved 772.3337 478.9858 514.4965 0.2754301 0.3253509
Moved 772.3644 482.926 516 0.2845509 0.329218
