that is a very nasty cut
that is a very nasty cut
FixStart
Radial

0.6 0.6
432 388.8
Began 1150.645 407 492 0.1087963 0.2674896
Stationary 1150.675 407 492 0.1087963 0.2674896
Moved 1150.706 407 523.2371 0.1087963 0.347832
Moved 1150.737 396.2099 554.7408 0.08381913 0.42886
Moved 1150.768 389.7649 584.9404 0.06890019 0.5065338
Moved 1150.798 385.773 604.5891 0.05965968 0.5570707
Moved 1150.829 382.2212 619.6729 0.05143791 0.5958663
Moved 1150.86 379.659 636.0458 0.04550705 0.6379779
Moved 1150.891 377.3084 644.4581 0.04006564 0.6596145
Moved 1150.921 375.8481 653.4558 0.03668527 0.6827566
Moved 1150.952 375 658.4142 0.03472219 0.6955097
Moved 1150.983 375 661.2627 0.03472219 0.702836
Moved 1151.013 373.5 661 0.03125002 0.7021603
Moved 1151.044 374 662 0.03240744 0.7047324
Stationary 1151.075 374 662 0.03240744 0.7047324
Moved 1151.106 374 652.3383 0.03240744 0.6798824
Moved 1151.136 387.5 633 0.06365737 0.6301439
Moved 1151.167 400.812 601.376 0.09447227 0.5488064
Moved 1151.198 420.6173 566.799 0.1403178 0.4598737
Moved 1151.229 438.4844 536.1696 0.181677 0.3810944
Moved 1151.259 450.5 514.5 0.2094908 0.32536
Moved 1151.29 462.3218 497.8138 0.2368561 0.2824428
Moved 1151.321 471.2527 482.9122 0.2575293 0.2441156
Moved 1151.351 476.9716 472.1134 0.2707677 0.216341
Moved 1151.382 480.5 465.5 0.2789353 0.1993312
Moved 1151.413 481 462.3835 0.2800926 0.1913156
Moved 1151.444 482 459.63 0.2824074 0.1842335
Moved 1151.474 482 458.5 0.2824074 0.181327
Moved 1151.505 482 456.5268 0.2824074 0.176252
Moved 1151.536 476.1589 457 0.2688863 0.1774691
Moved 1151.567 444.3438 468.5313 0.1952403 0.2071277
Moved 1151.597 393.0543 480.1962 0.07651459 0.2371301
Moved 1151.628 354.0898 488.182 -0.01368091 0.2576696
Moved 1151.659 318.985 489 -0.094942 0.2597736
Moved 1151.689 307.3727 490.1808 -0.1218224 0.2628105
Moved 1151.72 290.3645 492 -0.1611933 0.2674896
Moved 1151.751 278.5935 494.2813 -0.188441 0.2733572
Moved 1151.782 271.3467 497.1022 -0.205216 0.2806124
Moved 1151.812 263.7238 501.1841 -0.2228616 0.2911114
Moved 1151.843 259.3551 505.6449 -0.2329744 0.3025846
Moved 1151.874 254.6084 509.1958 -0.2439621 0.3117175
Moved 1151.905 251.1179 512.441 -0.2520418 0.3200643
Moved 1151.935 250.0093 514.9907 -0.2546081 0.3266219
Moved 1151.966 249.455 517 -0.2558912 0.33179
Moved 1151.997 249 518.5 -0.2569445 0.335648
Moved 1152.027 260.0607 524.5303 -0.2313409 0.3511582
