win first prize in the contest
win first prize in the contest
Basic
Radial

0.6 0.6
432 388.8
Began 1721.935 180 516 -0.4166667 0.329218
Stationary 1721.965 180 516 -0.4166667 0.329218
Stationary 1721.996 180 516 -0.4166667 0.329218
Stationary 1722.027 180 516 -0.4166667 0.329218
Stationary 1722.057 180 516 -0.4166667 0.329218
Moved 1722.088 191.2488 516 -0.3906279 0.329218
Moved 1722.119 193.1191 516 -0.3862984 0.329218
Moved 1722.15 195.9779 516 -0.3796808 0.329218
Moved 1722.181 198.5136 516 -0.3738111 0.329218
Moved 1722.211 201.3869 516 -0.36716 0.329218
Moved 1722.242 207.5001 516 -0.3530091 0.329218
Moved 1722.273 221.7592 516 -0.3200018 0.329218
Moved 1722.303 248.676 516 -0.2576945 0.329218
Moved 1722.334 279.9806 516 -0.18523 0.329218
Moved 1722.365 315.362 507.6365 -0.1033288 0.3077069
Moved 1722.396 349.7617 506.0826 -0.0236997 0.3037103
Moved 1722.426 384.7109 505 0.05720119 0.3009258
Moved 1722.457 412.6302 505 0.1218291 0.3009258
Moved 1722.488 441.5 505 0.1886574 0.3009258
Moved 1722.519 460.311 502.9482 0.2322014 0.2956485
Moved 1722.549 472.7074 499.0731 0.2608968 0.2856818
Moved 1722.58 478.7986 496.2014 0.2749968 0.2782957
Moved 1722.611 482.2793 493.7207 0.2830539 0.2719153
Moved 1722.641 483.2512 488.4976 0.2853037 0.2584814
Moved 1722.672 484 481.6801 0.287037 0.2409466
Moved 1722.703 485 461.2005 0.2893518 0.1882728
Moved 1722.734 474.9015 420.6058 0.2659756 0.0838627
Moved 1722.764 461.0935 377.6617 0.2340127 -0.02659024
Moved 1722.795 448.9675 339.6445 0.2059434 -0.1243713
Moved 1722.826 443.3523 319.5852 0.1929451 -0.1759641
Moved 1722.857 438.3716 301.2292 0.1814157 -0.2231759
Moved 1722.887 435.505 286.5252 0.1747802 -0.2609949
Moved 1722.918 431.5 266 0.1655093 -0.3137861
Moved 1722.949 430.0929 259.4647 0.1622522 -0.3305951
Moved 1722.98 427.2186 247.8743 0.1555985 -0.3604058
Moved 1723.01 425.3432 240.0295 0.1512573 -0.3805825
Moved 1723.041 423.5 234 0.1469907 -0.3960905
Moved 1723.072 421.9423 228.8845 0.1433848 -0.4092477
