where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Began 2272.083 240 514 -0.2777777 0.324074
Stationary 2272.114 240 514 -0.2777777 0.324074
Stationary 2272.145 240 514 -0.2777777 0.324074
Stationary 2272.175 240 514 -0.2777777 0.324074
Moved 2272.206 259.4951 497.8039 -0.2326502 0.2824173
Moved 2272.237 288.5687 474.6882 -0.1653502 0.2229634
Moved 2272.268 320.4765 445.5234 -0.09148951 0.1479512
Moved 2272.298 346.0135 418.9846 -0.0323762 0.07969283
Moved 2272.329 363.2667 399.325 0.007561744 0.02912788
Moved 2272.36 383.6512 378.3488 0.05474816 -0.02482308
Moved 2272.39 402.96 355.72 0.09944449 -0.08302476
Moved 2272.421 417.918 340.2984 0.1340694 -0.1226894
Moved 2272.452 434.0126 324.9874 0.1713254 -0.1620694
Moved 2272.483 447.9153 311.0847 0.2035076 -0.1978275
Moved 2272.513 457.0447 301.9553 0.2246405 -0.2213083
Moved 2272.544 460.7658 297.2343 0.2332541 -0.233451
Moved 2272.575 464.7534 293.2466 0.2424847 -0.2437074
Moved 2272.605 467.6224 289.3776 0.2491259 -0.2536584
Moved 2272.636 469.4933 288 0.2534568 -0.2572017
Stationary 2272.667 469 288 0.2523148 -0.2572017
Moved 2272.698 433.7279 317.272 0.1706665 -0.1819136
Moved 2272.728 403.0975 348.6403 0.09976277 -0.1012337
Moved 2272.759 374.5191 379.6876 0.03360907 -0.02137965
Moved 2272.79 342.5843 412.5573 -0.0403141 0.06316161
Moved 2272.821 320.8564 440.1795 -0.09061024 0.1342065
Moved 2272.851 306.4516 462.2097 -0.1239547 0.1908685
Moved 2272.882 292.5624 486.4689 -0.1561056 0.2532637
Moved 2272.913 283.1697 504.3838 -0.1778478 0.2993409
Moved 2272.943 275.5437 517.6083 -0.1955006 0.3333547
Moved 2272.974 267.6495 529.134 -0.2137743 0.362999
Moved 2273.005 260.2563 540.7437 -0.2308882 0.3928591
Moved 2273.036 255.5452 547.9096 -0.2417935 0.4112901
Moved 2273.066 250.354 552.6461 -0.2538103 0.4234723
Moved 2273.097 249.1398 554.8602 -0.2566209 0.4291672
Moved 2273.128 248 556.733 -0.2592593 0.4339839
Moved 2273.158 248 558.6008 -0.2592593 0.4387881
Moved 2273.189 261.2352 560.4706 -0.2286222 0.4435971
Moved 2273.22 292.6738 561 -0.1558478 0.4449587
Moved 2273.251 330.1996 550.4501 -0.06898239 0.4178241
Moved 2273.281 361.3018 542.8094 0.003013511 0.3981724
Moved 2273.312 382.6724 536.3729 0.05248238 0.3816174
Moved 2273.343 396.5501 529.725 0.08460671 0.3645188
Moved 2273.374 399 525.9901 0.09027779 0.3549127
Moved 2273.404 399 523.2441 0.09027779 0.3478501
Moved 2273.435 372.8246 513.0095 0.02968659 0.3215263
Moved 2273.466 330.6452 501.9113 -0.06795084 0.2929817
Moved 2273.496 296.4442 494.5757 -0.1471199 0.2741143
Moved 2273.527 278.1251 489.4501 -0.1895252 0.2609312
Moved 2273.558 267 485.5 -0.2152778 0.2507715
Ended 2273.589 267 485.5 -0.2152778 0.2507715
Candidates 2273.773 13 they entire energy there the enter emerge entries where entered entity ensure remedy
Began 2274.971 340 425 -0.04629632 0.09516452
Stationary 2275.002 340 425 -0.04629632 0.09516452
Ended 2275.032 340 425 -0.04629632 0.09516452
NextCandidatePanel 2275.094
Began 2276.63 364 427 0.009259283 0.1003086
Stationary 2276.661 364 427 0.009259283 0.1003086
Moved 2276.691 349.0952 403.3713 -0.02524272 0.0395351
Moved 2276.722 330.2523 369.9221 -0.06886035 -0.04649676
Moved 2276.753 311.0408 329.3062 -0.1133314 -0.1509616
Moved 2276.784 299.7622 296.874 -0.1394394 -0.2343777
Moved 2276.814 293.5358 267.9113 -0.1538523 -0.3088702
Moved 2276.845 291.2661 252.3303 -0.1591063 -0.3489447
Moved 2276.876 290 240.528 -0.162037 -0.3793006
Ended 2276.906 290 239 -0.162037 -0.3832304
Accept 2276.999 8 where
Began 2278.105 342 304 -0.04166668 -0.2160494
Stationary 2278.135 342 304 -0.04166668 -0.2160494
Stationary 2278.166 342 304 -0.04166668 -0.2160494
Moved 2278.197 332.4596 311.6323 -0.06375099 -0.1964191
Moved 2278.228 320.5497 321.4504 -0.09132023 -0.1711668
Moved 2278.258 303.8278 336.8102 -0.1300282 -0.131661
Moved 2278.289 287.584 349.944 -0.1676295 -0.09788081
Moved 2278.32 269.3065 362.3963 -0.2099387 -0.06585313
Moved 2278.351 253.655 374.1036 -0.246169 -0.03574191
Moved 2278.381 233.5429 389.9632 -0.2927247 0.005049293
Moved 2278.412 215.7962 403.8365 -0.3338051 0.04073162
Moved 2278.443 201.2706 413.7835 -0.3674291 0.06631549
Moved 2278.473 183.6418 425.9739 -0.4082366 0.09766939
Moved 2278.504 166.6504 438.3398 -0.4475686 0.1294748
Moved 2278.535 153.8488 447.0756 -0.4772019 0.1519434
Moved 2278.566 144.7785 453.1477 -0.498198 0.1675608
Moved 2278.596 137.1223 458.8777 -0.5159205 0.1822985
Moved 2278.627 133.1953 461.8047 -0.5250109 0.1898269
Moved 2278.658 130.5 464.5 -0.53125 0.1967592
Moved 2278.688 127.8216 466 -0.53745 0.2006171
Moved 2278.719 128 468.0552 -0.5370371 0.2059032
Moved 2278.75 135.4772 468 -0.5197288 0.2057612
Moved 2278.781 162.3504 468 -0.4575223 0.2057612
