sharp cheese keeps the mind sharp
sharp cheese keeps the mind sharp
FixStart
List

0.6 0.6
432 388.8
Began 230.9234 328 407 -0.07407407 0.04886827
Stationary 230.9541 328 407 -0.07407407 0.04886827
Moved 230.9848 292.4431 407 -0.1563818 0.04886827
Moved 231.0155 251.5 407 -0.2511574 0.04886827
Moved 231.0463 216.4995 407 -0.332177 0.04886827
Moved 231.077 197.0608 407 -0.3771741 0.04886827
Moved 231.1076 187.2748 407 -0.3998269 0.04886827
Moved 231.1384 183.7327 407 -0.4080262 0.04886827
Moved 231.1691 195.2034 407 -0.3814737 0.04886827
Moved 231.1998 239.4294 416.1906 -0.2790987 0.07250652
Moved 231.2305 276.8017 417 -0.1925887 0.0745884
Moved 231.2612 311.8057 417 -0.1115608 0.0745884
Moved 231.2919 346.7517 419.396 -0.03066744 0.08075093
Moved 231.3227 362.0975 420 0.004855295 0.08230445
Moved 231.3533 363 420 0.006944438 0.08230445
Moved 231.3841 352.9647 420 -0.01628543 0.08230445
Moved 231.4148 301.0086 420 -0.1365541 0.08230445
Moved 231.4456 229.2966 420 -0.3025541 0.08230445
Moved 231.4762 201.1988 420 -0.3675953 0.08230445
Moved 231.507 179.998 420 -0.4166712 0.08230445
Moved 231.5376 170.5421 420 -0.43856 0.08230445
Moved 231.5684 166.5 420 -0.4479167 0.08230445
Moved 231.5991 175.0484 435.1982 -0.4281287 0.1213944
Moved 231.6298 215.2177 469.1711 -0.3351442 0.2087732
Moved 231.6605 266.9394 501.8552 -0.215418 0.2928375
Moved 231.6912 309.7627 523.2413 -0.11629 0.3478427
Moved 231.722 354.7921 530.2538 -0.01205534 0.3658791
Moved 231.7527 381.2718 531 0.04924029 0.3677982
Moved 231.7834 401.0698 531 0.09506901 0.3677982
Moved 231.8141 424.8779 518.892 0.1501804 0.3366564
Moved 231.8448 446.5273 513.5788 0.2002947 0.3229907
Moved 231.8755 466.0934 510.7009 0.2455866 0.3155887
Moved 231.9062 485.1054 511 0.2895958 0.3163579
Moved 231.9369 498.0842 511 0.3196394 0.3163579
Moved 231.9676 508.0121 511 0.3426207 0.3163579
Moved 231.9984 513.3444 511 0.3549639 0.3163579
Moved 232.0291 516.0268 511 0.3611732 0.3163579
Ended 232.0598 519.5 511 0.3692129 0.3163579
Candidates 232.1212 13 sharp sheep shall shell so do step cheap stark detail email audio snap
Began 232.4898 390 476 0.06944448 0.2263374
Stationary 232.5205 390 476 0.06944448 0.2263374
Moved 232.5512 348.5085 421.9349 -0.02660061 0.08728113
Moved 232.5819 316.1153 378.1537 -0.1015849 -0.0253248
Moved 232.6127 297.3873 354.8647 -0.1449369 -0.08522449
Moved 232.6434 284.4302 340.0377 -0.1749301 -0.1233598
Moved 232.6741 278.4619 334.4619 -0.1887457 -0.137701
Moved 232.7048 277.5 333.5 -0.1909722 -0.140175
Moved 232.7355 284.152 341.8022 -0.1755741 -0.1188216
Moved 232.7662 326.3996 390.9282 -0.07777865 0.007531241
Moved 232.7969 358.9841 421.1873 -0.002351602 0.08535809
Moved 232.8277 373.7416 432.7933 0.03180931 0.115209
Moved 232.8583 382.6475 436.8237 0.05242477 0.1255754
Moved 232.8891 387.6979 440.6979 0.06411563 0.1355399
Moved 232.9198 390.5 443.5 0.0706019 0.1427468
Moved 232.9505 391 452.3422 0.07175922 0.1654892
Moved 232.9812 376.1934 473.7744 0.03748476 0.2206129
Moved 233.0119 351.4643 506.0476 -0.01975859 0.3036203
Moved 233.0426 333.7845 528.8486 -0.06068413 0.3622648
Moved 233.0734 310.6957 556.8804 -0.1141303 0.4343631
Moved 233.1041 297.1857 572.9772 -0.1454035 0.4757642
Moved 233.1348 284.8579 592.2842 -0.1739401 0.5254223
Moved 233.1655 281.4262 599.1475 -0.1818837 0.5430748
Moved 233.1962 280 602.4453 -0.1851852 0.5515566
Moved 233.2269 277.8408 602 -0.1901834 0.5504114
Moved 233.2577 274.2589 602 -0.1984747 0.5504114
Moved 233.2884 251.3174 548.1426 -0.2515802 0.4118893
Moved 233.3191 233.2715 492.6622 -0.2933529 0.2691929
Moved 233.3498 228.5663 470.8315 -0.3042447 0.2130439
Moved 233.3805 226.0057 461.0172 -0.3101719 0.1878014
Moved 233.4112 225 457.128 -0.3125 0.1777982
Moved 233.442 225 457 -0.3125 0.1774691
Stationary 233.4726 225 457 -0.3125 0.1774691
Moved 233.5034 241.5617 488.1234 -0.2741627 0.2575189
Moved 233.5341 264.1204 538.2559 -0.2219435 0.3864604
Moved 233.5648 280.368 569.8412 -0.1843334 0.4676986
Moved 233.5955 290.394 591.7174 -0.161125 0.5239645
Moved 233.6262 296.675 606.3499 -0.1465857 0.5615995
Moved 233.6569 300.2134 614.4268 -0.1383949 0.5823733
Moved 233.6876 302.0826 618.0826 -0.1340681 0.5917761
Ended 233.7184 302 619.1469 -0.1342593 0.5945135
Accept 233.7798 0 sharp
Candidates 233.7798 13 cheese best near chest bear chase chat chart average better beat case accurate
Began 234.1791 248 484 -0.2592593 0.2469135
Stationary 234.2098 248 484 -0.2592593 0.2469135
Moved 234.2405 282.0546 484 -0.1804292 0.2469135
Moved 234.2712 327.4487 476 -0.07535031 0.2263374
Moved 234.3019 375.5268 476 0.0359416 0.2263374
Moved 234.3326 381.4231 476 0.04959046 0.2263374
Moved 234.3633 385 476 0.05787035 0.2263374
Stationary 234.394 385 476 0.05787035 0.2263374
Moved 234.4248 335.584 508.0738 -0.05651847 0.3088317
Moved 234.4555 288.3118 528.5724 -0.1659449 0.3615544
Moved 234.4862 256.1533 540.5387 -0.2403858 0.392332
Moved 234.5169 230.7302 553.5436 -0.2992356 0.4257808
Moved 234.5476 212.1325 562.3206 -0.342286 0.4483552
Moved 234.5783 202.0684 568.2877 -0.3655823 0.4637029
Moved 234.609 198.8326 571.1674 -0.3730727 0.4711095
Moved 234.6397 198 575.087 -0.375 0.4811909
Moved 234.6705 219.6309 586.8524 -0.3249284 0.5114514
Moved 234.7012 275.9327 598.6771 -0.1946003 0.541865
Moved 234.7319 355.546 603 -0.01031021 0.5529835
Moved 234.7626 373.9851 603 0.03237297 0.5529835
Moved 234.7933 397.8232 603 0.08755375 0.5529835
Moved 234.8241 407.4556 604 0.109851 0.5555555
Moved 234.8547 410.4962 604 0.1168893 0.5555555
Moved 234.8855 411.5 604 0.119213 0.5555555
Moved 234.9162 376.7244 572.9805 0.03871382 0.4757727
Moved 234.9469 289.3271 526.062 -0.1635947 0.3550977
Moved 234.9776 243.2843 503.3137 -0.2701753 0.2965887
Moved 235.0083 215.6225 490.8112 -0.3342072 0.2644321
Moved 235.039 191.5409 474.4057 -0.3899516 0.2222368
Moved 235.0698 166.448 454.384 -0.4480369 0.1707407
Moved 235.1005 148.9451 440.7561 -0.488553 0.1356895
Moved 235.1312 136.9352 430.9352 -0.5163537 0.1104299
Moved 235.162 130.607 425.607 -0.5310023 0.09672572
Moved 235.1926 126.869 422.869 -0.5396551 0.08968345
Ended 235.2233 127 422 -0.5393518 0.08744851
Accept 235.2541 0 cheese
Candidates 235.2541 13 if keeps this of lyrics girls did is off his good brooks food
Began 235.8069 347 394 -0.0300926 0.01543206
Moved 235.8376 344.4501 398.007 -0.03599514 0.02573802
Moved 235.8684 326.5512 432.3804 -0.07742767 0.1141472
Moved 235.8991 313.5591 469.433 -0.1075022 0.2094471
Moved 235.9297 304.0333 511.8335 -0.1295526 0.3185017
Moved 235.9604 287.188 595.248 -0.1685463 0.5330451
Moved 235.9912 279.3439 622.6245 -0.186704 0.6034578
Moved 236.0219 276.2196 632.3412 -0.1939361 0.6284494
Moved 236.0526 272.2282 645.8588 -0.2031753 0.663217
Moved 236.0834 271 656.5776 -0.2060186 0.6907859
Moved 236.1141 271 662.5208 -0.2060186 0.706072
Moved 236.1448 271 665.0692 -0.2060186 0.7126262
Ended 236.1755 271 665 -0.2060186 0.7124484
Accept 236.2369 1 keeps
Began 236.4519 331 369 -0.06712963 -0.04886839
Moved 236.4827 331 388.9323 -0.06712963 0.002397883
Moved 236.5134 308.6635 439.8185 -0.1188345 0.1332781
Moved 236.5441 297.788 481.848 -0.1440093 0.2413786
Moved 236.5748 295.0145 494.4347 -0.1504294 0.2737517
Moved 236.6055 293 516.8348 -0.1550926 0.3313652
Moved 236.6362 293 522.6601 -0.1550926 0.3463479
Moved 236.6669 293 524 -0.1550926 0.3497942
Moved 236.6976 309.1747 517.2816 -0.1176512 0.3325143
Moved 236.7284 333.5248 468.4255 -0.0612851 0.2068556
Moved 236.7591 349.0823 418.7532 -0.02527252 0.07909775
Moved 236.7898 356.0793 395.7223 -0.009075602 0.01986178
Moved 236.8205 359 382.302 -0.002314796 -0.01465534
Moved 236.8512 359 376.2009 -0.002314796 -0.03034741
Moved 236.8819 337.9222 373 -0.05110607 -0.03858032
Moved 236.9126 298.3301 396.6699 -0.1427543 0.02229895
Moved 236.9434 263.3817 423.5153 -0.2236536 0.09134571
Moved 236.9741 237.5568 450.3637 -0.2834334 0.1604004
Moved 237.0048 219.9915 470.2119 -0.3240937 0.2114503
Moved 237.0355 208.6274 487.402 -0.3503995 0.2556636
Moved 237.0662 204.7828 496.6516 -0.359299 0.2794534
Ended 237.097 203.5 500.5 -0.3622685 0.2893518
Candidates 237.1584 13 the there huge where further use tiger ride rude guide trigger trust threw
Began 237.4655 258 520 -0.2361111 0.3395061
Moved 237.4962 262.5602 511.5311 -0.2255552 0.317724
Moved 237.527 287.4091 467.3181 -0.1680344 0.2040074
Moved 237.5577 322.8142 400.3716 -0.08607819 0.03181987
Moved 237.5884 347.3767 348.4024 -0.02922058 -0.1018457
Moved 237.6191 359.3891 318.629 -0.00141412 -0.1784233
Moved 237.6498 363 309.3356 0.006944438 -0.2023263
Stationary 237.6805 363 309 0.006944438 -0.2031893
Moved 237.7112 352.8915 402.9042 -0.01645476 0.0383339
Moved 237.742 365.8584 496.2351 0.01356105 0.2783824
Moved 237.7727 372.6917 542.6877 0.02937893 0.3978594
Moved 237.8034 375.2848 569.4175 0.03538141 0.4666087
Moved 237.8341 375 584.0271 0.03472219 0.5041848
Moved 237.8648 375 590.2727 0.03472219 0.5202487
Moved 237.8955 375 592.0015 0.03472219 0.524695
Moved 237.9261 346 517 -0.03240739 0.33179
Moved 237.957 325.6288 418.5629 -0.07956306 0.07860827
Moved 237.9876 322.739 385.8683 -0.08625219 -0.005482685
Moved 238.0183 323 370.719 -0.08564815 -0.04444711
Moved 238.049 322.322 361.644 -0.08721759 -0.06778819
Moved 238.0798 321.4465 359 -0.0892443 -0.07458848
Moved 238.1104 315.7112 359 -0.1025204 -0.07458848
Moved 238.1412 292.5459 398.0294 -0.1561437 0.02579575
Moved 238.172 268.477 434.9691 -0.2118587 0.1208053
Moved 238.2027 247.2108 461.4733 -0.261086 0.1889745
Moved 238.2334 226.5 480.5 -0.3090278 0.2379114
Moved 238.2641 204.802 496.7986 -0.3592547 0.2798318
