I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 387.854 434.515 585.2125 0.1724885 0.5072337
Moved 387.8847 441.8846 570.8591 0.1895475 0.4703164
Moved 387.9155 453.0197 552.1646 0.2153234 0.4222338
Moved 387.9462 473.4958 522.2916 0.2627219 0.3454002
Moved 387.9769 492.6416 494.5375 0.3070408 0.2740162
Moved 388.0076 508.062 475.3256 0.3427361 0.2246028
Moved 388.0384 519.4127 463.9404 0.3690109 0.19532
Moved 388.0691 526.4307 455.5693 0.3852562 0.1737894
Moved 388.0998 533.1722 449.9139 0.4008615 0.1592434
Moved 388.1305 538.1788 445.8212 0.412451 0.1487169
Moved 388.1612 542.4602 442.5398 0.4223616 0.1402771
Moved 388.1919 547.6628 442 0.4344047 0.1388888
Moved 388.2227 551.4119 442 0.4430831 0.1388888
Moved 388.2534 553.7607 442 0.4485203 0.1388888
Moved 388.2841 556.5 442 0.4548612 0.1388888
Moved 388.3148 557.1674 442 0.4564059 0.1388888
Stationary 388.3456 557 442 0.4560185 0.1388888
Moved 388.3763 545.5515 453.6691 0.4295174 0.1689018
Moved 388.407 522.1566 470.3226 0.3753625 0.2117351
Moved 388.4377 493.8665 493.4918 0.3098762 0.2713266
Moved 388.4685 465.3678 519.4297 0.2439069 0.3380394
Moved 388.4992 435.1274 546.6346 0.173906 0.4080108
Moved 388.5299 409.362 566.6832 0.114264 0.4595761
Moved 388.5606 389.5 579.5 0.06828706 0.4925411
Moved 388.5913 364.7049 591.8306 0.01089106 0.5242555
Moved 388.622 344.0497 602.2189 -0.03692205 0.5509745
Moved 388.6528 328.335 607.2217 -0.07329861 0.5638417
Moved 388.6835 314.2993 614.8503 -0.1057888 0.5834627
Moved 388.7143 298.5352 621.9859 -0.1422796 0.6018155
Moved 388.745 284.1971 632.0817 -0.1754697 0.6277821
Moved 388.7757 275.3022 640.6978 -0.1960597 0.6499428
Moved 388.8064 269.429 648.3566 -0.2096552 0.6696412
Moved 388.8371 264.6977 657.9534 -0.2206072 0.6943245
Moved 388.8679 261.477 668.5689 -0.2280625 0.7216277
Moved 388.8986 260 677.0966 -0.2314815 0.7435613
Moved 388.9293 260 687.7424 -0.2314815 0.7709422
Moved 388.96 260 697.1274 -0.2314815 0.7950808
Moved 388.9908 269.9576 707.3051 -0.2084315 0.8212578
Moved 389.0215 277.6502 714.6503 -0.1906244 0.8401498
Moved 389.0522 284.1731 719.1731 -0.1755253 0.8517826
Moved 389.0829 291.8596 724.8596 -0.1577324 0.8664083
Moved 389.1136 298.5 729 -0.1423611 0.8770576
Moved 389.1443 307.102 733.3673 -0.1224491 0.8882903
Moved 389.175 313.4754 738.4755 -0.1076958 0.9014286
Moved 389.2058 318.213 741.1065 -0.09672905 0.9081955
Moved 389.2365 321.2237 743.6118 -0.08976003 0.9146394
Moved 389.2672 324.4797 745.4797 -0.08222282 0.9194437
Moved 389.298 327.3492 746 -0.07558048 0.9207817
Moved 389.3287 329.2265 747 -0.0712349 0.9233537
Moved 389.3594 331.7737 747 -0.06533861 0.9233537
Moved 389.3901 334.5 747 -0.05902777 0.9233537
Moved 389.4209 336.5183 747 -0.05435571 0.9233537
Moved 389.4516 339.0278 747 -0.04854674 0.9233537
Moved 389.4823 343.812 747 -0.03747215 0.9233537
Moved 389.5131 348.5322 741.6372 -0.02654577 0.9095605
Moved 389.5437 353.2825 738.3587 -0.01554971 0.9011281
Ended 389.5745 358.4573 737 -0.003571063 0.8976335
Candidates 389.6666 13 be mar meet me need matt mary mart marry met made ne may
Began 390.6191 347 551 -0.0300926 0.4192385
Moved 390.6498 347 565.7375 -0.0300926 0.4571436
Moved 390.6805 322.9736 592.3197 -0.08570934 0.5255136
Moved 390.7112 302.6815 616.8381 -0.1326817 0.5885752
Moved 390.7419 279.6488 645.4683 -0.1859981 0.6622126
Moved 390.7726 262.868 663.5584 -0.2248426 0.7087407
Moved 390.8034 250.7961 675.2039 -0.2527869 0.7386932
Moved 390.8341 243.5827 682.4174 -0.2694845 0.7572463
