what goes up must come down
what goes up must come down
Basic
List

0.6 0.6
432 388.8
Began 3483.065 289 443 -0.1643519 0.1414608
Stationary 3483.096 289 443 -0.1643519 0.1414608
Stationary 3483.127 289 443 -0.1643519 0.1414608
Stationary 3483.157 289 443 -0.1643519 0.1414608
Stationary 3483.188 289 443 -0.1643519 0.1414608
Stationary 3483.219 289 443 -0.1643519 0.1414608
Stationary 3483.25 289 443 -0.1643519 0.1414608
Moved 3483.281 279.6623 443 -0.185967 0.1414608
Moved 3483.311 278.9845 443 -0.187536 0.1414608
Stationary 3483.342 278.9845 443 -0.187536 0.1414608
Stationary 3483.373 279 443 -0.1875 0.1414608
Moved 3483.403 296.0386 436.2065 -0.1480588 0.123988
Moved 3483.434 321.1836 425.5266 -0.08985271 0.09651882
Moved 3483.465 347.8855 416.0458 -0.02804284 0.07213408
Moved 3483.496 370.4685 406.9421 0.02423267 0.04871925
Moved 3483.526 390.4833 399.1937 0.07056325 0.02879037
Moved 3483.557 409.0272 393.3891 0.1134889 0.01386073
Moved 3483.588 418.3364 390.3318 0.135038 0.005997355
Moved 3483.619 423.1497 389 0.14618 0.002572016
Moved 3483.649 423 383.7623 0.1458333 -0.01089944
Moved 3483.68 400.5832 374.2333 0.09394249 -0.03540832
Moved 3483.711 367.2033 366.5508 0.0166743 -0.05516766
Moved 3483.742 329.9506 357.7377 -0.06955872 -0.07783528
Moved 3483.772 298.0398 351.6436 -0.1434263 -0.09350929
Moved 3483.803 271.5332 347.9481 -0.2047842 -0.1030142
Moved 3483.834 252.5574 345.3115 -0.2487098 -0.1097956
Moved 3483.865 236.6884 343.5377 -0.2854435 -0.1143579
Moved 3483.896 223.3766 343 -0.3162578 -0.1157408
Moved 3483.926 215.6191 343 -0.3342151 -0.1157408
Moved 3483.957 210.5978 343 -0.3458385 -0.1157408
Moved 3483.988 208 347.5285 -0.3518518 -0.1040934
Moved 3484.018 208 364.0704 -0.3518518 -0.06154731
Moved 3484.049 234.387 391.9838 -0.2907707 0.01024642
Moved 3484.08 268.2824 424.4146 -0.2123092 0.09365878
Moved 3484.111 298.8343 453.105 -0.1415872 0.1674512
Moved 3484.141 322.8046 471.204 -0.08610041 0.2140021
Moved 3484.172 338.6158 482.4105 -0.04950052 0.2428253
Moved 3484.203 354.04 494.032 -0.01379634 0.2727159
Moved 3484.234 368.5141 503.6356 0.01970858 0.2974165
Moved 3484.264 381.9934 511.4967 0.05091071 0.3176355
Moved 3484.295 392.0544 516.5272 0.07420003 0.330574
Ended 3484.326 394 517 0.07870366 0.33179
