the punishment should fit the crime
the punishment should fit the crime
FixStart
List

0.6 0.6
432 388.8
Began 1253.487 494 535 0.3101851 0.3780863
Stationary 1253.518 494 535 0.3101851 0.3780863
Stationary 1253.549 494 535 0.3101851 0.3780863
Moved 1253.579 477.1917 546.8083 0.2712769 0.4084576
Moved 1253.61 463.8286 556.9371 0.240344 0.434509
Moved 1253.641 450.3963 567.3622 0.2092507 0.4613224
Moved 1253.672 441.0501 575.9499 0.1876159 0.4834101
Moved 1253.702 434.1288 582.2474 0.1715945 0.4996075
Moved 1253.733 428.2553 591.117 0.1579984 0.5224202
Moved 1253.764 422.7672 601.9314 0.1452944 0.5502349
Moved 1253.795 420 615.5764 0.1388889 0.5853301
Moved 1253.825 420 624.2285 0.1388889 0.6075835
Moved 1253.856 420 639.6056 0.1388889 0.6471336
Moved 1253.887 432.1807 654.3613 0.1670848 0.6850856
Moved 1253.917 436.2798 662.5597 0.1765737 0.7061719
Moved 1253.948 441.5804 669.5804 0.1888436 0.7242295
Moved 1253.979 445.6607 674.3214 0.1982886 0.7364232
Moved 1254.01 449.5288 678.5288 0.2072426 0.7472448
Moved 1254.04 453.1574 681.0787 0.2156422 0.753803
Moved 1254.071 455.9763 682.9763 0.2221674 0.7586836
Moved 1254.102 457.4052 683 0.2254749 0.7587448
Moved 1254.133 458.3729 684.3729 0.2277151 0.7622758
Moved 1254.163 458 684 0.2268519 0.7613168
Moved 1254.194 459.1195 684 0.2294432 0.7613168
Moved 1254.225 459.9993 671.0037 0.2314798 0.7278899
Moved 1254.255 464.8979 650.6736 0.2428193 0.6756006
Moved 1254.286 474.1339 623.2202 0.264199 0.6049902
Moved 1254.317 483.7108 600.3416 0.2863675 0.5461459
Moved 1254.348 489.2233 582.3301 0.299128 0.4998201
Moved 1254.378 496.3349 566.3279 0.31559 0.4586622
Moved 1254.409 503.6158 551.8456 0.3324439 0.4214136
Moved 1254.44 508.8304 541.7545 0.3445147 0.3954589
Moved 1254.47 513.2774 531.1677 0.3548088 0.3682297
Moved 1254.501 517.6129 521.5807 0.3648446 0.3435716
Moved 1254.532 521.6773 513.6454 0.374253 0.3231621
Moved 1254.563 529.6169 503.3831 0.3926318 0.296767
Moved 1254.593 535.1687 497.8313 0.4054831 0.2824879
Moved 1254.624 537.9923 493.0077 0.4120192 0.2700815
Moved 1254.655 538 489.268 0.4120371 0.2604629
Moved 1254.686 532.1661 488 0.3985325 0.2572016
Moved 1254.716 505.2816 508.2496 0.3363001 0.3092838
Moved 1254.747 485.059 522.8066 0.2894884 0.3467247
Moved 1254.778 465.9591 539.0408 0.2452758 0.3884794
Moved 1254.808 453.4256 552.5743 0.216263 0.4232879
