where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Stationary 2641.843 308 239 -0.1203704 -0.3832304
Stationary 2641.873 308 239 -0.1203704 -0.3832304
Stationary 2641.904 308 239 -0.1203704 -0.3832304
Stationary 2641.935 308 239 -0.1203704 -0.3832304
Stationary 2641.965 308 239 -0.1203704 -0.3832304
Moved 2641.996 294.0562 239 -0.1526478 -0.3832304
Moved 2642.027 279.8217 267.3566 -0.1855979 -0.3102969
Moved 2642.057 267.1276 296.463 -0.2149825 -0.2354347
Moved 2642.088 250.642 329.3056 -0.2531436 -0.150963
Moved 2642.119 233.0858 357.257 -0.2937829 -0.07907153
Moved 2642.149 215.9881 388.0219 -0.3333609 5.616081E-05
Moved 2642.18 205.3847 408.2307 -0.3579058 0.05203357
Moved 2642.211 199 421.5 -0.3726852 0.08616251
Moved 2642.242 197.7641 428.7076 -0.375546 0.1047007
Moved 2642.272 198 432.1104 -0.375 0.1134526
Moved 2642.303 204.8102 435.9457 -0.3592358 0.1233171
Moved 2642.334 243.4281 439 -0.2698424 0.1311728
Moved 2642.365 280.779 439 -0.183382 0.1311728
Moved 2642.395 315.2284 425.9239 -0.103638 0.09754078
Moved 2642.426 341.26 411.02 -0.04337961 0.05920771
Moved 2642.457 363.2932 392.3684 0.007623235 0.01123554
Moved 2642.487 383.5 372 0.05439818 -0.04115226
Moved 2642.518 398.1031 351.0556 0.08820166 -0.09502159
Moved 2642.549 408.9339 330.1322 0.1132729 -0.1488369
Moved 2642.579 418.5511 301.4965 0.1355348 -0.2224886
Moved 2642.61 426.4512 276.9208 0.1538222 -0.2856975
Moved 2642.641 429.598 259.206 0.1611065 -0.3312603
Moved 2642.672 431.1388 250.5837 0.164673 -0.3534369
Ended 2642.702 432 248 0.1666667 -0.3600824
Candidates 2642.764 13 can been cam farm van harm screen ben charm csn main seen ban
Began 2643.224 219 428 -0.3263889 0.1028806
Moved 2643.255 234.5504 428 -0.2903925 0.1028806
Moved 2643.286 324.0261 428 -0.08327294 0.1028806
Moved 2643.316 473.076 444.7567 0.2617501 0.145979
Moved 2643.347 549.5469 445 0.4387661 0.1466049
Moved 2643.378 591.4139 436.5724 0.5356802 0.1249289
Moved 2643.409 622.45 432.425 0.607523 0.1142618
Moved 2643.439 652.585 432 0.6772801 0.1131687
Ended 2643.47 661 432 0.6967592 0.1131687
Accept 2643.531 0 can
Began 2643.9 476 216 0.2685185 -0.4423869
Stationary 2643.931 476 216 0.2685185 -0.4423869
