the collapse of the Roman empire
the collapse of the Roman empire
FixStart
Radial

0.6 0.6
432 388.8
Began 2937.544 353 347 -0.01620372 -0.1054527
Stationary 2937.575 353 347 -0.01620372 -0.1054527
Stationary 2937.606 353 347 -0.01620372 -0.1054527
Stationary 2937.637 353 347 -0.01620372 -0.1054527
Stationary 2937.667 353 347 -0.01620372 -0.1054527
Moved 2937.698 353 356.5129 -0.01620372 -0.08098523
Moved 2937.729 343.1014 367.4932 -0.03911718 -0.05274392
Moved 2937.76 339.5531 390.0223 -0.04733086 0.005201489
Moved 2937.79 339 412.9719 -0.04861111 0.06422812
Moved 2937.821 339 441.2813 -0.04861111 0.1370403
Moved 2937.852 339 458.5742 -0.04861111 0.1815178
Moved 2937.883 339 480.2279 -0.04861111 0.2372116
Moved 2937.913 348.6122 494.0608 -0.02636075 0.27279
Moved 2937.944 353.3346 506.8365 -0.01542911 0.3056495
Moved 2937.975 357.7194 515.4387 -0.005279283 0.3277744
Moved 2938.005 360.2694 521.5389 0.0006236633 0.3434641
Moved 2938.036 361.4954 523.4954 0.00346154 0.3484963
Moved 2938.067 361 524 0.002314846 0.3497942
Stationary 2938.098 361 524 0.002314846 0.3497942
Moved 2938.128 362.1527 525 0.004983047 0.3523662
Moved 2938.159 364.3559 506.153 0.01008302 0.3038915
Moved 2938.19 372.9005 462.63 0.02986232 0.1919495
Moved 2938.22 377.5 427.5 0.04050931 0.1015946
Moved 2938.251 383.1441 398.2793 0.05357435 0.02643848
Moved 2938.282 387.6251 379.8745 0.06394694 -0.02089912
Moved 2938.313 392.7089 366.0189 0.07571499 -0.05653585
Moved 2938.343 397.8496 353.8759 0.08761495 -0.08776771
Moved 2938.374 400.9758 348.0484 0.09485134 -0.1027562
Moved 2938.405 403.2587 344.4826 0.1001359 -0.1119274
Moved 2938.436 403.8044 341.1956 0.101399 -0.1203817
Moved 2938.466 404 338.6324 0.1018518 -0.1269742
Moved 2938.497 405 335.1649 0.1041667 -0.1358928
Moved 2938.528 405 333.9294 0.1041667 -0.1390704
Moved 2938.558 405 333 0.1041667 -0.141461
Moved 2938.589 397.4276 333 0.08663803 -0.141461
Moved 2938.62 390.8231 333 0.07134974 -0.141461
Moved 2938.651 380.9331 344.0535 0.04845629 -0.1130313
Moved 2938.681 365.0654 355.9346 0.01172543 -0.08247289
Moved 2938.712 345.0958 374.7912 -0.03450056 -0.03397333
Moved 2938.743 325.9905 396.6778 -0.07872577 0.02231935
Moved 2938.773 308.683 415.3171 -0.1187895 0.07025989
Moved 2938.804 295.0708 431.4115 -0.1502991 0.1116551
Moved 2938.835 285.909 444.1517 -0.171507 0.1444231
Moved 2938.866 277.6429 454.9464 -0.1906414 0.1721871
Moved 2938.896 271.5012 462.3317 -0.2048583 0.1911824
Moved 2938.927 265.216 469.176 -0.2194075 0.208786
Moved 2938.958 258.1171 475.8829 -0.23584 0.2260363
Ended 2938.989 254.366 479.634 -0.2445231 0.2356841
Candidates 2939.111 13 the there further tiger other they title right time huge trigger either where
Began 2939.879 261 441 -0.2291666 0.1363167
Stationary 2939.91 261 441 -0.2291666 0.1363167
Stationary 2939.941 261 441 -0.2291666 0.1363167
Moved 2939.972 277.5094 441 -0.1909505 0.1363167
Moved 2940.002 318.678 441 -0.09565268 0.1363167
Moved 2940.033 349.3823 430.2484 -0.02457798 0.1086633
Moved 2940.064 372.5762 427.0605 0.0291116 0.1004643
Moved 2940.094 381.4586 426 0.04967282 0.09773654
Ended 2940.125 385 425 0.05787035 0.09516452
Accept 2940.248 0 the
Began 2940.74 349 413 -0.02546296 0.06430033
Stationary 2940.771 349 413 -0.02546296 0.06430033
Stationary 2940.801 349 413 -0.02546296 0.06430033
Stationary 2940.832 349 413 -0.02546296 0.06430033
Stationary 2940.863 349 413 -0.02546296 0.06430033
Moved 2940.893 329.0996 380.749 -0.07152876 -0.01864979
Moved 2940.924 318.6709 355.7891 -0.09566914 -0.08284698
Moved 2940.955 311.0351 339.0703 -0.1133446 -0.1258482
Moved 2940.986 305.849 320.9714 -0.1253496 -0.1723987
Moved 2941.016 301.8778 305.3889 -0.1345422 -0.2124772
Moved 2941.047 299.3313 294.3252 -0.1404368 -0.2409332
Moved 2941.078 297.7754 286.3261 -0.1440385 -0.261507
