the facts get in the way
the facts get in the way
FixStart
Radial

0.6 0.6
432 388.8
Began 677.5021 291 187 -0.1597222 -0.5169753
Stationary 677.5329 291 187 -0.1597222 -0.5169753
Stationary 677.5636 291 187 -0.1597222 -0.5169753
Moved 677.5943 273.4429 239.5171 -0.2003638 -0.3819005
Moved 677.6251 265.5262 289.2637 -0.2186892 -0.2539514
Moved 677.6558 266 311.5456 -0.2175926 -0.1966421
Moved 677.6865 266 318.9671 -0.2175926 -0.1775538
Moved 677.7172 266 320.4124 -0.2175926 -0.1738365
Moved 677.7479 288.7664 302.527 -0.1648926 -0.2198381
Moved 677.7786 301.6809 267.0495 -0.134998 -0.3110867
Moved 677.8094 304 242.1959 -0.1296296 -0.3750106
Moved 677.8401 304 227.7769 -0.1296296 -0.4120966
Moved 677.8708 282.3556 221 -0.1797325 -0.4295268
Moved 677.9016 236.8748 244.7501 -0.285012 -0.368441
Moved 677.9323 193.0831 292.403 -0.3863816 -0.245877
Moved 677.963 174.9306 320.6041 -0.4284013 -0.1733435
Moved 677.9937 170.5 333.5 -0.4386574 -0.140175
Ended 678.0245 170.5 333.5 -0.4386574 -0.140175
Candidates 678.0859 13 the there e re he further these r tiger use where user t
Began 678.6697 183 272 -0.4097222 -0.2983539
Moved 678.7004 205.4812 272 -0.3576825 -0.2983539
Moved 678.7311 260.6754 272 -0.2299181 -0.2983539
Moved 678.7618 334.9068 283.9441 -0.05808612 -0.2676336
Moved 678.7925 367.0461 291.1213 0.01631041 -0.2491736
Ended 678.8233 391.06 294.4371 0.0718982 -0.2406452
Accept 678.8848 0 the
Began 679.0076 346 279 -0.03240739 -0.2803498
Moved 679.0384 318.475 279 -0.09612272 -0.2803498
Moved 679.0691 245.9471 288.0878 -0.2640113 -0.256976
Moved 679.0998 207.3243 290.6911 -0.353416 -0.2502801
Moved 679.1306 182.2668 291 -0.4114193 -0.2494857
Moved 679.1613 167.7494 291 -0.4450246 -0.2494857
Moved 679.192 160.6106 274.8317 -0.4615496 -0.2910707
Moved 679.2228 170.6532 236.1412 -0.4383028 -0.3905833
Moved 679.2535 194.8864 193.8928 -0.3822074 -0.4992469
Moved 679.2842 210.2822 169.0082 -0.3465689 -0.5632505
Moved 679.3149 217.59 155.8201 -0.3296528 -0.5971706
Moved 679.3456 221.6765 155 -0.3201934 -0.5992799
Moved 679.3764 254.4598 215.9196 -0.244306 -0.4425937
Moved 679.4071 297.9414 314.6182 -0.1436541 -0.1887394
Moved 679.4378 317.3629 361.9435 -0.09869705 -0.06701788
Moved 679.4686 320 388.4001 -0.09259259 0.001028948
Moved 679.4993 320 391.2744 -0.09259259 0.008421768
Stationary 679.53 320 391.2744 -0.09259259 0.008421768
Moved 679.5607 239.6788 313.2841 -0.2785212 -0.1921707
Moved 679.5914 200.9615 251.2198 -0.3681446 -0.3518008
Moved 679.6221 186.91 227.88 -0.4006713 -0.4118312
Ended 679.6528 183 219 -0.4097222 -0.4346708
Candidates 679.7451 13 facts faced acts acted says access saves sacred data agrees faces actress ahead
Began 680.3596 169 283 -0.4421296 -0.2700618
Stationary 680.3903 169 283 -0.4421296 -0.2700618
Moved 680.421 244.1013 275 -0.268284 -0.2906379
Moved 680.4518 317.489 275 -0.09840514 -0.2906379
Moved 680.4825 352.4563 282.8971 -0.01746222 -0.2703264
Ended 680.5132 367 283 0.01620372 -0.2700618
Accept 680.5746 0 facts
Began 680.6668 336 209 -0.05555556 -0.4603909
Stationary 680.6976 336 209 -0.05555556 -0.4603909
Moved 680.7283 320.4429 224.0762 -0.09156743 -0.4216149
Moved 680.759 297.9592 257.5612 -0.143613 -0.3354907
Moved 680.7897 276.6906 296.6956 -0.192846 -0.2348364
Moved 680.8204 262.0016 328.7966 -0.2268482 -0.1522722
Moved 680.8511 251.6665 350.0004 -0.2507719 -0.0977356
Moved 680.8819 245 364 -0.2662037 -0.06172839
Moved 680.9126 241.9473 370.1055 -0.2732702 -0.04602503
Moved 680.9433 240 373.9158 -0.2777777 -0.03622479
Moved 680.9741 240 375.7906 -0.2777777 -0.0314028
Moved 681.0048 263.4932 376 -0.2233955 -0.03086435
Moved 681.0355 293.1067 376 -0.1548456 -0.03086435
Moved 681.0662 313.6969 367.9005 -0.1071832 -0.05169637
Moved 681.0969 324.9205 366.0265 -0.08120263 -0.05651623
Moved 681.1277 332.5341 365.4886 -0.06357849 -0.05789956
Ended 681.1584 338 365 -0.05092591 -0.05915646
Candidates 681.2505 13 get et grey were eu feet try re free hey ferry terry here
Began 681.6807 185 306 -0.4050926 -0.2109054
Stationary 681.7115 185 306 -0.4050926 -0.2109054
Moved 681.7422 224.8846 306 -0.3127671 -0.2109054
Moved 681.7729 274.8993 299 -0.1969925 -0.2289095
Moved 681.8036 312.6184 299 -0.1096797 -0.2289095
Ended 681.8344 351.4356 306.8375 -0.019825 -0.2087514
Accept 681.8958 0 get
Began 682.0187 217 253 -0.3310185 -0.3472223
Moved 682.0494 234.9607 275.9528 -0.2894429 -0.2881874
Moved 682.0801 305.5658 362.4053 -0.1260052 -0.06582998
Moved 682.1109 334.3718 393.3718 -0.05932456 0.01381631
Moved 682.1416 341.7873 398.7873 -0.04215897 0.02774509
Moved 682.1723 344.6588 400 -0.03551195 0.03086416
Moved 682.2031 313.7586 288.0973 -0.1070403 -0.2569514
Moved 682.2338 289.2181 223.0481 -0.1638469 -0.424259
