they might find your comment offensive
they might find your comment offensive
Basic
Radial

0.6 0.6
432 388.8
Moved 1206.545 399.903 411.5164 0.09236813 0.06048438
Moved 1206.576 384.2034 424.4972 0.05602628 0.0938713
Moved 1206.606 365.4501 441.5499 0.01261602 0.1377311
Moved 1206.637 344.0599 461.2344 -0.03689845 0.1883599
Moved 1206.668 328.7052 474.2948 -0.07244159 0.2219516
Moved 1206.698 317.6807 485.759 -0.09796128 0.2514378
Moved 1206.729 308.1284 493.8716 -0.1200733 0.2723036
Moved 1206.76 298.5349 502.6434 -0.1422804 0.2948647
Moved 1206.791 290.62 511.0699 -0.1606018 0.3165378
Moved 1206.822 284.6049 517.3951 -0.1745258 0.3328063
Moved 1206.852 278.7589 523.2411 -0.1880581 0.3478422
Moved 1206.883 277 526.0071 -0.1921296 0.3549566
Ended 1206.914 277 527.4404 -0.1921296 0.3586428
Candidates 1207.006 13 might middle night must mighty mother life higher budget niche bought movie mortgage
Began 1207.682 318 467 -0.09722222 0.2031892
Stationary 1207.713 318 467 -0.09722222 0.2031892
Stationary 1207.744 318 467 -0.09722222 0.2031892
Moved 1207.774 347.2334 457.4852 -0.02955238 0.1787169
Moved 1207.805 378.3299 459 0.04243036 0.1826131
Moved 1207.836 427.9536 469.9376 0.1573001 0.2107449
Ended 1207.866 472 479 0.2592593 0.2340534
Accept 1208.02 0 might
Began 1208.297 300 427 -0.1388889 0.1003086
Stationary 1208.328 300 427 -0.1388889 0.1003086
Stationary 1208.358 300 427 -0.1388889 0.1003086
Stationary 1208.389 300 427 -0.1388889 0.1003086
Moved 1208.42 286.4535 427 -0.1702465 0.1003086
Moved 1208.45 279.8758 427 -0.1854726 0.1003086
Moved 1208.481 274.1645 427 -0.1986934 0.1003086
Moved 1208.512 268 427 -0.212963 0.1003086
Moved 1208.543 264.6487 427 -0.2207207 0.1003086
Moved 1208.573 261.7834 427 -0.2273532 0.1003086
Moved 1208.604 259.5 427 -0.2326389 0.1003086
Moved 1208.635 258.815 427 -0.2342246 0.1003086
Stationary 1208.666 258.815 427 -0.2342246 0.1003086
Stationary 1208.696 259 427 -0.2337963 0.1003086
Stationary 1208.727 259 427 -0.2337963 0.1003086
Moved 1208.758 270.4374 427 -0.2073208 0.1003086
Moved 1208.788 285.8122 427 -0.171731 0.1003086
Moved 1208.819 317.3651 441.2355 -0.09869194 0.1369224
Moved 1208.85 343.9151 455.9528 -0.03723363 0.1747757
Moved 1208.881 368.8274 470.2672 0.02043376 0.2115924
Moved 1208.911 389.3129 483.8752 0.06785394 0.2465926
Moved 1208.942 405.933 495.3464 0.1063262 0.2760966
Moved 1208.973 417.4969 502.2982 0.1330948 0.2939767
Moved 1209.004 429.8585 509.9151 0.1617095 0.3135675
Moved 1209.034 437.6821 513.8411 0.1798198 0.3236652
Moved 1209.065 444 516 0.1944444 0.329218
Moved 1209.096 448.2776 517 0.2043464 0.33179
Moved 1209.127 452.1393 517 0.2132855 0.33179
Moved 1209.157 453 502.9126 0.2152778 0.295557
Moved 1209.188 442.1686 465.1479 0.1902052 0.1984257
Moved 1209.219 422.4468 410.7659 0.1445528 0.05855427
Moved 1209.25 411.8012 376.1039 0.1199102 -0.03059701
Moved 1209.28 405.6749 352.3746 0.105729 -0.09162903
Moved 1209.311 400.6714 334.3499 0.09414673 -0.1379891
Moved 1209.342 395.4664 316.3319 0.08209804 -0.1843316
Moved 1209.372 391.5971 300.9854 0.07314136 -0.2238029
Moved 1209.403 390 293.1251 0.06944448 -0.2440199
Moved 1209.434 389 286.3781 0.06712963 -0.2613734
Moved 1209.465 388 281.6432 0.06481478 -0.2735514
Moved 1209.495 387 278.4502 0.06250004 -0.2817639
Moved 1209.526 384.937 278 0.05772451 -0.2829219
Moved 1209.557 380.1952 278 0.04674812 -0.2829219
Moved 1209.588 369.0348 285.1375 0.02091378 -0.2645642
Moved 1209.618 354 297.5 -0.01388888 -0.2327676
Moved 1209.649 337.4277 316.7969 -0.05225077 -0.1831354
