I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Began 2270.483 378 203 0.04166663 -0.4758231
Stationary 2270.514 378 203 0.04166663 -0.4758231
Moved 2270.545 393.3755 232.751 0.07725815 -0.3993031
Moved 2270.575 413.4628 272.8488 0.1237564 -0.2961708
Moved 2270.606 431.7336 305.5338 0.16605 -0.2121046
Moved 2270.637 446.3893 331.7786 0.1999752 -0.1446025
Moved 2270.668 457.8788 350.3182 0.2265714 -0.09691819
Moved 2270.698 464.6078 361.4117 0.2421477 -0.06838543
Moved 2270.729 475.0227 372.6273 0.2662562 -0.03953902
Moved 2270.76 488.9108 383.4331 0.2984047 -0.01174621
Moved 2270.791 496.6965 390.6965 0.3164271 0.006935449
Moved 2270.821 502.8365 395.8364 0.33064 0.0201553
Moved 2270.852 509.5783 400.5784 0.3462462 0.03235177
Moved 2270.883 514.6613 403.6613 0.3580123 0.04028104
Moved 2270.914 517.5 405 0.3645833 0.04372424
Ended 2270.944 517.5 405 0.3645833 0.04372424
Candidates 2271.006 13 I you up to go top o ip ii u iii yo yup
Began 2271.928 471 260 0.2569444 -0.3292181
Stationary 2271.958 471 260 0.2569444 -0.3292181
Moved 2271.989 437.2022 273.5487 0.1787088 -0.2943707
Moved 2272.02 403.164 296.2444 0.09991655 -0.235997
Moved 2272.051 376.7257 318.2494 0.03871689 -0.1793997
Moved 2272.082 352.6714 345.2327 -0.01696433 -0.1099984
Moved 2272.112 333.6231 367.9131 -0.0610576 -0.05166379
Moved 2272.143 321 387 -0.09027779 -0.002572055
Moved 2272.174 313.3934 403.2133 -0.1078857 0.03912871
Moved 2272.204 306.8739 414.1891 -0.122977 0.06735864
Moved 2272.235 303.0636 421.8728 -0.1317972 0.08712129
Moved 2272.266 300.6649 425.3351 -0.1373497 0.09602641
Moved 2272.297 297.6787 427 -0.1442622 0.1003086
Moved 2272.327 294.5956 427 -0.151399 0.1003086
Moved 2272.358 289.8532 412.5598 -0.1623768 0.06316797
Moved 2272.389 283.707 384.2422 -0.1766041 -0.009665038
Moved 2272.419 283 351.311 -0.1782407 -0.0943647
Moved 2272.45 283 320.0975 -0.1782407 -0.1746465
Moved 2272.481 289.6277 298.3723 -0.1628988 -0.2305239
Moved 2272.512 298.4106 270.9648 -0.1425682 -0.3010166
Moved 2272.542 308.6936 247.6128 -0.1187648 -0.3610783
Moved 2272.573 319.1771 228.6458 -0.0944974 -0.4098618
Moved 2272.604 333.3629 206.4298 -0.06166001 -0.4670016
Moved 2272.635 351.6111 187.3241 -0.0194188 -0.5161418
Moved 2272.666 378.0332 170.9834 0.04174351 -0.5581703
Moved 2272.696 407.5 162.5 0.1099537 -0.5799897
Moved 2272.727 436.1089 158.7891 0.176178 -0.5895343
Moved 2272.758 472.0699 158 0.2594211 -0.5915639
Moved 2272.788 512.2775 157 0.3524941 -0.5941358
Moved 2272.819 535.5349 157 0.4063306 -0.5941358
Moved 2272.85 567.1448 156 0.4795018 -0.5967079
Moved 2272.881 587.5535 156 0.5267441 -0.5967079
Moved 2272.911 600.2832 153.9056 0.5562111 -0.6020945
Moved 2272.942 609.3254 152.3373 0.5771421 -0.6061285
Moved 2272.973 616.5339 150 0.5938285 -0.6121399
Moved 2273.003 619.4015 150 0.6004664 -0.6121399
Stationary 2273.034 619 150 0.599537 -0.6121399
Moved 2273.065 545.2153 244.3557 0.4287391 -0.3694555
Moved 2273.096 503.8158 312.9583 0.332907 -0.1930086
Moved 2273.126 478.6586 351.0121 0.2746727 -0.0951336
Moved 2273.157 457.3143 377.8103 0.2252646 -0.02620815
Moved 2273.188 442.3558 393.7035 0.1906384 0.01466943
Moved 2273.219 426.2919 406.2618 0.1534536 0.04696952
Moved 2273.249 413.5 413 0.1238426 0.06430033
Moved 2273.28 403.3159 419.4561 0.1002683 0.08090544
Moved 2273.311 394.7101 423.1933 0.08034746 0.09051762
