taking the train is usually faster
taking the train is usually faster
FixStart
List

0.6 0.6
432 388.8
Began 181.6898 450 378 0.2083333 -0.02572024
Stationary 181.7205 450 378 0.2083333 -0.02572024
Stationary 181.7512 450 378 0.2083333 -0.02572024
Stationary 181.782 450 378 0.2083333 -0.02572024
Moved 181.8126 450 394.9716 0.2083333 0.01793088
Moved 181.8434 441.481 407.5952 0.1886134 0.05039898
Moved 181.8741 436.2092 425.7679 0.1764101 0.09713969
Moved 181.9049 431.1297 444.6109 0.1646521 0.1456041
Moved 181.9355 428.223 460.8851 0.1579235 0.1874617
Moved 181.9663 424.3559 475.2205 0.1489721 0.2243324
Moved 181.997 420.4833 489.5834 0.1400076 0.2612742
Moved 182.0278 417.9109 501.4456 0.1340529 0.2917839
Moved 182.0585 415.0364 506.9272 0.1273991 0.3058828
Moved 182.0892 413 510.8301 0.1226852 0.3159211
Moved 182.1199 412 513.5 0.1203704 0.3227879
Moved 182.1506 409.8853 515.1147 0.1154753 0.326941
Moved 182.1814 409 517.1048 0.113426 0.3320596
Moved 182.2121 406.0273 517 0.1065447 0.33179
Moved 182.2428 403.6539 518 0.1010507 0.3343621
Moved 182.2735 381.5765 502.2689 0.04994562 0.2939014
Moved 182.3043 355.9365 482.3492 -0.009406208 0.2426676
Moved 182.335 327.208 456.307 -0.07590741 0.1756867
Moved 182.3657 301.2747 433.2747 -0.1359381 0.1164473
Moved 182.3964 280.9939 412.4929 -0.1828846 0.06299599
Moved 182.4271 265.1495 396.1495 -0.2195613 0.02096066
Moved 182.4579 254.2686 383.3581 -0.2447487 -0.01193914
Moved 182.4886 242.7517 367.2527 -0.2714082 -0.05336235
Moved 182.5193 234.7782 354.5563 -0.2898653 -0.08601765
Moved 182.55 229.0371 345.5557 -0.3031548 -0.1091677
Moved 182.5807 226.948 340.896 -0.3079908 -0.1211523
Moved 182.6115 225.0823 338.0823 -0.3123094 -0.128389
Moved 182.6422 225 337 -0.3125 -0.1311728
Stationary 182.6729 225 337 -0.3125 -0.1311728
Moved 182.7037 256.8084 337 -0.2388694 -0.1311728
Moved 182.7344 294.9057 348.1698 -0.1506812 -0.102444
Moved 182.7651 340.0336 357.8067 -0.04621858 -0.07765774
Moved 182.7958 381.0851 366.2811 0.04880796 -0.05586153
Moved 182.8265 424.6144 373.6024 0.1495703 -0.0370309
Moved 182.8573 461.8426 378.1675 0.2357467 -0.02528948
Moved 182.888 491.3906 382.0391 0.3041448 -0.01533163
Moved 182.9187 520.2407 385.5823 0.3709274 -0.006218466
Moved 182.9494 542.108 388.444 0.4215462 0.001141858
Moved 182.9802 562.212 390 0.4680834 0.005143954
Moved 183.0109 575.3195 390.8639 0.4984246 0.007365897
Moved 183.0415 585.3622 392 0.5216717 0.01028803
Moved 183.0723 592.1037 393.5519 0.537277 0.01427941
Moved 183.1031 596.4282 394 0.5472875 0.01543206
Moved 183.1338 598.9935 394.9935 0.5532255 0.01798732
Moved 183.1645 601.8641 395 0.5598705 0.01800408
Moved 183.1952 603.5 396 0.5636574 0.02057605
Moved 183.226 603 397.0817 0.5624999 0.02335823
Moved 183.2567 604 399.0692 0.5648147 0.02847016
Moved 183.2874 604 401.0178 0.5648147 0.03348185
Moved 183.3181 588.7129 420.8119 0.529428 0.08439264
Moved 183.3488 575.8534 446.5799 0.4996607 0.1506684
Moved 183.3796 562.4831 476.2867 0.4687108 0.2270748
Moved 183.4103 555.7333 496.7999 0.4530864 0.2798351
Moved 183.441 551.9999 509.0005 0.4444441 0.3112154
Moved 183.4718 549.4647 517.1411 0.4385757 0.332153
Moved 183.5025 546.585 524.8301 0.4319097 0.3519292
Moved 183.5332 546 531.5667 0.4305556 0.3692557
Moved 183.5639 544.1478 534.8522 0.4262681 0.3777061
Moved 183.5946 544 536.235 0.4259259 0.3812627
Moved 183.6254 542.8894 536 0.4233551 0.3806583
Moved 183.6561 529.8669 508.1605 0.3932105 0.3090548
Moved 183.6868 511.0746 461.1812 0.3497098 0.1882232
Moved 183.7175 497.4263 410.7051 0.3181165 0.05839791
Moved 183.7482 493.2698 368.507 0.3084949 -0.0501365
Moved 183.779 492 332 0.3055556 -0.144033
Moved 183.8097 491 297.583 0.3032407 -0.232554
Moved 183.8404 491 265.0369 0.3032407 -0.3162633
Moved 183.8711 491 241.9413 0.3032407 -0.3756654
Moved 183.9019 491 227.6482 0.3032407 -0.4124275
Moved 183.9326 491 215.0604 0.3032407 -0.4448035
Moved 183.9633 491 209.7936 0.3032407 -0.4583498
Moved 183.994 491 206.0266 0.3032407 -0.4680386
Moved 184.0247 491 203.5 0.3032407 -0.4745371
Moved 184.0554 491 202.6255 0.3032407 -0.4767863
Stationary 184.0862 491 203 0.3032407 -0.4758231
Moved 184.1169 483.8152 215.5546 0.2866091 -0.4435326
Moved 184.1476 461.1653 262.6144 0.2341788 -0.3224939
Moved 184.1784 441.8978 305.7555 0.1895783 -0.2115342
Moved 184.2091 431.8188 336.9373 0.1662473 -0.1313343
Moved 184.2398 424.1464 362.3655 0.1484871 -0.06593233
Moved 184.2705 415.5164 388.623 0.1285101 0.001602448
Moved 184.3013 409.6264 409.1208 0.1148758 0.05432317
Moved 184.332 404 423 0.1018518 0.09002049
Moved 184.3627 401.9051 428.1898 0.09700258 0.1033687
Moved 184.3934 398.0712 430.9644 0.08812775 0.1105052
Moved 184.4241 396 433.8376 0.08333336 0.1178952
Moved 184.4548 389.0133 439.9867 0.06716032 0.1337105
Moved 184.4856 384.7918 444.2082 0.05738844 0.1445683
Moved 184.5163 382 447.0837 0.05092591 0.1519641
Moved 184.547 380.0456 449 0.04640172 0.156893
Moved 184.5777 380 450.0438 0.04629632 0.1595777
Moved 184.6085 379 452.3658 0.04398147 0.1655499
Moved 184.6392 379 453 0.04398147 0.167181
Ended 184.6699 379 454.5 0.04398147 0.171039
Candidates 184.8235 13 taking talking headline deadline headlines walking reading healing trading dealing teaching washing rating
Began 186.2368 420 382 0.1388889 -0.01543218
Moved 186.2675 420 395.5359 0.1388889 0.01938258
Moved 186.2983 410.4732 409.8049 0.116836 0.0560824
Moved 186.329 410.0696 431.4429 0.1159019 0.1117359
Moved 186.3597 408 452.6177 0.1111111 0.1661978
Moved 186.3904 407 477.7346 0.1087963 0.2307987
Moved 186.4212 407 499.5 0.1087963 0.2867798
Moved 186.4518 407 508.2657 0.1087963 0.3093252
Moved 186.4826 407 513.9112 0.1087963 0.3238456
Moved 186.5133 407 517.8289 0.1087963 0.333922
Moved 186.544 407 519.2585 0.1087963 0.337599
Moved 186.5748 407 521.5 0.1087963 0.3433641
Moved 186.6055 407 521 0.1087963 0.3420781
Moved 186.6362 419.6721 506.459 0.13813 0.3046783
Moved 186.6669 434.2999 483.3431 0.1719905 0.2452239
Moved 186.6976 451.1071 454.4881 0.2108961 0.1710084
Moved 186.7284 465.8407 433.5287 0.2450017 0.1171006
Moved 186.7591 478.5975 413.805 0.2745312 0.06637082
