the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Moved 2236.962 340.2351 297.765 -0.04575213 -0.232086
Moved 2236.993 341 297 -0.04398147 -0.2340535
Moved 2237.023 342 297 -0.04166668 -0.2340535
Moved 2237.054 344.5344 297 -0.03580009 -0.2340535
Moved 2237.085 357.3716 312.3716 -0.006084293 -0.1945176
Moved 2237.115 376.4605 336.3931 0.03810306 -0.132734
Moved 2237.146 406.5003 366.5003 0.1076396 -0.05529756
Moved 2237.177 428.011 388.3425 0.1574329 0.0008808732
Moved 2237.208 441.5 400 0.1886574 0.03086416
Moved 2237.238 462.9002 413.5626 0.238195 0.0657474
Moved 2237.269 485.8954 424.9551 0.2914245 0.09504919
Moved 2237.3 497.5355 430.8452 0.3183692 0.1101983
Moved 2237.331 502.5743 433.2871 0.3300331 0.1164791
Moved 2237.361 508.5139 435.257 0.3437823 0.1215456
Moved 2237.392 512.1315 436 0.3521564 0.1234567
Moved 2237.423 514.5 437.5 0.3576389 0.1273147
Ended 2237.453 516 437 0.3611111 0.1260288
Candidates 2237.515 13 back ball bank call basal fall naacp nacl hall shall mall cash neck
Began 2238.037 381 487 0.04861106 0.2546296
Stationary 2238.068 381 487 0.04861106 0.2546296
Moved 2238.098 403.0794 487 0.09972075 0.2546296
Moved 2238.129 429.4071 479 0.1606646 0.2340534
Moved 2238.16 448.0387 476.8516 0.2037933 0.2285278
Moved 2238.191 465.3641 476 0.2438984 0.2263374
Moved 2238.221 466.7567 476 0.2471219 0.2263374
Moved 2238.252 471 476 0.2569444 0.2263374
Ended 2238.283 472 475 0.2592593 0.2237653
Accept 2238.344 0 back
Began 2238.59 344 596 -0.03703703 0.5349793
Stationary 2238.621 344 596 -0.03703703 0.5349793
Stationary 2238.651 344 596 -0.03703703 0.5349793
Stationary 2238.682 344 596 -0.03703703 0.5349793
Stationary 2238.711 344 596 -0.03703703 0.5349793
Stationary 2238.743 344 596 -0.03703703 0.5349793
Stationary 2238.774 344 596 -0.03703703 0.5349793
Stationary 2238.805 344 596 -0.03703703 0.5349793
Stationary 2238.836 344 596 -0.03703703 0.5349793
Stationary 2238.866 344 596 -0.03703703 0.5349793
Stationary 2238.897 344 596 -0.03703703 0.5349793
Moved 2238.928 344 580.5529 -0.03703703 0.4952492
Moved 2238.958 344 560.108 -0.03703703 0.4426646
Moved 2238.989 348.4818 518.3962 -0.02666255 0.3353811
Moved 2239.02 359 478.5 -0.002314796 0.2327674
Moved 2239.051 364.0581 449.4193 0.009393693 0.1579712
Moved 2239.081 368.9388 418.4897 0.02069165 0.07842009
Moved 2239.112 370 402.7463 0.02314816 0.03792778
Moved 2239.143 371 395.27 0.025463 0.01869841
Moved 2239.174 371 389.5911 0.025463 0.004092401
Moved 2239.204 372 385.858 0.02777775 -0.005509412
Moved 2239.235 372 384 0.02777775 -0.01028807
Moved 2239.265 372 381.4815 0.02777775 -0.01676575
Moved 2239.296 372 379.8046 0.02777775 -0.02107887
Moved 2239.327 357.9424 377.7356 -0.004763007 -0.02640022
Moved 2239.358 331.8738 378 -0.065107 -0.02572024
Moved 2239.389 292.9884 383.3436 -0.1551195 -0.01197634
Moved 2239.419 270.7828 387.5362 -0.2065212 -0.001192995
Moved 2239.45 248.7198 389 -0.2575929 0.002572016
Moved 2239.481 230.6233 392.9109 -0.2994831 0.012631
Moved 2239.511 214.3608 395 -0.3371278 0.01800408
Moved 2239.542 208.8318 396 -0.3499264 0.02057605
Moved 2239.573 206 397.5 -0.3564815 0.02443408
Moved 2239.604 205 398.0645 -0.3587963 0.0258859
Moved 2239.634 203.5015 398 -0.3622651 0.02572008
Moved 2239.665 202 399 -0.3657407 0.02829214
Moved 2239.696 200.861 399 -0.3683773 0.02829214
Moved 2239.727 201 401.0999 -0.3680556 0.03369315
Moved 2239.757 216.512 415.448 -0.3321481 0.07059662
Moved 2239.788 237.5389 436.5389 -0.2834747 0.1248428
Moved 2239.819 257.0267 453.5223 -0.2383641 0.1685243
Moved 2239.849 275.6165 467.869 -0.1953321 0.2054242
Moved 2239.88 290.2751 481.2751 -0.1614002 0.2399051
Moved 2239.911 301.3435 492.1794 -0.1357788 0.2679512
Moved 2239.941 309.9442 499.9443 -0.1158698 0.2879224
Moved 2239.972 316.0493 507.0493 -0.1017377 0.3061968
Moved 2240.003 321.8192 513.8192 -0.08838151 0.3236089
Moved 2240.034 324.8977 516.8977 -0.08125523 0.3315269
Moved 2240.064 327 518.7708 -0.07638887 0.3363445
Moved 2240.095 328 519.6421 -0.07407407 0.3385856
Moved 2240.126 328 520.5 -0.07407407 0.3407921
Moved 2240.156 328 506.0511 -0.07407407 0.3036294
Moved 2240.187 328 474.548 -0.07407407 0.2226027
Moved 2240.218 329.8079 445.1131 -0.06988913 0.1468958
Moved 2240.249 332.2493 419.7565 -0.06423771 0.08167811
Moved 2240.279 335.2064 400.7614 -0.05739256 0.03282253
Moved 2240.31 339.0842 389.6633 -0.04841625 0.004278034
Moved 2240.341 341 381.0907 -0.04398147 -0.01777092
Moved 2240.372 343 375.4711 -0.03935183 -0.03222469
Ended 2240.402 344 371.6012 -0.03703703 -0.04217807
Candidates 2240.556 13 yard used regard regards users related trusted path uses yards parts posted posts
Began 2240.986 215 499 -0.3356481 0.2854938
Moved 2241.017 222.298 499 -0.3187547 0.2854938
Moved 2241.047 264.2315 499 -0.2216863 0.2854938
Moved 2241.078 310.3434 489.1227 -0.1149457 0.2600892
Moved 2241.109 334.5851 487.0922 -0.05883088 0.2548667
Moved 2241.139 351.3239 485.169 -0.02008349 0.2499202
Moved 2241.17 359.4147 484.2927 -0.001354863 0.2476663
Moved 2241.201 366 484 0.01388888 0.2469135
Moved 2241.231 368.0822 483 0.0187088 0.2443414
Moved 2241.262 369.5 483 0.02199074 0.2443414
Moved 2241.293 372.5 483 0.02893518 0.2443414
Moved 2241.324 373.1147 483 0.03035804 0.2443414
Ended 2241.354 374 482 0.03240744 0.2417695
Accept 2241.416 0 yard
Began 2241.692 440 527 0.1851852 0.3575102
Stationary 2241.723 440 527 0.1851852 0.3575102
