the collapse of the Roman empire
the collapse of the Roman empire
FixStart
List

0.6 0.6
432 388.8
Began 764.0369 453 382 0.2152778 -0.01543218
Stationary 764.0676 453 382 0.2152778 -0.01543218
Moved 764.0984 453 402.3074 0.2152778 0.03679868
Moved 764.1291 461.864 432.5045 0.2357964 0.1144661
Moved 764.1598 462 451.7247 0.2361111 0.163901
Moved 764.1906 462 461.1974 0.2361111 0.1882648
Moved 764.2213 462 467.9376 0.2361111 0.2056006
Moved 764.252 462 472.9801 0.2361111 0.2185702
Moved 764.2827 462 476.8632 0.2361111 0.2285575
Moved 764.3134 462 478.2978 0.2361111 0.2322473
Moved 764.3441 464.4654 479 0.2418181 0.2340534
Moved 764.3749 485.1951 464.9756 0.2898034 0.1979826
Moved 764.4056 503.265 446.682 0.3316319 0.150931
Moved 764.4364 514.7403 428.5194 0.3581951 0.1042165
Moved 764.4671 520.9242 410.7654 0.3725097 0.05855289
Moved 764.4979 525.3271 396.0187 0.3827015 0.02062413
Moved 764.5286 528.1942 385.2232 0.3893384 -0.007142039
Moved 764.5593 528 378.8724 0.3888889 -0.02347632
Moved 764.5901 520.6883 376.8751 0.3719637 -0.02861345
Moved 764.6208 485.7874 376 0.2911745 -0.03086435
Moved 764.6516 448.2271 408.1441 0.2042295 0.05181092
Moved 764.6823 423.8803 430.1197 0.1478711 0.1083325
Moved 764.713 407.4215 447.5784 0.1097721 0.1532366
Moved 764.7437 394.2504 459.7496 0.07928341 0.184541
Moved 764.7745 384.6336 468.3664 0.05702217 0.2067036
Moved 764.8052 379.0373 474.944 0.0440679 0.2236214
Moved 764.8359 374.1471 479.8529 0.03274789 0.2362471
Moved 764.8666 371.2747 483.7253 0.02609879 0.2462071
Ended 764.8973 371 486.314 0.025463 0.2528652
Candidates 764.9896 13 the there this they huge time higher gift tiger june if he further
Began 765.5735 444 395 0.1944444 0.01800408
Stationary 765.6042 444 395 0.1944444 0.01800408
Stationary 765.635 444 395 0.1944444 0.01800408
Moved 765.6657 433.706 377.8433 0.1706156 -0.02612345
Moved 765.6964 410.1389 348.9321 0.1160623 -0.1004833
Moved 765.7272 387.4193 329.5852 0.0634706 -0.1502439
Moved 765.7579 371.4983 315.1987 0.02661645 -0.1872463
Moved 765.7886 359.1335 303.1335 -0.002005845 -0.2182781
Moved 765.8193 350.0384 296.3589 -0.02305935 -0.2357025
Moved 765.8502 343.8272 290.8273 -0.03743693 -0.2499299
Moved 765.8809 340.3658 287.3658 -0.04544958 -0.2588329
Moved 765.9116 337.5 286 -0.05208333 -0.2623458
Moved 765.9423 338 284.6271 -0.05092591 -0.2658767
Moved 765.973 349.2721 297.3994 -0.02483303 -0.2330263
Moved 766.0038 370.0847 324.6058 0.02334416 -0.163051
Moved 766.0345 397.6712 350.7534 0.08720189 -0.09579889
Moved 766.0652 433.0977 383.0977 0.1692076 -0.01260899
Moved 766.0959 467.7148 416.7147 0.2493397 0.07385462
Moved 766.1266 493.9252 446.7717 0.3100121 0.1511618
Moved 766.1575 512.9651 462.2559 0.354086 0.1909872
Moved 766.1882 529.8713 476.2971 0.3932207 0.2271014
Moved 766.2189 538.3275 482.1091 0.412795 0.2420502
Moved 766.2496 541.9809 485.9809 0.4212521 0.2520084
Moved 766.2804 544.8525 488 0.4278992 0.2572016
Moved 766.3111 545 489.2897 0.4282407 0.2605188
Moved 766.3419 547.1166 491.1166 0.4331402 0.2652174
Stationary 766.3726 547.1166 491.1166 0.4331402 0.2652174
Moved 766.4033 548 491 0.4351853 0.2649176
Moved 766.434 552.1069 465.6793 0.4446919 0.1997924
Moved 766.4648 561.1595 437.5213 0.4656471 0.1273695
Moved 766.4955 566.5479 418.6304 0.47812 0.07878193
Moved 766.5262 571.2875 407.4249 0.4890915 0.04996099
Moved 766.557 573 402.3417 0.4930556 0.03688714
Moved 766.5877 575.5259 398.4741 0.4989026 0.02693938
Moved 766.6184 577.3937 395.6063 0.5032262 0.01956339
Moved 766.6492 579.9719 392.0281 0.5091941 0.01036036
Moved 766.6799 584.6417 386.1792 0.5200039 -0.004683208
Moved 766.7106 588.6919 381.6161 0.5293794 -0.01641945
Moved 766.7414 591.564 379 0.5360276 -0.02314815
Moved 766.7721 594.1013 376.8987 0.5419011 -0.02855277
