in sharp contrast to your words
in sharp contrast to your words
Basic
Radial

0.6 0.6
432 388.8
Began 1299.703 387 535 0.06250004 0.3780863
Stationary 1299.734 387 535 0.06250004 0.3780863
Stationary 1299.765 387 535 0.06250004 0.3780863
Stationary 1299.796 387 535 0.06250004 0.3780863
Stationary 1299.826 387 535 0.06250004 0.3780863
Stationary 1299.857 387 535 0.06250004 0.3780863
Moved 1299.888 387 521.7776 0.06250004 0.3440782
Moved 1299.918 381.8663 500.3331 0.05061647 0.2889224
Moved 1299.949 379 486.3873 0.04398147 0.2530537
Moved 1299.98 379 469.6226 0.04398147 0.2099345
Moved 1300.011 379 455.6431 0.04398147 0.1739791
Moved 1300.041 379 440.3966 0.04398147 0.1347649
Moved 1300.072 389.7249 415.5502 0.06880761 0.07085957
Moved 1300.103 404.2709 391.0936 0.102479 0.007956822
Moved 1300.134 419.6333 368.55 0.1380401 -0.05002575
Moved 1300.164 426.8246 351.5263 0.1546865 -0.09381101
Moved 1300.195 430 327.4965 0.162037 -0.1556162
Moved 1300.226 430 305.416 0.162037 -0.2124076
Moved 1300.256 430 287.9519 0.162037 -0.2573254
Moved 1300.287 422.4704 268.6217 0.1446074 -0.3070429
Moved 1300.318 421 259.1069 0.1412037 -0.3315151
Moved 1300.349 419 249.5084 0.1365741 -0.3562027
Moved 1300.379 417.6624 244.3248 0.1334779 -0.369535
Moved 1300.41 417 239.7983 0.1319444 -0.3811771
Moved 1300.441 413.9249 234.8499 0.1248262 -0.3939047
Moved 1300.472 412 230.9226 0.1203704 -0.4040056
Moved 1300.502 410.5 229.5 0.1168981 -0.4076646
Moved 1300.533 408.1826 228.1826 0.1115338 -0.411053
Moved 1300.564 406.6552 228 0.1079981 -0.4115227
Ended 1300.594 405.7749 226.7749 0.1059605 -0.4146737
Candidates 1300.687 13 in tm un tn ibm run um uv on inn iv yum tmc
Began 1301.547 378 381 0.04166663 -0.01800419
Stationary 1301.578 378 381 0.04166663 -0.01800419
Stationary 1301.608 378 381 0.04166663 -0.01800419
Moved 1301.639 389.9978 381 0.06943931 -0.01800419
Moved 1301.67 410.4525 381 0.1167883 -0.01800419
Moved 1301.701 441.692 381 0.189102 -0.01800419
Moved 1301.731 459.2697 381 0.229791 -0.01800419
Moved 1301.762 467.2502 381 0.2482643 -0.01800419
Moved 1301.793 472.954 381 0.2614675 -0.01800419
Moved 1301.824 476.8501 381 0.2704863 -0.01800419
Moved 1301.854 479.5 381 0.2766204 -0.01800419
Moved 1301.885 481.2396 381 0.2806473 -0.01800419
Moved 1301.916 483.0564 388.3947 0.2848527 0.001015016
Moved 1301.946 484.374 388 0.2879027 -3.924585E-08
Moved 1301.977 485.5 389 0.2905093 0.002572016
Ended 1302.008 486.3244 390.3245 0.2924177 0.005978556
Accept 1302.069 0 in
Began 1303.79 260 335 -0.2314815 -0.1363169
Stationary 1303.821 260 335 -0.2314815 -0.1363169
Stationary 1303.852 260 335 -0.2314815 -0.1363169
Moved 1303.882 275.6463 335 -0.1952632 -0.1363169
Moved 1303.913 288.0427 335 -0.1665679 -0.1363169
