that is a very nasty cut
that is a very nasty cut
FixStart
Radial

0.6 0.6
432 388.8
Began 1207.133 417 405 0.1319444 0.04372424
Stationary 1207.164 417 405 0.1319444 0.04372424
Stationary 1207.194 417 405 0.1319444 0.04372424
Moved 1207.225 403.5222 416.7167 0.1007459 0.07385972
Moved 1207.256 393.7684 435.0789 0.07816771 0.1210877
Moved 1207.287 387.325 455.7252 0.06325225 0.1741902
Moved 1207.317 384 478.7076 0.0555556 0.2333015
Moved 1207.348 384 496.0555 0.0555556 0.2779205
Moved 1207.379 384 508.748 0.0555556 0.3105659
Moved 1207.41 384 517.4632 0.0555556 0.3329814
Moved 1207.44 384 524.3837 0.0555556 0.3507809
Moved 1207.471 384 529.2811 0.0555556 0.3633773
Moved 1207.502 392.0604 532.0604 0.07421385 0.3705255
Moved 1207.533 393.9324 533 0.07854719 0.3729423
Moved 1207.563 399.3907 533 0.09118219 0.3729423
Moved 1207.594 411.0233 522.3022 0.1181095 0.3454275
Moved 1207.625 425.9023 503.6466 0.1525515 0.297445
Moved 1207.656 440.3657 469.9944 0.1860317 0.2108909
Moved 1207.686 445.4105 440.537 0.1977095 0.1351259
Moved 1207.717 450.9462 411.6884 0.2105236 0.06092675
Moved 1207.748 455.3486 391.257 0.2207143 0.008376831
Moved 1207.779 457.2168 380.3497 0.2250388 -0.01967669
Moved 1207.809 457 375.2158 0.2245371 -0.03288135
Moved 1207.84 452.4471 373 0.2139978 -0.03858032
Moved 1207.871 430.8529 373 0.1640113 -0.03858032
Moved 1207.901 393.2201 388.9266 0.07689834 0.002383244
Moved 1207.932 350.2402 393.9173 -0.0225921 0.01521935
Moved 1207.963 318.5071 396.7911 -0.09604841 0.02261075
Moved 1207.994 287.0567 398.6603 -0.1688502 0.02741857
Moved 1208.024 266.9453 401.1172 -0.2154043 0.0337375
Moved 1208.055 240.7477 406.0316 -0.2760469 0.04637742
Moved 1208.086 223.4954 410.8018 -0.3159828 0.05864657
Moved 1208.117 210.192 414.808 -0.3467778 0.06895045
Moved 1208.147 207.3754 416.3123 -0.3532977 0.0728197
Moved 1208.178 203.8134 419.1866 -0.3615431 0.08021244
Moved 1208.209 203 423.098 -0.3634259 0.09027265
Moved 1208.24 225.218 443.1744 -0.3119953 0.1419095
Moved 1208.27 275.533 471.4843 -0.1955254 0.2147228
Moved 1208.301 318.2571 493.1286 -0.09662697 0.2703924
Moved 1208.332 353.9421 508.8092 -0.01402289 0.3107232
Moved 1208.363 381.0963 517.9441 0.04883388 0.3342183
Moved 1208.393 409.0888 525.8267 0.1136316 0.3544923
Moved 1208.424 429.3917 530.4783 0.160629 0.3664565
Ended 1208.455 445.8363 533.3672 0.1986953 0.3738868
Candidates 1208.516 13 that thai they what friday ebay jay today user thursday last theater harry
