the bathroom is good for reading
the bathroom is good for reading
FixStart
Radial

0.6 0.6
432 388.8
Began 1492.221 426 253 0.1527777 -0.3472223
Stationary 1492.252 426 253 0.1527777 -0.3472223
Stationary 1492.283 426 253 0.1527777 -0.3472223
Stationary 1492.313 426 253 0.1527777 -0.3472223
Moved 1492.344 412.3195 280.8248 0.1211101 -0.2756565
Moved 1492.375 397.9971 311.4064 0.08795629 -0.1970001
Moved 1492.405 391.4498 332.9256 0.07280052 -0.1416523
Moved 1492.436 390 348.7585 0.06944448 -0.1009297
Moved 1492.467 389 359.8699 0.06712963 -0.07235115
Moved 1492.498 389 366.5922 0.06712963 -0.05506123
Moved 1492.528 389 370.4642 0.06712963 -0.04510228
Moved 1492.559 389 371.375 0.06712963 -0.04275977
Moved 1492.59 415.7397 359.6383 0.1290272 -0.07294682
Moved 1492.62 439.2612 338.7388 0.1834749 -0.1267006
Moved 1492.651 458.3521 314.7827 0.227667 -0.1883163
Moved 1492.682 471.4892 294.144 0.2580768 -0.2413993
Moved 1492.713 479.9623 279.0627 0.2776906 -0.2801885
Moved 1492.743 485.861 265.5558 0.2913449 -0.3149284
Moved 1492.774 489.5 256.5 0.2997685 -0.3382202
Moved 1492.805 490 250.444 0.300926 -0.3537965
Moved 1492.836 490 246.8453 0.300926 -0.3630522
Moved 1492.866 474.7744 247 0.2656815 -0.3626543
Moved 1492.897 443.8141 273.6402 0.1940141 -0.2941354
Moved 1492.928 409.0313 302.7265 0.1134985 -0.2193249
Moved 1492.958 380.3162 334.2802 0.04702827 -0.1381682
Moved 1492.989 360.8253 357.3425 0.001910329 -0.0788516
Moved 1493.02 345.3172 374.6828 -0.03398796 -0.03425205
Moved 1493.051 330.5535 390.4465 -0.06816328 0.006292523
Moved 1493.081 321.5287 400.9617 -0.08905395 0.0333377
Ended 1493.112 314.9238 408.0762 -0.104343 0.0516362
Candidates 1493.235 13 the there where threw he further she re tiger r that these t
Began 1493.788 321 360 -0.09027779 -0.07201654
Stationary 1493.819 321 360 -0.09027779 -0.07201654
Moved 1493.849 352.2358 360 -0.01797259 -0.07201654
Moved 1493.88 387.3895 350.261 0.06340166 -0.09706528
Moved 1493.911 414.2201 346.7534 0.1255094 -0.1060871
Moved 1493.942 428.4719 344.882 0.1584997 -0.1109002
Moved 1493.972 437.9632 344 0.1804703 -0.1131688
Moved 1494.003 442.3012 343 0.190512 -0.1157408
Moved 1494.034 447.8262 341.5869 0.2033013 -0.1193753
Ended 1494.064 450 342 0.2083333 -0.1183128
