why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 2729.914 515.5432 567.4073 0.3600536 0.4614385
Moved 2729.945 524.0184 572.0184 0.3796722 0.4732983
Moved 2729.976 530.7672 574.8835 0.3952943 0.4806674
Moved 2730.006 534.7817 576 0.4045874 0.483539
Moved 2730.037 536.2737 577 0.4080411 0.4861111
Moved 2730.068 537.5 578 0.4108796 0.488683
Moved 2730.098 538.5 578 0.4131944 0.488683
Ended 2730.129 538.5 578 0.4131944 0.488683
Candidates 2730.221 13 do so stop dip soup sp drop group shop auto di ship ap
Began 2730.621 221 473 -0.3217593 0.2186213
Stationary 2730.651 221 473 -0.3217593 0.2186213
Moved 2730.682 259.5034 473 -0.232631 0.2186213
Moved 2730.713 376.1602 473 0.03740788 0.2186213
Moved 2730.743 489.2196 481 0.2991195 0.2391974
Moved 2730.774 576.0131 468.5242 0.5000304 0.2071096
Moved 2730.805 611.3321 463.9396 0.5817872 0.1953179
Moved 2730.835 649.9313 455.2758 0.6711372 0.1730344
Ended 2730.866 674.4764 449.2275 0.7279546 0.157478
Accept 2730.958 0 do
Began 2731.265 368 554 0.01851857 0.4269547
Stationary 2731.296 368 554 0.01851857 0.4269547
Stationary 2731.327 368 554 0.01851857 0.4269547
Stationary 2731.357 368 554 0.01851857 0.4269547
Stationary 2731.388 368 554 0.01851857 0.4269547
Stationary 2731.419 368 554 0.01851857 0.4269547
Stationary 2731.45 368 554 0.01851857 0.4269547
Stationary 2731.48 368 554 0.01851857 0.4269547
Stationary 2731.511 368 554 0.01851857 0.4269547
Stationary 2731.542 368 554 0.01851857 0.4269547
Stationary 2731.573 368 554 0.01851857 0.4269547
Stationary 2731.603 368 554 0.01851857 0.4269547
Stationary 2731.634 368 554 0.01851857 0.4269547
Moved 2731.665 368 544.7456 0.01851857 0.4031522
Moved 2731.695 387.6075 534.9966 0.06390631 0.3780775
Moved 2731.726 421.6664 523.5834 0.1427463 0.3487226
Moved 2731.757 453.0484 513.9838 0.2153899 0.3240324
Moved 2731.787 482.8915 510.1108 0.284471 0.314071
Moved 2731.818 508.047 508 0.3427015 0.3086419
Moved 2731.849 524.9766 508 0.3818904 0.3086419
Moved 2731.88 536.8588 508 0.4093953 0.3086419
Moved 2731.91 544.0388 518.0388 0.4260158 0.3344619
Moved 2731.941 545.8853 520.8853 0.4302901 0.3417831
Moved 2731.972 546 525.5139 0.4305556 0.353688
Moved 2732.002 531.5 533.5 0.3969907 0.3742283
Moved 2732.033 509.9604 542.297 0.3471307 0.3968543
Moved 2732.064 485.7981 549.0449 0.2911994 0.41421
Moved 2732.094 458.8883 551.9013 0.2289082 0.4215568
Moved 2732.125 441.5247 552 0.1887146 0.4218106
Moved 2732.156 418.6422 552 0.1357458 0.4218106
Moved 2732.187 397.4912 542.7845 0.08678526 0.3981082
Moved 2732.217 387.733 539.911 0.06419668 0.3907175
Moved 2732.248 381.7483 539 0.05034328 0.3883744
Moved 2732.279 376 538 0.03703703 0.3858024
Moved 2732.31 374.5 538 0.03356477 0.3858024
Ended 2732.34 374 538 0.03240744 0.3858024
Candidates 2732.432 13 you your toy i type tour root rope u hot roy utility for
Began 2732.893 230 489 -0.3009259 0.2597736
Stationary 2732.924 230 489 -0.3009259 0.2597736
Moved 2732.954 238.5808 489 -0.2810629 0.2597736
Moved 2732.985 329.1035 495.2669 -0.07151975 0.2758922
Moved 2733.016 464.3981 516.1345 0.2416623 0.3295638
Moved 2733.046 554.4535 516 0.4501238 0.329218
Moved 2733.077 590.8206 503.6538 0.5343068 0.2974634
Moved 2733.108 619.7778 497.7161 0.6013375 0.2821914
Ended 2733.138 653.4375 492.7434 0.6792535 0.2694017
Accept 2733.2 0 you
Began 2733.63 197 415 -0.3773148 0.06944436
Stationary 2733.661 197 415 -0.3773148 0.06944436
Stationary 2733.691 197 415 -0.3773148 0.06944436
Stationary 2733.722 197 415 -0.3773148 0.06944436
Stationary 2733.753 197 415 -0.3773148 0.06944436
Stationary 2733.783 197 415 -0.3773148 0.06944436
Stationary 2733.814 197 415 -0.3773148 0.06944436
Stationary 2733.845 197 415 -0.3773148 0.06944436
Stationary 2733.875 197 415 -0.3773148 0.06944436
Stationary 2733.906 197 415 -0.3773148 0.06944436
Stationary 2733.937 197 415 -0.3773148 0.06944436
Stationary 2733.968 197 415 -0.3773148 0.06944436
Stationary 2733.998 197 415 -0.3773148 0.06944436
Stationary 2734.029 197 415 -0.3773148 0.06944436
Stationary 2734.06 197 415 -0.3773148 0.06944436
Moved 2734.091 188.9371 405.9293 -0.3959788 0.04611431
Moved 2734.121 189 404.9905 -0.3958333 0.04369971
Moved 2734.152 189 404.1176 -0.3958333 0.04145449
Stationary 2734.183 189 403.6094 -0.3958333 0.04014757
Moved 2734.213 211.1208 403 -0.3446277 0.03858017
Moved 2734.244 234.3885 403 -0.2907675 0.03858017
Moved 2734.275 272.2002 411 -0.2032403 0.05915629
Moved 2734.305 317.7355 417.595 -0.09783443 0.07611883
Moved 2734.336 354.0024 419 -0.01388336 0.07973251
Moved 2734.367 387.3182 420 0.06323665 0.08230445
Moved 2734.398 418.8574 420 0.136244 0.08230445
Moved 2734.428 447.7075 420 0.2030265 0.08230445
Moved 2734.459 474.5632 412 0.2651925 0.06172835
Moved 2734.49 504.378 408.3244 0.3342083 0.05227457
Moved 2734.521 509.9717 407.0071 0.3471568 0.0488864
Moved 2734.551 519.5952 405.1349 0.3694333 0.04407137
Moved 2734.582 524.738 404 0.3813379 0.04115226
Moved 2734.613 527.5 402.5 0.3877315 0.03729416
Moved 2734.643 529.5 403 0.3923611 0.03858017
Moved 2734.674 531.5 401.5 0.3969907 0.03472222
Moved 2734.705 533.5 402 0.4016204 0.03600815
Ended 2734.735 533.5 402 0.4016204 0.03600815
Candidates 2734.828 13 all al ask ago so walk do sell feel wall who fall aol
Began 2735.81 377 427 0.03935188 0.1003086
Stationary 2735.841 377 427 0.03935188 0.1003086
Moved 2735.872 327.2978 474.1144 -0.07569949 0.2214875
Moved 2735.902 268.8106 535.5251 -0.2110866 0.3794369
Moved 2735.933 218.2482 593.2346 -0.3281292 0.5278667
Moved 2735.964 190.9305 625.7594 -0.3913647 0.6115209
Moved 2735.995 171.8008 650.079 -0.4356464 0.6740713
Moved 2736.025 155.0702 678.2164 -0.4743747 0.7464412
Moved 2736.056 132.8876 712.5577 -0.5257232 0.8347676
Moved 2736.087 116.0001 741.4999 -0.5648147 0.9092076
Ended 2736.117 115 743 -0.5671296 0.9130658
Accept 2736.179 2 ask
Began 2736.762 204 389 -0.3611111 0.002572016
Stationary 2736.793 204 389 -0.3611111 0.002572016
Stationary 2736.824 204 389 -0.3611111 0.002572016
Stationary 2736.854 204 389 -0.3611111 0.002572016
Stationary 2736.885 204 389 -0.3611111 0.002572016
Moved 2736.916 190.2348 378.2348 -0.3929749 -0.02511633
Moved 2736.947 185.2444 374.2444 -0.4045269 -0.03537967
Moved 2736.977 181.5 372.5 -0.4131944 -0.03986633
Moved 2737.008 177.7386 369.8693 -0.4219015 -0.04663263
Moved 2737.039 175.0003 367.0003 -0.42824 -0.05401156
Moved 2737.069 172.123 365 -0.4349004 -0.05915646
Moved 2737.1 169.6811 362.6811 -0.440553 -0.06512073
Moved 2737.131 167.709 361 -0.4451182 -0.06944452
Moved 2737.161 165.8335 359 -0.4494595 -0.07458848
Moved 2737.192 166 357.626 -0.4490741 -0.07812233
Stationary 2737.223 166 358 -0.4490741 -0.07716057
Stationary 2737.253 166 358 -0.4490741 -0.07716057
Moved 2737.284 207.6067 398.2952 -0.3527623 0.02647941
Moved 2737.315 288.7166 458.6823 -0.1650079 0.181796
Moved 2737.346 394.6906 517.4726 0.08030236 0.3330056
Moved 2737.376 415.7224 526.8611 0.1289869 0.3571531
Moved 2737.407 431.4342 532.9737 0.165357 0.3728746
Moved 2737.438 445.044 538.0088 0.196861 0.385825
Moved 2737.469 458.5862 542.8965 0.2282088 0.3983963
Moved 2737.499 469.3113 546.7704 0.2530353 0.4083601
Moved 2737.53 476 548.5 0.2685185 0.4128085
Moved 2737.561 479.1512 548 0.2758128 0.4115225
Moved 2737.591 480.5 548 0.2789353 0.4115225
Stationary 2737.622 480.5 548 0.2789353 0.4115225
Moved 2737.653 481.192 548 0.2805371 0.4115225
Moved 2737.684 482.3198 529.122 0.2831477 0.362968
Moved 2737.714 484.1913 501.7039 0.2874799 0.2924483
Moved 2737.745 489.127 472.4286 0.298905 0.2171519
Moved 2737.776 497.3596 450.2807 0.3179622 0.1601869
Moved 2737.806 506.403 429.194 0.3388959 0.1059514
Moved 2737.837 515.0179 410.9641 0.3588378 0.05906407
Moved 2737.868 521.7839 392.5762 0.3744998 0.01177007
Moved 2737.898 528.5597 372.1007 0.3901845 -0.04089324
Moved 2737.929 531.649 359.4041 0.3973356 -0.07354917
Moved 2737.96 533.523 350.954 0.4016736 -0.09528281
Moved 2737.99 535.0624 344.8752 0.4052371 -0.1109178
Moved 2738.021 535 341.1065 0.4050927 -0.1206109
Moved 2738.052 528.5659 339 0.3901987 -0.1260288
Moved 2738.083 510.5 351 0.3483796 -0.09516476
Moved 2738.113 486.3189 370.6811 0.2924049 -0.0445446
Moved 2738.144 467.7258 392.329 0.2493653 0.01113428
Moved 2738.175 451.3474 410.5831 0.2114523 0.0580841
Moved 2738.206 439.5631 422.4369 0.1841738 0.0885722
Moved 2738.236 424.2438 440.1074 0.1487125 0.1340211
Moved 2738.267 412.1064 452.1169 0.1206168 0.1649098
Moved 2738.298 401.6933 461.3067 0.09651224 0.1885459
