the collapse of the Roman empire
the collapse of the Roman empire
FixStart
Radial

0.6 0.6
432 388.8
Began 1557.608 416 397 0.1296297 0.02314815
Stationary 1557.639 416 397 0.1296297 0.02314815
Stationary 1557.669 416 397 0.1296297 0.02314815
Moved 1557.7 398.5995 404.7009 0.08935063 0.04295502
Moved 1557.731 377.5997 416.2669 0.04073998 0.07270287
Moved 1557.761 370.9326 419.5337 0.02530694 0.08110513
Moved 1557.792 359.4742 424.7629 -0.001217226 0.09455484
Moved 1557.823 351.2555 429.9149 -0.02024199 0.1078056
Moved 1557.854 342.7101 436.2899 -0.04002298 0.1242023
Moved 1557.884 334.732 442.268 -0.05849073 0.1395781
Moved 1557.915 329.4901 446.5098 -0.07062465 0.1504882
Moved 1557.946 325.9471 450.0529 -0.07882605 0.1596009
Moved 1557.977 322.0731 454.8539 -0.08779386 0.1719492
Moved 1558.007 320.2064 459.5872 -0.09211486 0.1841234
Moved 1558.038 318.5 466.5 -0.0960648 0.2019032
Moved 1558.069 319 470.366 -0.09490739 0.2118466
Moved 1558.1 319 476.115 -0.09490739 0.2266331
Moved 1558.13 327.8637 481.8637 -0.07438958 0.2414189
Moved 1558.161 333.003 487.5046 -0.06249299 0.2559273
Moved 1558.192 339.7517 494.7517 -0.04687105 0.2745671
Moved 1558.223 346.4958 499.4957 -0.0312598 0.2867688
Moved 1558.253 354.3639 503.1213 -0.01304661 0.2960937
Moved 1558.284 360.3134 507.6567 0.0007253885 0.3077588
Moved 1558.315 365.0544 511.0544 0.01170009 0.316498
Moved 1558.345 370.3972 515.7944 0.02406756 0.3286892
Moved 1558.376 375.9391 518.9391 0.03689607 0.3367775
Moved 1558.407 382.5558 524.5558 0.05221258 0.3512236
Moved 1558.438 388.3007 529.3007 0.06551097 0.3634277
Moved 1558.468 392.5207 533.5207 0.07527927 0.3742816
Moved 1558.499 396.0722 537.1445 0.08350055 0.3836019
Moved 1558.53 398.9438 539.9438 0.09014755 0.3908018
Moved 1558.561 400.815 542.815 0.09447922 0.3981867
Moved 1558.591 402.5 544 0.09837966 0.4012345
Moved 1558.622 403.5 545 0.1006944 0.4038065
Moved 1558.653 403 546 0.09953707 0.4063785
Moved 1558.683 404.3871 546 0.1027479 0.4063785
Stationary 1558.714 404.3871 546 0.1027479 0.4063785
Moved 1558.745 408.3924 546 0.1120194 0.4063785
Moved 1558.776 414.5493 535.4507 0.1262714 0.3792456
Moved 1558.806 423.4819 520.3574 0.1469489 0.3404255
Moved 1558.837 429.3689 506.5777 0.1605761 0.3049836
Moved 1558.868 434.1171 493.7657 0.1715674 0.2720312
Moved 1558.899 438.8759 479.8104 0.182583 0.2361377
Moved 1558.929 439.9485 468.2061 0.185066 0.2062912
Moved 1558.96 441 459.5887 0.1875 0.1841273
Moved 1558.991 442.6763 446.6183 0.1913804 0.1507673
Moved 1559.021 444.5474 434.3577 0.1957117 0.1192328
Moved 1559.052 446.094 424.624 0.1992916 0.09419731
Moved 1559.083 449.9317 412.1367 0.2081752 0.06207976
Moved 1559.114 453.8542 399.5829 0.2172552 0.02979149
Moved 1559.144 456 390.5 0.2222222 0.006429962
Moved 1559.175 456 378.5975 0.2222222 -0.02418345
Moved 1559.206 456 368.775 0.2222222 -0.04944727
Moved 1559.237 456 363.0414 0.2222222 -0.0641939
Moved 1559.267 456 358.4481 0.2222222 -0.07600799
Moved 1559.298 447.5768 354.5768 0.202724 -0.08596506
Moved 1559.329 443.2703 351.2703 0.1927553 -0.09446956
Moved 1559.359 441.8814 351 0.1895404 -0.09516476
Moved 1559.39 440.2856 350.2856 0.1858463 -0.09700217
Moved 1559.421 438.4132 350 0.1815121 -0.09773669
Moved 1559.452 436.5414 349 0.1771793 -0.1003086
Moved 1559.482 435.5 349 0.1747686 -0.1003086
Moved 1559.513 428.3038 349 0.1581108 -0.1003086
Moved 1559.544 415.1486 364.1385 0.1276588 -0.06137212
Moved 1559.575 400.0657 380.108 0.09274472 -0.02029851
Moved 1559.605 386.161 397.8389 0.06055793 0.0253058
Moved 1559.636 374.9939 412.0061 0.03470818 0.06174405
Moved 1559.667 366.25 422.6251 0.01446754 0.0890561
Moved 1559.698 360 430.5 0 0.1093106
Moved 1559.728 353.4654 436.5346 -0.01512642 0.1248318
