if you were not so stupid
if you were not so stupid
FixStart
Radial

0.6 0.6
432 388.8
Began 442.5302 290 226 -0.162037 -0.4166668
Stationary 442.561 290 226 -0.162037 -0.4166668
Moved 442.5917 306.0293 260.3286 -0.1249322 -0.328373
Moved 442.6225 350.229 338.0059 -0.02261803 -0.1285858
Moved 442.6532 383.3679 388.1381 0.05409241 0.0003549788
Moved 442.6839 395.3851 404.0776 0.0819099 0.04135191
Moved 442.7147 399.4519 409.9039 0.09132396 0.05633703
Moved 442.7454 399 410.5 0.09027779 0.05787029
Moved 442.7762 391.5211 403.7676 0.07296552 0.04055443
Moved 442.8069 340.4337 352.4337 -0.04529248 -0.09147722
Moved 442.8376 279.1591 292.3011 -0.1871317 -0.2461391
Moved 442.8683 244.2052 259.0043 -0.2680435 -0.3317791
Moved 442.8991 216.1197 230.1198 -0.3330563 -0.4060707
Moved 442.9296 200.5646 215.5646 -0.3690635 -0.4435068
Moved 442.9605 199 212.5 -0.3726852 -0.451389
Ended 442.9913 199 212.5 -0.3726852 -0.451389
Candidates 443.0834 13 is if us id his good its of food usa toys god this
Began 443.6674 218 213 -0.3287037 -0.4501029
Moved 443.6981 232.9362 247.7255 -0.2941291 -0.3607886
Moved 443.7289 271.025 347.8375 -0.2059607 -0.1032988
Moved 443.7596 340.7962 472.0245 -0.04445329 0.2161122
Ended 443.7903 404 553 0.1018518 0.4243826
Accept 443.8518 1 if
Began 443.9748 265 206 -0.2199074 -0.4681071
Moved 444.0056 265 231.8069 -0.2199074 -0.4017313
Moved 444.0363 273.4036 294.0128 -0.2004546 -0.2417366
Moved 444.067 285.948 340.8441 -0.1714166 -0.1212858
Moved 444.0977 299.6123 369.2245 -0.1397864 -0.04829085
Moved 444.1284 322.587 385.9919 -0.0866042 -0.005164951
Moved 444.1592 340.6594 388 -0.04476994 -3.924585E-08
Moved 444.1899 360.3803 388 0.0008802612 -3.924585E-08
Moved 444.2206 375.8434 373.494 0.03667444 -0.03730986
Moved 444.2514 382.8602 366.2097 0.0529171 -0.05604504
Moved 444.2821 385 359.2352 0.05787035 -0.07398377
Moved 444.3129 358.649 339.8245 -0.003127257 -0.1239082
Moved 444.3436 308.637 325.3956 -0.1188959 -0.1610196
Moved 444.3743 269.7126 325 -0.2089985 -0.1620371
Moved 444.405 247.2503 325 -0.2609946 -0.1620371
Moved 444.4358 242.5 325 -0.2719907 -0.1620371
Ended 444.4665 242.8886 325 -0.2710913 -0.1620371
Candidates 444.528 13 your you it tour toy for root got our report type route fit
Began 444.9583 249 227 -0.2569445 -0.4140947
Moved 444.989 249 239.6385 -0.2569445 -0.3815882
Moved 445.0197 285.0884 321.5397 -0.1734065 -0.170937
Moved 445.0504 347 431.5 -0.0300926 0.1118827
Moved 445.0812 390.7186 482.9657 0.07110775 0.2442532
Ended 445.1119 397 489 0.0856481 0.2597736
Accept 445.1734 1 you
Began 445.2656 325 255 -0.08101851 -0.3420782
Moved 445.2963 306.1091 255 -0.1247475 -0.3420782
Moved 445.3271 265.2686 269.6829 -0.2192857 -0.3043138
Moved 445.3578 219.1099 281.7707 -0.3261344 -0.2732235
Moved 445.3885 181.1068 294.2888 -0.4141047 -0.2410267
Moved 445.4193 153.6573 307.6714 -0.4776453 -0.2066066
Moved 445.45 142.4261 318.7216 -0.5036432 -0.1781852
Moved 445.4807 142 333.0341 -0.5046296 -0.1413734
Moved 445.5115 158.4921 341.246 -0.4664535 -0.120252
Moved 445.5422 187.7365 357.6679 -0.3987581 -0.07801463
Moved 445.573 217.7123 360 -0.3293697 -0.07201654
Moved 445.6037 237.4868 360 -0.2835953 -0.07201654
Moved 445.6344 252.2212 360 -0.249488 -0.07201654
Moved 445.6652 256.822 354.2461 -0.238838 -0.08681568
Moved 445.6959 257 353 -0.2384259 -0.09002065
Moved 445.7266 248.9288 353 -0.2571093 -0.09002065
Moved 445.7574 227.5483 353 -0.3066012 -0.09002065
Moved 445.7881 212.8132 361.5467 -0.3407103 -0.06803834
Moved 445.8188 205.3755 363.3123 -0.357927 -0.06349728
Moved 445.8495 203 364.7383 -0.3634259 -0.05982937
Moved 445.8803 202 366 -0.3657407 -0.05658444
Ended 445.911 202 366 -0.3657407 -0.05658444
Candidates 446.034 13 are see were art set at dare fare few aware award se far
Began 446.6487 263 261 -0.2245371 -0.3266461
Moved 446.6794 233.6799 302.5029 -0.2924075 -0.2198998
Moved 446.7101 204.227 353.7141 -0.3605857 -0.08818394
Moved 446.7408 190.0214 385.9358 -0.393469 -0.005309258
Ended 446.7715 186.725 398.0999 -0.4010995 0.02597707
Accept 446.8331 2 were
Began 446.9253 228 330 -0.3055556 -0.149177
Moved 446.9561 240.041 313.6586 -0.2776829 -0.1912072
Moved 446.9867 267.2499 267.7501 -0.2146992 -0.3092849
Moved 447.0175 291.9009 222.5608 -0.1576369 -0.4255123
Moved 447.0482 306.8828 193.0482 -0.1229565 -0.5014192
Moved 447.0789 314.5601 176.3197 -0.1051849 -0.5444453
Moved 447.1097 317.3124 173 -0.09881386 -0.5529835
Moved 447.1404 326.3611 219.022 -0.07786795 -0.4346143
Moved 447.1712 356.8407 332.4158 -0.007313192 -0.1429634
Moved 447.2019 376.9397 395.3492 0.0392122 0.01890222
Moved 447.2327 379 406.007 0.04398147 0.04631427
Moved 447.2634 379 410.5823 0.04398147 0.05808194
Moved 447.2941 359.817 418.6549 -0.000423491 0.07884485
Moved 447.3248 313.2866 426.9698 -0.108133 0.100231
Moved 447.3555 257.5847 433.7453 -0.2370724 0.1176576
Moved 447.3863 224.4576 437.1285 -0.3137555 0.1263593
Moved 447.4171 204.4155 438.9307 -0.3601494 0.1309946
Ended 447.4478 197.5 441.5 -0.3761574 0.1376028
Candidates 447.5399 13 not more nor note mit my moore mid now blue know boy npr
Began 448.001 160 326 -0.462963 -0.1594652
Moved 448.0317 178.2517 326 -0.4207137 -0.1594652
Moved 448.0624 262.8615 326 -0.2248578 -0.1594652
Moved 448.0932 302.5976 326 -0.132876 -0.1594652
Ended 448.1239 326.101 326 -0.07846981 -0.1594652
Accept 448.1853 0 not
Began 448.2776 318 286 -0.09722222 -0.2623458
